AÑO;DISTRITO;Accidentes;Heridos;Muertos
2017;Ciudad de Madrid;12.477;13.073;27
2017;01. Centro;958;878;1
2017;02. Arganzuela;635;681;2
2017;03. Retiro;673;725;0
2017;04. Salamanca;906;887;0
2017;05. Chamartín;838;873;2
2017;06. Tetuán;674;726;0
2017;07. Chamberí;745;745;2
2017;08. Fuencarral-El Pardo;653;666;2
2017;09. Moncloa-Aravaca;605;643;0
2017;10. Latina;586;618;1
2017;11. Carabanchel;771;820;1
2017;12. Usera;391;413;4
2017;13. Puente de Vallecas;744;804;2
2017;14. Moratalaz;342;369;2
2017;15. Ciudad Lineal;787;854;0
2017;16. Hortaleza;480;484;1
2017;17. Villaverde;315;385;1
2017;18. Villa de Vallecas;307;364;0
2017;19. Vicálvaro;234;244;1
2017;20. San Blas-Canillejas;586;659;2
2017;21. Barajas;244;231;3
2018;Ciudad de Madrid;15.493;13.237;36
2018;01. Centro;1.048;871;0
2018;02. Arganzuela;740;626;3
2018;03. Retiro;696;660;1
2018;04. Salamanca;1.136;982;3
2018;05. Chamartín;1.171;939;3
2018;06. Tetuán;838;786;1
2018;07. Chamberí;942;762;3
2018;08. Fuencarral-El Pardo;878;675;1
2018;09. Moncloa-Aravaca;880;729;0
2018;10. Latina;648;616;4
2018;11. Carabanchel;770;732;1
2018;12. Usera;565;501;1
2018;13. Puente de Vallecas;981;768;2
2018;14. Moratalaz;407;367;3
2018;15. Ciudad Lineal;968;790;0
2018;16. Hortaleza;614;475;2
2018;17. Villaverde;364;381;1
2018;18. Villa de Vallecas;390;306;0
2018;19. Vicálvaro;228;216;3
2018;20. San Blas-Canillejas;813;724;2
2018;21. Barajas;372;293;2
2019;Ciudad de Madrid;21.932;13.384;33
2019;01. Centro;1.310;842;1
2019;02. Arganzuela;940;626;1
2019;03. Retiro;1.083;806;2
2019;04. Salamanca;1.728;1.121;2
2019;05. Chamartín;1.599;924;3
2019;06. Tetuán;1.042;643;1
2019;07. Chamberí;1.200;759;3
2019;08. Fuencarral-El Pardo;1.110;659;3
2019;09. Moncloa-Aravaca;1.200;658;6
2019;10. Latina;1.069;667;1
2019;11. Carabanchel;1.352;857;0
2019;12. Usera;744;456;1
2019;13. Puente de Vallecas;1.617;886;2
2019;14. Moratalaz;628;359;0
2019;15. Ciudad Lineal;1.350;792;3
2019;16. Hortaleza;913;480;0
2019;17. Villaverde;586;381;0
2019;18. Villa de Vallecas;559;338;2
2019;19. Vicálvaro;306;170;0
2019;20. San Blas-Canillejas;1.115;733;2
2019;21. Barajas;479;226;0
2020;Ciudad de Madrid;14.170;8.220;34
2020;01. Centro;731;441;2
2020;02. Arganzuela;595;393;4
2020;03. Retiro;647;446;0
2020;04. Salamanca;1.099;649;2
2020;05. Chamartín;907;536;4
2020;06. Tetuán;710;410;5
2020;07. Chamberí;708;432;0
2020;08. Fuencarral-El Pardo;801;453;5
2020;09. Moncloa-Aravaca;847;465;1
2020;10. Latina;634;376;1
2020;11. Carabanchel;841;519;1
2020;12. Usera;517;257;2
2020;13. Puente de Vallecas;1.065;522;0
2020;14. Moratalaz;413;245;0
2020;15. Ciudad Lineal;870;471;4
2020;16. Hortaleza;695;398;1
2020;17. Villaverde;418;257;1
2020;18. Villa de Vallecas;422;270;0
2020;19. Vicálvaro;248;125;0
2020;20. San Blas-Canillejas;741;436;1
2020;21. Barajas;261;119;0