AÑO;DISTRITO;BARRIO;Censo electoral;Abstención;Votos nulos;Votos blancos;Votos a candidaturas;PP;PSOE;Cs;MAS MADRID;VOX;PODEMOS-IU;Resto de candidaturas
2017;21. Barajas;214. Timón;8,653;2,428;26;26;6,173;1,091;1,513;1,597;1,077;534;292;69
2017;21. Barajas;215. Corralejos;5,151;1,156;16;15;3,964;980;697;1,336;390;427;98;36
2018;01. Centro;01. Centro;96,698;25,689;242;313;70,454;24,747;10,572;2,416;19,173;4,147;8,697;702
2018;01. Centro;011. Palacio;17,424;4,159;45;67;13,153;4,74;2,089;435;3,398;851;1,521;119
2018;01. Centro;012. Embajadores;30,54;8,801;73;74;21,592;5,751;3,264;575;6,932;1,061;3,717;292
2018;01. Centro;013. Cortes;7,437;1,795;24;25;5,593;2,224;820;205;1,393;355;544;52
2018;01. Centro;014. Justicia;12,76;3,284;22;44;9,41;4,336;1,281;414;1,947;701;665;66
2018;01. Centro;015. Universidad;23,422;6,2;65;84;17,073;6,203;2,607;654;4,677;881;1,911;140
2018;01. Centro;016. Sol;5,115;1,45;13;19;3,633;1,493;511;133;826;298;339;33
2018;02. Arganzuela;02. Arganzuela;119,336;23,736;408;444;94,748;38,975;14,798;4,054;21,704;6,184;8,378;655
2018;02. Arganzuela;021. Imperial;18,185;3,366;47;74;14,698;6,305;2,198;644;3,15;1,093;1,224;84
2018;02. Arganzuela;022. Acacias;29,779;5,35;91;121;24,217;10,047;3,982;1,029;5,431;1,511;2,061;156
2018;02. Arganzuela;023. Chopera;15,294;3,541;50;52;11,651;4,431;1,952;381;2,826;714;1,262;85
2018;02. Arganzuela;024. Legazpi;14,446;2,582;58;60;11,746;5,028;1,736;675;2,669;725;844;69
2018;02. Arganzuela;025. Delicias;21,039;4,155;85;77;16,722;6,972;2,578;711;3,792;1,113;1,428;128
2018;02. Arganzuela;026. Palos de Moguer;19,552;4,564;74;55;14,859;5,872;2,226;558;3,637;952;1,488;126
2018;02. Arganzuela;027. Atocha;1,041;178;3;5;855;320;126;56;199;76;71;7
2018;03. Retiro;03. Retiro;;;;;;;;;;;;
2018;03. Retiro;03. Retiro;93,811;16,654;229;353;76,575;40,55;9,569;3,46;11,876;6,778;3,888;454
2018;03. Retiro;031. Pacífico;26,581;5,141;74;104;21,262;10,231;3,08;897;3,9;1,684;1,324;146
2018;03. Retiro;032. Adelfas;14,655;2,526;35;75;12,019;5,586;1,739;602;2,268;996;748;80
2018;03. Retiro;033. Estrella;18,803;2,92;55;41;15,787;8,924;1,874;703;2,102;1,405;705;74
2018;03. Retiro;034. Ibiza;16,353;3,194;35;63;13,061;7,041;1,57;614;1,986;1,148;608;94
2018;03. Retiro;035. Los Jerónimos;5,355;1,132;10;10;4,203;2,543;367;155;442;506;173;17
2018;03. Retiro;036. Niño Jesús;12,064;1,741;20;60;10,243;6,225;939;489;1,178;1,039;330;43
2018;04. Salamanca;04. Salamanca;108,831;21,134;286;332;87,079;53,421;8,536;3,427;9,25;9,065;2,924;456
2018;04. Salamanca;041. Recoletos;11,097;2,12;25;15;8,937;6,494;510;270;402;1,106;116;39
2018;04. Salamanca;042. Goya;21,937;4,489;57;61;17,33;10,8;1,752;716;1,643;1,757;566;96
2018;04. Salamanca;043. Fuente del Berro;16,07;3,337;49;79;12,605;6,565;1,753;578;1,967;993;656;93
2018;04. Salamanca;044. Guindalera;32,253;6,175;103;106;25,869;14,397;2,913;1,158;3,673;2,492;1,085;151
2018;04. Salamanca;045. Lista;15,441;2,904;31;43;12,463;7,946;1,135;422;1,151;1,375;383;51
2018;04. Salamanca;046. Castellana;12,033;2,109;21;28;9,875;7,219;473;283;414;1,342;118;26
2018;05. Chamartín;05. Chamartín;;;;;;;;;;;;
2018;05. Chamartín;05. Chamartín;110,985;18,998;233;361;91,393;56,871;8,788;3,8;9,167;9,185;3,1;482
2018;05. Chamartín;051. El Viso;12,901;1,872;18;32;10,979;8,125;578;309;488;1,314;127;38
2018;05. Chamartín;052. Prosperidad;28,437;5,192;82;150;23,013;12,342;3,039;1,011;3,328;1,953;1,187;153
2018;05. Chamartín;053. Ciudad Jardín;14,066;2,869;34;41;11,122;5,679;1,492;517;1,762;924;674;74
2018;05. Chamartín;054. Hispanoamérica;24,435;4,068;50;63;20,254;13,382;1,63;875;1,61;2,151;510;96
2018;05. Chamartín;055. Nueva España;18,082;2,714;26;41;15,301;10,694;979;622;952;1,717;277;60
2018;05. Chamartín;056. Castilla;13,064;2,283;23;34;10,724;6,649;1,07;466;1,027;1,126;325;61
2018;06. Tetuán;06. Tetuán;;;;;;;;;;;;
2018;06. Tetuán;06. Tetuán;111,531;30,472;381;351;80,327;38,629;12,148;3,005;13,356;6,932;5,507;750
2018;06. Tetuán;061. Bellas Vistas;19,435;5,898;53;63;13,421;5,713;2,395;518;2,555;957;1,137;146
2018;06. Tetuán;062. Cuatro Caminos;25,907;5,603;83;92;20,129;11,513;2,397;784;2,506;1,9;885;144
2018;06. Tetuán;063. Castillejos;15,6;3,308;28;42;12,222;7,25;1,284;489;1,407;1,261;449;82
2018;06. Tetuán;064. Almenara;16,497;4,992;71;39;11,395;4,75;1,995;402;2,03;1,054;1,045;119
2018;06. Tetuán;065. Valdeacederas;17,402;5,521;79;65;11,737;4,652;2,111;422;2,498;878;1,031;145
2018;06. Tetuán;066. Berruguete;16,69;5,15;67;50;11,423;4,751;1,966;390;2,36;882;960;114
2018;07. Chamberí;07. Chamberí;;;;;;;;;;;;
2018;07. Chamberí;07. Chamberí;107,19;20,028;287;410;86,465;48,473;9,849;3,844;12,007;7,698;4,09;504
2018;07. Chamberí;071. Gaztambide;17,897;3,489;54;63;14,291;7,639;1,709;672;2,143;1,321;715;92
2018;07. Chamberí;072. Arapiles;18,834;3,738;65;111;14,92;7,552;2;684;2,531;1,155;894;104
2018;07. Chamberí;073. Trafalgar;18,677;3,796;60;70;14,751;7,271;1,965;691;2,708;1,077;937;102
2018;07. Chamberí;074. Almagro;14,612;2,505;30;36;12,041;7,981;1,002;464;980;1,25;322;42
2018;07. Chamberí;075. Ríos Rosas;21;4,026;33;71;16,87;9,72;1,897;730;2,188;1,494;760;81
2018;07. Chamberí;076. Vallehermoso;16,17;2,474;45;59;13,592;8,31;1,276;603;1,457;1,401;462;83
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;;;;;;;;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;181,152;34,518;557;684;145,393;76,693;20,75;6,665;20,101;13,128;7,025;1,031
2018;08. Fuencarral-El Pardo;081. El Pardo;2,84;712;14;8;2,106;1,156;242;44;216;347;89;12
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;2,495;362;3;11;2,119;1,528;124;77;74;284;24;8
2018;08. Fuencarral-El Pardo;083. Peñagrande;34,812;6,964;108;120;27,62;13,726;4,571;1,161;4,304;2,237;1,448;173
2018;08. Fuencarral-El Pardo;084. Pilar;35,746;8,726;136;136;26,748;12,193;4,961;989;4,535;2,012;1,822;236
2018;08. Fuencarral-El Pardo;085. La Paz;27,371;4,168;53;95;23,055;12,698;3,494;1,112;2,882;1,924;807;138
2018;08. Fuencarral-El Pardo;086. Valverde;41,512;8,531;149;179;32,653;16,575;4,518;1,601;4,925;2,841;1,904;289
2018;08. Fuencarral-El Pardo;087. Mirasierra;24,733;3,374;63;87;21,209;12,884;1,981;1,117;2,112;2,379;616;120
2018;08. Fuencarral-El Pardo;088. El Goloso;11,643;1,681;31;48;9,883;5,933;859;564;1,053;1,104;315;55
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;89,797;16,28;283;277;72,957;39,321;9,103;2,913;10,436;6,952;3,799;433
2018;09. Moncloa-Aravaca;091. Casa de Campo;10,472;2,118;52;36;8,266;3,552;1,239;357;1,813;598;651;56
2018;09. Moncloa-Aravaca;092. Argüelles;18,342;3,613;44;45;14,64;8,11;1,674;607;2,055;1,505;609;80
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;12,454;2,083;32;41;10,298;6,034;1,125;441;1,21;970;459;59
2018;09. Moncloa-Aravaca;094. Valdezarza;22,885;4,954;110;87;17,734;7,525;3,27;661;3,471;1,283;1,381;143
2018;09. Moncloa-Aravaca;095. Valdemarín;4,364;534;11;4;3,815;2,888;129;113;92;558;28;7
2018;09. Moncloa-Aravaca;096. El Plantío;2,037;290;3;6;1,738;1,197;109;56;91;251;31;3
2018;09. Moncloa-Aravaca;097. Aravaca;19,243;2,688;31;58;16,466;10,015;1,557;678;1,704;1,787;640;85
2018;10. Latina;10. Latina;;;;;;;;;;;;
2018;10. Latina;10. Latina;172,027;45,051;707;612;125,657;52,174;23,317;3,742;24,276;9,844;11,164;1,14
2018;10. Latina;101. Los Cármenes;12,361;3,515;65;33;8,748;3,251;1,623;243;1,95;693;912;76
2018;10. Latina;102. Puerta del Ángel;28,88;8,725;102;76;19,977;7,875;3,444;562;4,317;1,414;2,173;192
2018;10. Latina;103. Lucero;25,722;7,077;94;78;18,473;7,365;3,422;584;3,644;1,431;1,874;153
2018;10. Latina;104. Aluche;48,539;12,175;178;184;36,002;15,719;7,011;1,059;6,46;2,526;2,899;328
2018;10. Latina;105. Campamento;13,227;3,258;45;52;9,872;4,871;1,433;323;1,45;1,102;601;92
2018;10. Latina;106. Cuatro Vientos;4,043;962;23;18;3,04;1,287;503;108;648;252;215;27
2018;10. Latina;107. Águilas;39,255;9,339;200;171;29,545;11,806;5,881;863;5,807;2,426;2,49;272
2018;11. Carabanchel;11. Carabanchel;;;;;;;;;;;;
2018;11. Carabanchel;11. Carabanchel;170,546;52,578;683;600;116,685;46,295;22,289;3,46;23,826;8,874;10,709;1,232
2018;11. Carabanchel;111. Comillas;16,04;4,556;68;40;11,376;4,623;2,031;297;2,361;829;1,153;82
2018;11. Carabanchel;112. Opañel;22,588;6,654;79;79;15,776;6,416;2,915;458;3,248;1,141;1,43;168
2018;11. Carabanchel;113. San Isidro;26,633;8,832;116;90;17,595;6,599;3,466;466;3,759;1,283;1,829;193
2018;11. Carabanchel;114. Vista Alegre;30,728;10,129;111;80;20,408;8,593;3,929;527;3,822;1,543;1,761;233
2018;11. Carabanchel;115. Puerta Bonita;22,566;7,945;68;71;14,482;5,522;2,999;400;2,862;1,13;1,402;167
2018;11. Carabanchel;116. Buenavista;31,946;8,022;148;164;23,612;9,236;4,289;887;5,161;1,834;1,949;256
2018;11. Carabanchel;117. Abrantes;20,045;6,44;93;76;13,436;5,306;2,66;425;2,613;1,114;1,185;133
2018;12. Usera;12. Usera;;;;;;;;;;;;
2018;12. Usera;12. Usera;89,659;30,5;365;273;58,521;20,32;12,449;1,561;13,271;4,393;5,731;796
2018;12. Usera;121. Orcasitas;16,93;4,879;71;58;11,922;3,618;2,501;294;3,302;898;1,158;151
2018;12. Usera;122. Orcasur;9,492;3,555;44;28;5,865;1,847;1,311;152;1,35;539;577;89
2018;12. Usera;123. San Fermín;15,218;5,374;56;66;9,722;3,412;2,111;264;2,193;755;884;103
2018;12. Usera;124. Almendrales;13,3;4,713;44;34;8,509;3,248;1,77;250;1,767;580;774;120
2018;12. Usera;125. Moscardó;16,231;5,244;70;35;10,882;4,194;2,103;316;2,245;791;1,114;119
2018;12. Usera;126. Zofío;8,981;2,968;42;31;5,94;1,913;1,328;158;1,341;425;635;140
2018;12. Usera;127. Pradolongo;9,507;3,767;38;21;5,681;2,088;1,325;127;1,073;405;589;74
2018;13. Puente de Vallecas;13. Puente de Vallecas;;;;;;;;;;;;
2018;13. Puente de Vallecas;13. Puente de Vallecas;162,441;53,052;707;574;108,108;29,909;25,459;2,462;25,69;7,347;15,816;1,425
2018;13. Puente de Vallecas;131. Entrevías;24,447;8,682;135;94;15,536;3,781;4,233;307;3,548;1,108;2,35;209
2018;13. Puente de Vallecas;132. San Diego;24,796;9,742;78;70;14,906;4,204;3,476;315;3,371;1,052;2,245;243
2018;13. Puente de Vallecas;133. Palomeras Bajas;29,416;7,864;126;89;21,337;5,448;4,675;560;5,745;1,179;3,509;221
2018;13. Puente de Vallecas;134. Palomeras Sureste;31,624;9,232;143;126;22,123;5,909;5,379;525;5,446;1,562;3,029;273
2018;13. Puente de Vallecas;135. Portazgo;20,436;6,816;91;83;13,446;3,833;3,169;254;3,039;990;2,002;159
2018;13. Puente de Vallecas;136. Numancia;31,722;10,716;134;112;20,76;6,734;4,527;501;4,541;1,456;2,681;320
2018;14. Moratalaz;14. Moratalaz;;;;;;;;;;;;
2018;14. Moratalaz;14. Moratalaz;73,341;17,236;280;276;55,549;23,35;10,419;1,91;11,004;3,82;4,598;448
2018;14. Moratalaz;141. Pavones;6,933;1,776;23;29;5,105;1,885;1,086;158;1,114;353;457;52
2018;14. Moratalaz;142. Horcajo;4,883;912;17;16;3,938;1,564;697;218;862;270;298;29
2018;14. Moratalaz;143. Marroquina;22,131;4,265;92;96;17,678;8,092;3,092;679;3,338;1,176;1,172;129
2018;14. Moratalaz;144. Media Legua;13,861;3,38;49;45;10,387;4,632;1,843;338;1,86;775;854;85
2018;14. Moratalaz;145. Fontarrón;12,567;3,747;39;41;8,74;3,267;1,789;228;1,861;614;900;81
2018;14. Moratalaz;146. Vinateros;12,966;3,156;60;49;9,701;3,91;1,912;289;1,969;632;917;72
2018;15. Ciudad Lineal;15. Ciudad Lineal;;;;;;;;;;;;
2018;15. Ciudad Lineal;15. Ciudad Lineal;158,339;40,158;558;496;117,127;56,201;19,08;4,561;18,998;9,429;7,869;989
2018;15. Ciudad Lineal;151. Ventas;34,797;10,158;145;110;24,384;10,252;4,607;819;4,654;1,727;2,088;237
2018;15. Ciudad Lineal;152. Pueblo Nuevo;44,21;12,609;182;147;31,272;12,961;6,224;1,131;5,839;2,245;2,532;340
2018;15. Ciudad Lineal;153. Quintana;17,405;4,979;63;37;12,326;5,473;2,042;450;2,255;1,003;981;122
2018;15. Ciudad Lineal;154. Concepción;15,453;3,775;64;50;11,564;5,531;1,691;515;1,986;945;819;77
2018;15. Ciudad Lineal;155. San Pascual;14,071;2,887;49;48;11,087;5,644;1,77;458;1,689;815;627;84
2018;15. Ciudad Lineal;156. San Juan Bautista;9,293;1,722;20;29;7,522;4,272;930;349;954;639;339;39
2018;15. Ciudad Lineal;157. Colina;4,702;807;7;23;3,865;2,133;513;195;492;338;164;30
2018;15. Ciudad Lineal;158. Atalaya;1,136;240;2;5;889;601;84;37;73;66;24;4
2018;15. Ciudad Lineal;159. Costillares;17,272;2,981;26;47;14,218;9,334;1,219;607;1,056;1,651;295;56
2018;16. Hortaleza;16. Hortaleza;;;;;;;;;;;;
2018;16. Hortaleza;16. Hortaleza;138,849;28,72;457;550;109,122;56,377;15,994;4,748;16,102;9,403;5,675;823
2018;16. Hortaleza;161. Palomas;4,787;700;10;16;4,061;2,689;325;205;300;438;90;14
2018;16. Hortaleza;162. Piovera;10,146;1,66;14;35;8,437;5,431;752;407;765;805;235;42
2018;16. Hortaleza;163. Canillas;31,641;6,996;127;116;24,402;10,976;4,51;997;4,298;1,807;1,624;190
2018;16. Hortaleza;164. Pinar del Rey;40,287;10,104;158;144;29,881;13,335;5,521;1,019;5,231;2,449;2,017;309
2018;16. Hortaleza;165. Apóstol Santiago;11,966;2,973;44;47;8,902;4,104;1,477;305;1,516;867;566;67
2018;16. Hortaleza;166. Valdefuentes;40,022;6,287;104;192;33,439;19,842;3,409;1,815;3,992;3,037;1,143;201
2018;17. Villaverde;17. Villaverde;;;;;;;;;;;;
2018;17. Villaverde;17. Villaverde;99,737;31,161;494;322;67,76;22,93;15,543;1,966;14,717;5,212;6,658;734
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;29,96;10,077;159;101;19,623;6,413;4,812;529;4,04;1,544;2,033;252
2018;17. Villaverde;172. San Cristóbal;8,525;3,929;18;30;4,548;1,29;1,202;82;934;356;593;91
2018;17. Villaverde;173. Butarque;12,951;3,128;77;45;9,701;3,203;1,766;343;2,569;785;947;88
2018;17. Villaverde;174. Los Rosales;25,124;7,679;137;87;17,221;5,766;4,032;564;3,831;1,247;1,597;184
2018;17. Villaverde;175. Ángeles;23,177;6,348;103;59;16,667;6,258;3,731;448;3,343;1,28;1,488;119
2018;18. Villa de Vallecas;18. Villa de Vallecas;;;;;;;;;;;;
2018;18. Villa de Vallecas;18. Villa de Vallecas;78,125;20,584;374;378;56,789;19,703;10,521;1,946;14,04;4,223;5,736;620
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;27,04;9,103;131;91;17,715;5,286;3,971;395;4,444;1,268;2,127;224
2018;18. Villa de Vallecas;182. Santa Eugenia;19,007;4,159;84;102;14,662;5,749;2,998;459;2,989;1,067;1,26;140
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;32,078;7,322;159;185;24,412;8,668;3,552;1,092;6,607;1,888;2,349;256
2018;19. Vicálvaro;19. Vicálvaro;;;;;;;;;;;;
2018;19. Vicálvaro;19. Vicálvaro;52,505;12,559;222;216;39,508;14,293;7,762;1,52;9,111;2,851;3,548;423
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;23,488;7,603;87;76;15,722;5,731;3,678;411;3,029;1,218;1,467;188
2018;19. Vicálvaro;192. Valdebernardo;13,848;2,731;63;49;11,005;3,492;2,184;437;2,92;685;1,193;94
2018;19. Vicálvaro;193. Valderribas;12,184;1,623;60;80;10,421;4,105;1,639;542;2,588;713;727;107
2018;19. Vicálvaro;194. El Cañaveral;2,985;602;12;11;2,36;965;261;130;574;235;161;34
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;;;;;;;;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;115,074;30,543;488;494;83,549;34,779;15,058;3,1;16,487;6,6;6,669;856
2018;20. San Blas-Canillejas;201. Simancas;19,174;5,767;84;78;13,245;5,519;2,371;459;2,561;1,06;1,125;150
2018;20. San Blas-Canillejas;202. Hellín;6,806;2,252;28;28;4,498;1,43;1;82;1,039;361;525;61
2018;20. San Blas-Canillejas;203. Amposta;5,982;2,515;16;13;3,438;1,137;801;89;712;300;342;57
2018;20. San Blas-Canillejas;204. Arcos;18,129;5,513;63;72;12,481;4,508;2,514;384;2,703;988;1,229;155
2018;20. San Blas-Canillejas;205. Rosas;24,307;4,233;129;134;19,811;8,171;3,421;936;4,374;1,347;1,415;147
2018;20. San Blas-Canillejas;206. Rejas;10,825;2,805;28;45;7,947;3,985;1,118;339;1,244;713;487;61
2018;20. San Blas-Canillejas;207. Canillejas;20,789;5,889;108;92;14,7;6,392;2,747;434;2,615;1,185;1,165;162
2018;20. San Blas-Canillejas;208. El Salvador;9,062;1,569;32;32;7,429;3,637;1,086;377;1,239;646;381;63
2018;21. Barajas;21. Barajas;;;;;;;;;;;;
2018;21. Barajas;21. Barajas;36,057;7,127;104;139;28,687;14,513;4,086;1,407;4,478;2,491;1,504;208
2018;21. Barajas;211. Alameda de Osuna;15,067;2,296;32;55;12,684;6,539;1,851;658;1,914;1,024;626;72
2018;21. Barajas;212. Aeropuerto;1,232;499;4;5;724;294;121;16;137;95;54;7
2018;21. Barajas;213. Casco Histórico de Barajas;5,327;1,469;20;17;3,821;1,685;680;103;646;387;275;45
2018;21. Barajas;214. Timón;9,178;2,024;36;41;7,077;3,322;969;358;1,317;621;433;57
2018;21. Barajas;215. Corralejos;5,253;839;12;21;4,381;2,673;465;272;464;364;116;27