AÑO;DISTRITO;BARRIO;Censo electoral;Abstención;Votos nulos;Votos blancos;Votos a candidaturas;PACMA;PH;P.S.O.E.;P.P.;FE de las JONS;ULEG;Ciudadanos;P-LIB;PUM+J;MAS MADRID;IU-MpM;MCE;VOX;UPyD;M.I.;P.C.P.E.;CNTG+;PCTE;PCAS-TC-PPCCAL-PACTO
2019;01. Centro;01. Centro;98.873;32.505;195;273;65.900;335;13;6.069;11.379;33;4;8.851;21;33;32.421;2.887;11;3.625;47;27;27;75;17;25
2019;01. Centro;011. Palacio;17.845;5.379;47;50;12.369;66;0;1.149;2.309;5;1;1.622;4;7;5.998;454;2;724;8;5;4;7;1;3
2019;01. Centro;012. Embajadores;31.496;10.829;56;94;20.517;107;6;2.073;2.548;7;0;2.120;6;7;11.166;1.443;4;949;11;12;10;28;6;14
2019;01. Centro;013. Cortes;7.755;2.466;16;27;5.246;24;2;449;1.071;2;0;779;2;2;2.410;188;1;300;3;1;2;6;3;1
2019;01. Centro;014. Justicia;12.838;4.225;22;37;8.554;47;1;686;1.979;6;0;1.518;1;6;3.502;183;2;594;13;4;3;9;0;0
2019;01. Centro;015. Universidad;23.738;7.683;48;56;15.951;78;3;1.428;2.784;13;2;2.296;7;6;7.932;527;2;822;11;4;6;19;5;6
2019;01. Centro;016. Sol;5.201;1.923;6;9;3.263;13;1;284;688;0;1;516;1;5;1.413;92;0;236;1;1;2;6;2;1
2019;02. Arganzuela;02. Arganzuela;120.913;30.928;280;388;89.317;357;21;9.464;18.850;33;5;16.757;23;53;35.017;2.628;12;5.772;82;33;30;89;30;61
2019;02. Arganzuela;021. Imperial;18.598;4.436;50;62;14.050;57;4;1.388;3.235;5;0;2.612;3;10;5.309;368;1;1.005;13;4;6;18;3;9
2019;02. Arganzuela;022. Acacias;30.449;6.995;68;95;23.291;89;5;2.419;5.100;5;0;4.440;4;13;9.079;667;4;1.407;19;5;4;18;3;10
2019;02. Arganzuela;023. Chopera;15.600;4.729;51;51;10.769;44;3;1.406;2.325;8;0;1.607;2;8;4.303;394;0;623;10;3;4;17;2;10
2019;02. Arganzuela;024. Legazpi;14.431;3.252;24;57;11.098;36;2;1.053;1.860;2;2;2.699;2;3;4.400;249;2;739;13;10;4;12;5;5
2019;02. Arganzuela;025. Delicias;20.971;5.478;41;63;15.389;71;1;1.618;3.211;5;1;3.010;5;8;5.911;450;4;1.048;14;4;6;6;7;9
2019;02. Arganzuela;026. Palos de Moguer;20.024;5.821;46;60;14.097;60;5;1.495;3.046;8;1;2.252;6;10;5.773;483;1;891;13;7;6;17;8;15
2019;02. Arganzuela;027. Atocha;840;217;0;0;623;0;1;85;73;0;1;137;1;1;242;17;0;59;0;0;0;1;2;3
2019;03. Retiro;03. Retiro;96.176;22.587;211;266;73.112;236;19;6.215;22.792;28;2;15.400;24;43;20.563;1.351;14;6.201;79;18;20;60;18;29
2019;03. Retiro;031. Pacífico;27.359;6.614;57;75;20.613;74;7;2.069;5.623;9;0;4.106;4;8;6.603;478;1;1.570;22;1;5;16;9;8
2019;03. Retiro;032. Adelfas;14.750;3.491;40;43;11.176;49;3;1.147;2.628;2;1;2.500;4;9;3.674;240;2;868;15;5;4;17;2;6
2019;03. Retiro;033. Estrella;19.263;3.868;52;48;15.295;43;1;1.189;5.324;7;0;3.345;6;10;3.857;235;5;1.237;14;6;2;9;1;4
2019;03. Retiro;034. Ibiza;16.936;4.557;29;51;12.299;41;6;1.029;3.794;5;1;2.559;6;9;3.502;220;4;1.086;12;4;4;10;3;4
2019;03. Retiro;035. Los Jerónimos;5.602;1.510;9;15;4.068;10;1;229;1.631;3;0;781;2;0;839;75;2;483;4;0;1;5;0;2
2019;03. Retiro;036. Niño Jesús;12.266;2.547;24;34;9.661;19;1;552;3.792;2;0;2.109;2;7;2.088;103;0;957;12;2;4;3;3;5
2019;04. Salamanca;04. Salamanca;112.709;30.186;198;343;81.982;289;17;6.040;31.356;32;9;17.580;31;45;16.702;1.038;15;8.625;68;15;15;59;15;31
2019;04. Salamanca;041. Recoletos;11.655;3.145;14;33;8.463;27;0;369;4.368;5;2;1.668;1;3;889;29;1;1.078;9;0;2;6;2;4
2019;04. Salamanca;042. Goya;22.834;6.554;50;92;16.138;62;2;1.283;5.972;4;2;3.617;6;9;3.190;195;2;1.762;11;2;4;10;2;3
2019;04. Salamanca;043. Fuente del Berro;16.605;4.520;31;51;12.003;60;5;1.240;3.405;4;2;2.658;4;5;3.383;232;3;970;9;4;1;8;2;8
2019;04. Salamanca;044. Guindalera;32.881;8.355;65;87;24.374;96;7;1.942;7.914;14;2;5.422;15;18;6.159;422;6;2.284;26;5;5;23;6;8
2019;04. Salamanca;045. Lista;16.050;4.358;23;42;11.627;30;2;812;4.637;1;0;2.503;3;6;2.205;113;2;1.286;6;2;3;8;2;6
2019;04. Salamanca;046. Castellana;12.684;3.254;15;38;9.377;14;1;394;5.060;4;1;1.712;2;4;876;47;1;1.245;7;2;0;4;1;2
2019;05. Chamartín;05. Chamartín;113.650;27.869;190;364;85.227;278;21;5.950;33.039;38;5;19.358;25;68;16.889;1.094;9;8.252;76;16;19;48;19;23
2019;05. Chamartín;051. El Viso;13.169;3.037;16;32;10.084;14;0;426;5.374;5;0;1.989;2;5;970;63;0;1.222;5;1;0;6;1;1
2019;05. Chamartín;052. Prosperidad;29.231;7.408;55;104;21.664;100;9;2.080;6.479;14;2;4.883;7;17;5.731;422;4;1.844;24;6;10;16;7;9
2019;05. Chamartín;053. Ciudad Jardín;14.500;3.900;23;50;10.527;46;3;982;3.116;3;0;2.226;5;9;3.065;226;2;805;15;3;2;7;7;5
2019;05. Chamartín;054. Hispanoamérica;25.050;5.950;35;77;18.988;52;4;1.075;7.909;10;1;4.607;6;10;3.192;199;0;1.891;17;1;1;6;2;5
2019;05. Chamartín;055. Nueva España;18.417;4.242;28;54;14.093;36;1;672;6.468;4;0;3.371;2;16;1.914;108;1;1.487;4;0;2;6;0;1
2019;05. Chamartín;056. Castilla;13.283;3.332;33;47;9.871;30;4;715;3.693;2;2;2.282;3;11;2.017;76;2;1.003;11;5;4;7;2;2
2019;06. Tetuán;06. Tetuán;;;;;;;;;;;;;;;;;;;;;;;;
2019;06. Tetuán;06. Tetuán;112.989;39.912;255;346;72.476;396;42;9.544;19.120;33;7;13.769;35;46;21.319;1.634;15;6.283;66;22;21;51;22;51
2019;06. Tetuán;061. Bellas Vistas;19.827;7.468;42;84;12.233;65;8;1.808;2.814;6;4;2.062;8;13;4.179;338;5;873;9;5;7;9;2;18
2019;06. Tetuán;062. Cuatro Caminos;26.351;7.763;49;65;18.474;85;1;1.738;6.224;4;1;3.925;8;12;4.314;299;3;1.808;23;3;5;10;3;8
2019;06. Tetuán;063. Castillejos;15.896;4.666;28;42;11.160;38;4;912;4.041;6;0;2.405;5;6;2.387;162;2;1.171;9;3;2;3;1;3
2019;06. Tetuán;064. Almenara;16.890;6.834;38;47;9.971;73;11;1.667;2.089;4;1;1.658;6;7;3.272;281;0;869;6;4;1;13;4;5
2019;06. Tetuán;065. Valdeacederas;17.472;6.964;49;60;10.399;72;9;1.792;1.786;8;1;1.921;6;4;3.737;278;3;738;10;3;3;7;9;12
2019;06. Tetuán;066. Berruguete;16.553;6.217;49;48;10.239;63;9;1.627;2.166;5;0;1.798;2;4;3.430;276;2;824;9;4;3;9;3;5
2019;07. Chamberí;07. Chamberí;110.576;28.402;206;352;81.616;261;12;6.217;28.042;41;6;16.577;28;46;21.582;1.362;29;7.183;86;9;19;60;15;41
2019;07. Chamberí;071. Gaztambide;18.447;4.910;35;60;13.442;46;3;1.049;4.414;10;1;2.636;3;3;3.771;243;6;1.209;17;0;5;18;3;5
2019;07. Chamberí;072. Arapiles;19.472;5.163;52;66;14.191;57;3;1.255;4.132;9;2;2.807;4;4;4.507;273;5;1.093;17;0;5;9;2;7
2019;07. Chamberí;073. Trafalgar;19.322;5.359;35;57;13.871;48;2;1.184;3.821;5;0;2.705;5;12;4.721;288;2;1.039;12;2;3;8;3;11
2019;07. Chamberí;074. Almagro;15.185;3.768;20;51;11.346;36;2;675;5.213;7;2;2.181;4;4;1.978;120;2;1.095;8;4;2;6;1;6
2019;07. Chamberí;075. Ríos Rosas;21.663;5.614;42;74;15.933;42;1;1.314;5.358;5;1;3.481;9;5;4.019;269;4;1.382;22;1;1;9;5;5
2019;07. Chamberí;076. Vallehermoso;16.487;3.588;22;44;12.833;32;1;740;5.104;5;0;2.767;3;18;2.586;169;10;1.365;10;2;3;10;1;7
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;182.995;49.249;387;551;132.808;570;42;15.341;36.871;63;6;31.091;27;105;33.954;2.431;31;11.852;143;40;60;91;32;58
2019;08. Fuencarral-El Pardo;081. El Pardo;2.903;959;8;2;1.934;14;1;220;590;4;0;391;0;0;357;32;0;321;2;0;2;0;0;0
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;2.481;528;3;2;1.948;6;0;75;1.058;0;0;396;1;4;176;13;1;215;0;0;0;3;0;0
2019;08. Fuencarral-El Pardo;083. Peñagrande;35.420;9.603;95;120;25.602;90;6;3.353;6.751;12;3;5.445;3;24;7.344;527;5;1.940;36;10;17;22;6;8
2019;08. Fuencarral-El Pardo;084. Pilar;36.864;11.893;107;119;24.745;163;9;4.091;6.162;11;1;4.509;5;15;7.307;611;7;1.775;17;8;8;20;9;17
2019;08. Fuencarral-El Pardo;085. La Paz;28.372;6.132;47;75;22.118;69;7;2.289;7.135;12;0;5.059;3;10;5.334;319;9;1.822;21;4;8;7;3;7
2019;08. Fuencarral-El Pardo;086. Valverde;41.495;12.427;70;128;28.870;152;14;3.512;6.233;16;0;7.779;8;29;7.867;562;6;2.570;41;13;19;21;5;23
2019;08. Fuencarral-El Pardo;087. Mirasierra;24.056;4.968;36;71;18.981;50;4;1.245;6.571;5;1;4.901;5;12;3.702;259;2;2.171;20;5;4;16;6;2
2019;08. Fuencarral-El Pardo;088. El Goloso;11.404;2.739;21;34;8.610;26;1;556;2.371;3;1;2.611;2;11;1.867;108;1;1.038;6;0;2;2;3;1
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;90.595;22.810;204;274;67.307;243;21;5.906;22.102;35;3;13.513;18;46;18.006;1.261;11;5.946;66;14;14;65;12;25
2019;09. Moncloa-Aravaca;091. Casa de Campo;10.648;2.726;26;33;7.863;34;2;718;1.910;15;1;1.425;2;6;2.994;181;1;541;14;0;3;10;4;2
2019;09. Moncloa-Aravaca;092. Argüelles;19.127;5.053;36;59;13.979;40;4;956;4.882;5;0;2.623;5;7;3.807;214;4;1.394;15;6;1;10;0;6
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;12.669;2.890;32;31;9.716;30;7;680;3.580;2;1;2.081;3;8;2.288;166;3;843;8;0;1;11;2;2
2019;09. Moncloa-Aravaca;094. Valdezarza;23.044;6.735;68;81;16.160;98;5;2.379;3.577;6;1;3.035;2;14;5.505;436;2;1.032;18;6;6;21;3;14
2019;09. Moncloa-Aravaca;095. Valdemarín;4.267;909;5;3;3.350;7;0;93;1.773;2;0;781;0;1;207;13;0;466;0;1;0;6;0;0
2019;09. Moncloa-Aravaca;096. El Plantío;1.989;465;7;3;1.514;1;1;65;735;1;0;294;0;0;180;10;0;227;0;0;0;0;0;0
2019;09. Moncloa-Aravaca;097. Aravaca;18.851;4.032;30;64;14.725;33;2;1.015;5.645;4;0;3.274;6;10;3.025;241;1;1.443;11;1;3;7;3;1
2019;10. Latina;10. Latina;175.624;58.383;503;430;116.308;694;63;19.615;27.145;47;22;19.357;36;104;36.084;4.085;29;8.459;136;56;64;105;51;156
2019;10. Latina;101. Los Cármenes;12.609;4.661;30;24;7.894;47;1;1.352;1.377;1;2;1.323;1;2;2.854;312;0;595;11;0;3;4;5;4
2019;10. Latina;102. Puerta del Ángel;29.739;11.246;75;55;18.363;123;13;2.930;3.966;5;2;2.774;9;13;6.539;667;4;1.231;18;10;11;20;4;24
2019;10. Latina;103. Lucero;26.056;8.977;74;65;16.940;101;9;2.884;3.951;4;2;2.797;8;12;5.443;623;10;1.023;11;19;5;11;8;19
2019;10. Latina;104. Aluche;49.544;15.720;159;144;33.521;193;16;5.722;8.862;17;11;5.460;8;33;9.513;1.243;11;2.259;42;14;20;30;16;51
2019;10. Latina;105. Campamento;13.646;4.296;43;38;9.269;51;3;1.190;2.762;6;0;1.701;2;8;2.245;216;3;1.028;15;4;7;8;2;18
2019;10. Latina;106. Cuatro Vientos;4.008;1.284;9;10;2.705;14;3;364;342;0;1;729;0;3;922;80;0;223;7;1;2;5;5;4
2019;10. Latina;107. Águilas;40.022;12.199;113;94;27.616;165;18;5.173;5.885;14;4;4.573;8;33;8.568;944;1;2.100;32;8;16;27;11;36
2019;11. Carabanchel;11. Carabanchel;172.660;66.656;493;487;105.024;626;54;18.738;21.098;54;14;17.546;19;81;35.119;3.293;18;7.674;166;64;67;110;58;225
2019;11. Carabanchel;111. Comillas;16.427;6.006;66;39;10.316;40;3;1.613;2.339;4;1;1.649;1;13;3.491;360;1;751;13;5;6;9;5;12
2019;11. Carabanchel;112. Opañel;22.927;8.564;51;54;14.258;85;7;2.359;3.101;9;1;2.300;1;15;4.890;403;0;1.006;10;7;13;21;7;23
2019;11. Carabanchel;113. San Isidro;26.964;11.159;65;69;15.671;110;10;2.983;3.053;15;2;2.354;2;17;5.425;550;4;1.043;13;10;8;25;7;40
2019;11. Carabanchel;114. Vista Alegre;31.345;12.394;100;85;18.766;93;7;3.278;4.465;6;1;2.893;3;12;5.884;612;4;1.405;29;7;12;15;9;31
2019;11. Carabanchel;115. Puerta Bonita;22.846;9.812;66;72;12.896;87;11;2.676;2.489;7;1;2.085;6;8;4.039;409;3;965;38;10;10;9;10;33
2019;11. Carabanchel;116. Buenavista;31.833;10.554;91;122;21.066;120;8;3.430;3.300;7;5;4.233;2;12;7.577;658;4;1.555;44;16;10;21;16;48
2019;11. Carabanchel;117. Abrantes;20.318;8.167;54;46;12.051;91;8;2.399;2.351;6;3;2.032;4;4;3.813;301;2;949;19;9;8;10;4;38
2019;12. Usera;12. Usera;90.673;38.311;218;227;51.917;349;23;11.189;8.285;26;5;7.663;12;36;19.146;1.504;23;3.331;49;32;27;67;22;128
2019;12. Usera;121. Orcasitas;17.019;6.110;52;45;10.812;80;5;2.141;1.152;3;1;1.517;2;3;4.947;279;6;618;11;9;2;16;3;17
2019;12. Usera;122. Orcasur;9.587;4.649;25;27;4.886;17;1;1.283;594;3;0;669;0;3;1.829;136;1;305;5;4;2;18;4;12
2019;12. Usera;123. San Fermín;15.292;6.364;49;42;8.837;60;6;1.967;1.288;6;1;1.454;1;10;3.088;266;0;634;8;4;3;13;4;24
2019;12. Usera;124. Almendrales;13.073;5.918;23;25;7.107;49;4;1.541;1.357;3;1;1.123;1;4;2.362;162;4;462;7;4;2;6;5;10
2019;12. Usera;125. Moscardó;16.688;6.601;31;44;10.012;80;4;1.875;2.111;8;0;1.480;6;5;3.402;314;7;652;12;5;8;6;4;33
2019;12. Usera;126. Zofío;9.160;3.776;18;28;5.338;39;1;1.168;841;1;0;761;1;6;1.962;200;4;321;4;4;6;3;0;16
2019;12. Usera;127. Pradolongo;9.854;4.893;20;16;4.925;24;2;1.214;942;2;2;659;1;5;1.556;147;1;339;2;2;4;5;2;16
2019;13. Puente de Vallecas;13. Puente de Vallecas;165.323;67.924;422;377;96.600;682;51;22.726;11.571;52;20;12.082;24;70;38.898;4.785;22;5.061;79;52;86;109;76;154
2019;13. Puente de Vallecas;131. Entrevías;24.883;11.168;60;45;13.610;103;8;4.105;1.341;7;0;1.478;2;12;5.092;702;3;691;8;9;10;10;9;20
2019;13. Puente de Vallecas;132. San Diego;25.298;12.366;42;58;12.832;108;5;3.234;1.602;7;5;1.569;3;10;4.825;618;3;727;16;5;23;23;17;32
2019;13. Puente de Vallecas;133. Palomeras Bajas;29.719;10.110;80;91;19.438;114;5;3.635;2.145;6;3;2.408;5;17;8.994;1.180;4;824;18;7;18;11;19;25
2019;13. Puente de Vallecas;134. Palomeras Sureste;32.155;12.231;93;67;19.764;147;8;4.773;1.973;10;4;2.650;5;7;8.189;839;1;1.046;12;11;16;35;9;29
2019;13. Puente de Vallecas;135. Portazgo;20.830;8.513;54;52;12.211;78;5;2.871;1.618;10;2;1.421;3;8;4.880;556;5;681;12;10;10;14;9;18
2019;13. Puente de Vallecas;136. Numancia;32.438;13.536;93;64;18.745;132;20;4.108;2.892;12;6;2.556;6;16;6.918;890;6;1.092;13;10;9;16;13;30
2019;14. Moratalaz;14. Moratalaz;75.149;22.722;208;245;51.974;276;11;8.119;11.994;20;5;9.104;21;64;17.134;1.685;9;3.316;45;18;33;61;25;34
2019;14. Moratalaz;141. Pavones;7.069;2.295;20;15;4.739;30;3;831;772;1;0;796;1;4;1.774;172;2;330;3;2;5;9;1;3
2019;14. Moratalaz;142. Horcajo;4.846;1.275;14;23;3.534;8;0;446;529;2;0;870;3;6;1.285;104;0;266;7;2;2;2;1;1
2019;14. Moratalaz;143. Marroquina;22.729;5.747;63;69;16.850;83;2;2.316;4.309;4;1;3.190;4;26;5.334;465;4;1.061;13;3;8;13;4;10
2019;14. Moratalaz;144. Media Legua;14.328;4.445;30;60;9.793;54;0;1.378;2.610;9;1;1.685;6;9;3.050;295;1;658;7;2;6;7;10;5
2019;14. Moratalaz;145. Fontarrón;12.874;4.849;28;32;7.965;45;2;1.569;1.627;1;1;1.156;3;7;2.742;279;0;484;14;4;8;16;3;4
2019;14. Moratalaz;146. Vinateros;13.303;4.111;53;46;9.093;56;4;1.579;2.147;3;2;1.407;4;12;2.949;370;2;517;1;5;4;14;6;11
2019;15. Ciudad Lineal;15. Ciudad Lineal;161.562;52.551;450;516;108.045;594;30;15.006;28.341;67;12;21.710;39;95;31.072;2.435;18;8.142;110;46;55;104;40;129
2019;15. Ciudad Lineal;151. Ventas;35.549;13.036;117;93;22.303;162;8;3.850;5.004;14;5;3.833;7;13;7.216;607;8;1.469;19;11;15;27;8;27
2019;15. Ciudad Lineal;152. Pueblo Nuevo;44.818;16.405;157;124;28.132;165;9;5.076;6.072;16;2;4.964;6;11;9.062;789;6;1.817;24;10;13;24;15;51
2019;15. Ciudad Lineal;153. Quintana;17.946;6.517;40;63;11.326;83;2;1.707;2.651;11;2;2.123;10;15;3.568;276;1;810;20;12;5;11;4;15
2019;15. Ciudad Lineal;154. Concepción;15.858;5.090;50;50;10.668;55;3;1.277;2.648;7;1;2.283;5;10;3.263;236;1;831;11;2;7;11;4;13
2019;15. Ciudad Lineal;155. San Pascual;14.485;3.824;40;70;10.551;55;3;1.365;2.836;5;0;2.284;3;11;2.965;209;2;757;13;1;6;15;5;16
2019;15. Ciudad Lineal;156. San Juan Bautista;9.537;2.222;11;46;7.258;24;0;562;2.346;4;0;1.731;2;6;1.894;131;0;542;9;0;1;2;1;3
2019;15. Ciudad Lineal;157. Colina;4.844;1.214;6;15;3.609;17;1;291;1.100;0;0;854;1;8;945;49;0;330;4;2;1;2;3;1
2019;15. Ciudad Lineal;158. Atalaya;1.158;309;0;0;849;2;0;72;380;1;0;189;0;1;136;14;0;52;0;0;0;1;0;1
2019;15. Ciudad Lineal;159. Costillares;17.367;3.934;29;55;13.349;31;4;806;5.304;9;2;3.449;5;20;2.023;124;0;1.534;10;8;7;11;0;2
2019;16. Hortaleza;16. Hortaleza;138.606;39.021;348;396;98.841;450;45;12.633;23.956;46;5;24.849;27;55;26.202;1.945;12;8.315;86;25;39;86;25;40
2019;16. Hortaleza;161. Palomas;4.810;1.075;9;21;3.705;15;1;229;1.346;1;0;1.094;3;3;576;27;0;405;1;0;1;2;0;1
2019;16. Hortaleza;162. Piovera;10.575;2.606;16;25;7.928;21;6;502;2.880;1;0;2.177;2;3;1.472;89;0;760;7;1;1;6;0;0
2019;16. Hortaleza;163. Canillas;32.434;9.047;82;104;23.201;123;6;3.584;5.045;9;0;4.924;5;13;7.266;627;6;1.502;21;8;16;31;3;12
2019;16. Hortaleza;164. Pinar del Rey;41.226;13.128;133;117;27.848;150;21;4.923;6.079;18;1;5.516;10;13;8.197;687;3;2.135;24;8;14;22;11;16
2019;16. Hortaleza;165. Apóstol Santiago;12.166;4.026;40;36;8.064;49;6;1.190;1.747;4;2;1.704;2;9;2.362;176;0;787;12;4;2;2;3;3
2019;16. Hortaleza;166. Valdefuentes;37.395;9.139;68;93;28.095;92;5;2.205;6.859;13;2;9.434;5;14;6.329;339;3;2.726;21;4;5;23;8;8
2019;17. Villaverde;17. Villaverde;98.996;39.401;281;262;59.052;441;36;13.968;9.123;40;20;9.023;20;43;20.050;2.013;8;3.898;62;38;45;63;44;117
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;30.155;12.664;81;66;17.344;136;15;4.611;2.565;13;9;2.504;7;13;5.534;654;6;1.155;22;13;21;25;15;26
2019;17. Villaverde;172. San Cristóbal;8.592;4.911;25;11;3.645;29;5;1.197;504;2;0;406;2;4;1.086;148;0;214;4;8;4;6;3;23
2019;17. Villaverde;173. Butarque;11.910;4.313;24;42;7.531;69;4;1.400;708;4;1;1.455;3;6;3.018;271;1;547;10;2;8;12;5;7
2019;17. Villaverde;174. Los Rosales;25.291;9.416;68;83;15.724;110;7;3.670;2.261;14;8;2.566;4;8;5.571;467;0;951;13;9;8;10;13;34
2019;17. Villaverde;175. Ángeles;23.048;8.097;83;60;14.808;97;5;3.090;3.085;7;2;2.092;4;12;4.841;473;1;1.031;13;6;4;10;8;27
2019;18. Villa de Vallecas;18. Villa de Vallecas;77.371;27.011;219;253;49.888;341;16;8.623;6.265;23;7;9.496;14;34;19.896;1.679;7;3.267;47;26;39;60;13;35
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;27.640;11.659;79;86;15.816;119;7;3.557;1.950;11;3;2.185;2;12;6.358;649;5;867;11;15;24;22;3;16
2019;18. Villa de Vallecas;182. Santa Eugenia;19.351;5.798;72;60;13.421;79;1;2.497;2.415;3;0;2.478;7;13;4.598;376;0;921;8;7;5;4;4;5
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;30.380;9.554;68;107;20.651;143;8;2.569;1.900;9;4;4.833;5;9;8.940;654;2;1.479;28;4;10;34;6;14
2019;19. Vicálvaro;19. Vicálvaro;50.813;16.283;134;167;34.229;207;13;6.374;4.722;18;1;6.611;5;36;12.585;1.277;10;2.200;32;20;14;58;14;32
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;23.813;9.866;75;56;13.816;104;7;3.531;2.282;10;1;2.132;3;20;4.158;499;4;992;16;8;7;17;6;19
2019;19. Vicálvaro;192. Valdebernardo;13.799;3.531;28;52;10.188;52;4;1.554;1.191;2;0;1.789;1;8;4.522;443;3;556;6;7;5;30;7;8
2019;19. Vicálvaro;193. Valderribas;12.062;2.621;26;53;9.362;41;2;1.184;1.162;6;0;2.476;1;7;3.596;287;3;567;8;5;2;10;1;4
2019;19. Vicálvaro;194. El Cañaveral;1.139;265;5;6;863;10;0;105;87;0;0;214;0;1;309;48;0;85;2;0;0;1;0;1
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;115.712;39.551;352;335;75.474;464;35;13.213;13.339;32;2;15.543;17;63;25.109;2.013;7;5.311;80;20;43;73;36;74
2019;20. San Blas-Canillejas;201. Simancas;19.350;7.449;61;54;11.786;101;7;2.287;2.016;9;0;2.392;3;21;3.767;304;2;824;11;1;7;11;4;19
2019;20. San Blas-Canillejas;202. Hellín;7.004;2.950;31;16;4.007;38;2;1.018;566;1;0;520;0;1;1.426;161;0;241;7;1;5;6;7;7
2019;20. San Blas-Canillejas;203. Amposta;6.106;3.048;16;12;3.030;16;1;859;443;1;0;427;0;5;967;112;1;183;1;1;3;7;0;3
2019;20. San Blas-Canillejas;204. Arcos;18.162;7.028;40;55;11.039;57;6;2.381;1.575;3;0;1.873;7;14;3.947;351;0;760;15;6;11;16;6;11
2019;20. San Blas-Canillejas;205. Rosas;23.927;5.491;74;95;18.267;87;8;2.625;2.942;8;0;4.205;4;9;6.727;465;2;1.111;25;4;5;20;9;11
2019;20. San Blas-Canillejas;206. Rejas;10.776;3.735;24;25;6.992;31;2;794;1.249;3;0;1.985;2;5;2.116;132;0;655;7;0;3;2;0;6
2019;20. San Blas-Canillejas;207. Canillejas;21.247;7.655;74;51;13.467;91;8;2.524;2.856;1;0;2.513;0;5;4.086;364;2;965;10;4;8;7;8;15
2019;20. San Blas-Canillejas;208. El Salvador;9.140;2.195;32;27;6.886;43;1;725;1.692;6;2;1.628;1;3;2.073;124;0;572;4;3;1;4;2;2
2019;21. Barajas;21. Barajas;35.916;9.661;85;93;26.077;137;16;3.124;5.954;13;4;6.656;10;17;7.411;393;3;2.256;37;6;4;20;7;9
2019;21. Barajas;211. Alameda de Osuna;15.162;3.309;37;36;11.780;48;9;1.097;3.137;6;1;2.871;5;10;3.447;174;1;945;14;2;2;9;0;2
2019;21. Barajas;212. Aeropuerto;1.244;583;3;0;658;3;0;126;73;1;0;122;0;0;249;12;0;70;0;0;0;0;2;0
2019;21. Barajas;213. Casco Histórico de Barajas;5.505;2.049;11;11;3.434;38;3;697;656;3;1;661;3;0;955;61;1;343;0;1;1;4;3;3
2019;21. Barajas;214. Timón;8.761;2.516;22;29;6.194;32;3;876;1.076;1;1;1.636;1;5;1.926;103;0;511;11;3;1;3;1;4
2019;21. Barajas;215. Corralejos;5.244;1.204;12;17;4.011;16;1;328;1.012;2;1;1.366;1;2;834;43;1;387;12;0;0;4;1;0
