AÑO;DISTRITO;BARRIO;Num vecinos dejan el barrio
2019;21. Barajas;215. Corralejos;612
2020;01. Centro;01. Centro;
2020;01. Centro;01. Centro;12.476
2020;01. Centro;011. Palacio;1.792
2020;01. Centro;012. Embajadores;4.547
2020;01. Centro;013. Cortes;951
2020;01. Centro;014. Justicia;1.552
2020;01. Centro;015. Universidad;2.957
2020;01. Centro;016. Sol;677
2020;02. Arganzuela;02. Arganzuela;
2020;02. Arganzuela;02. Arganzuela;9.167
2020;02. Arganzuela;021. Imperial;1.145
2020;02. Arganzuela;022. Acacias;1.835
2020;02. Arganzuela;023. Chopera;1.394
2020;02. Arganzuela;024. Legazpi;1.100
2020;02. Arganzuela;025. Delicias;1.802
2020;02. Arganzuela;026. Palos de Moguer;1.857
2020;02. Arganzuela;027. Atocha;34
2020;03. Retiro;03. Retiro;
2020;03. Retiro;03. Retiro;6.630
2020;03. Retiro;031. Pacífico;1.976
2020;03. Retiro;032. Adelfas;1.000
2020;03. Retiro;033. Estrella;906
2020;03. Retiro;034. Ibiza;1.523
2020;03. Retiro;035. Los Jerónimos;408
2020;03. Retiro;036. Niño Jesús;817
2020;04. Salamanca;04. Salamanca;
2020;04. Salamanca;04. Salamanca;10.113
2020;04. Salamanca;041. Recoletos;1.232
2020;04. Salamanca;042. Goya;2.197
2020;04. Salamanca;043. Fuente del Berro;1.290
2020;04. Salamanca;044. Guindalera;2.522
2020;04. Salamanca;045. Lista;1.570
2020;04. Salamanca;046. Castellana;1.302
2020;05. Chamartín;05. Chamartín;
2020;05. Chamartín;05. Chamartín;9.958
2020;05. Chamartín;051. El Viso;1.227
2020;05. Chamartín;052. Prosperidad;2.370
2020;05. Chamartín;053. Ciudad Jardín;1.369
2020;05. Chamartín;054. Hispanoamérica;2.077
2020;05. Chamartín;055. Nueva España;1.857
2020;05. Chamartín;056. Castilla;1.058
2020;06. Tetuán;06. Tetuán;
2020;06. Tetuán;06. Tetuán;13.499
2020;06. Tetuán;061. Bellas Vistas;2.632
2020;06. Tetuán;062. Cuatro Caminos;2.771
2020;06. Tetuán;063. Castillejos;1.614
2020;06. Tetuán;064. Almenara;1.509
2020;06. Tetuán;065. Valdeacederas;2.508
2020;06. Tetuán;066. Berruguete;2.465
2020;07. Chamberí;07. Chamberí;
2020;07. Chamberí;07. Chamberí;9.800
2020;07. Chamberí;071. Gaztambide;1.520
2020;07. Chamberí;072. Arapiles;1.789
2020;07. Chamberí;073. Trafalgar;1.857
2020;07. Chamberí;074. Almagro;1.543
2020;07. Chamberí;075. Ríos Rosas;1.956
2020;07. Chamberí;076. Vallehermoso;1.135
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;13.545
2020;08. Fuencarral-El Pardo;081. El Pardo;167
2020;08. Fuencarral-El Pardo;082. Fuentelarreina;161
2020;08. Fuencarral-El Pardo;083. Peñagrande;2.330
2020;08. Fuencarral-El Pardo;084. Pilar;2.659
2020;08. Fuencarral-El Pardo;085. La Paz;1.329
2020;08. Fuencarral-El Pardo;086. Valverde;4.053
2020;08. Fuencarral-El Pardo;087. Mirasierra;1.658
2020;08. Fuencarral-El Pardo;088. El Goloso;1.188
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;6.720
2020;09. Moncloa-Aravaca;091. Casa de Campo;727
2020;09. Moncloa-Aravaca;092. Argüelles;1.657
2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;888
2020;09. Moncloa-Aravaca;094. Valdezarza;1.828
2020;09. Moncloa-Aravaca;095. Valdemarín;445
2020;09. Moncloa-Aravaca;096. El Plantío;92
2020;09. Moncloa-Aravaca;097. Aravaca;1.083
2020;10. Latina;10. Latina;
2020;10. Latina;10. Latina;13.401
2020;10. Latina;101. Los Cármenes;1.037
2020;10. Latina;102. Puerta del Ángel;3.017
2020;10. Latina;103. Lucero;2.291
2020;10. Latina;104. Aluche;3.661
2020;10. Latina;105. Campamento;1.132
2020;10. Latina;106. Cuatro Vientos;246
2020;10. Latina;107. Águilas;2.017
2020;11. Carabanchel;11. Carabanchel;
2020;11. Carabanchel;11. Carabanchel;17.743
2020;11. Carabanchel;111. Comillas;1.626
2020;11. Carabanchel;112. Opañel;2.470
2020;11. Carabanchel;113. San Isidro;3.026
2020;11. Carabanchel;114. Vista Alegre;3.406
2020;11. Carabanchel;115. Puerta Bonita;2.749
2020;11. Carabanchel;116. Buenavista;2.407
2020;11. Carabanchel;117. Abrantes;2.059
2020;12. Usera;12. Usera;
2020;12. Usera;12. Usera;10.403
2020;12. Usera;121. Orcasitas;910
2020;12. Usera;122. Orcasur;766
2020;12. Usera;123. San Fermín;1.502
2020;12. Usera;124. Almendrales;1.860
2020;12. Usera;125. Moscardó;2.445
2020;12. Usera;126. Zofío;1.080
2020;12. Usera;127. Pradolongo;1.840
2020;13. Puente de Vallecas;13. Puente de Vallecas;
2020;13. Puente de Vallecas;13. Puente de Vallecas;17.496
2020;13. Puente de Vallecas;131. Entrevías;2.205
2020;13. Puente de Vallecas;132. San Diego;4.671
2020;13. Puente de Vallecas;133. Palomeras Bajas;2.390
2020;13. Puente de Vallecas;134. Palomeras Sureste;2.504
2020;13. Puente de Vallecas;135. Portazgo;1.762
2020;13. Puente de Vallecas;136. Numancia;3.964
2020;14. Moratalaz;14. Moratalaz;
2020;14. Moratalaz;14. Moratalaz;4.652
2020;14. Moratalaz;141. Pavones;435
2020;14. Moratalaz;142. Horcajo;247
2020;14. Moratalaz;143. Marroquina;1.093
2020;14. Moratalaz;144. Media Legua;861
2020;14. Moratalaz;145. Fontarrón;1.111
2020;14. Moratalaz;146. Vinateros;905
2020;15. Ciudad Lineal;15. Ciudad Lineal;
2020;15. Ciudad Lineal;15. Ciudad Lineal;14.196
2020;15. Ciudad Lineal;151. Ventas;3.286
2020;15. Ciudad Lineal;152. Pueblo Nuevo;4.338
2020;15. Ciudad Lineal;153. Quintana;1.976
2020;15. Ciudad Lineal;154. Concepción;1.432
2020;15. Ciudad Lineal;155. San Pascual;939
2020;15. Ciudad Lineal;156. San Juan Bautista;648
2020;15. Ciudad Lineal;157. Colina;390
2020;15. Ciudad Lineal;158. Atalaya;135
2020;15. Ciudad Lineal;159. Costillares;1.052
2020;16. Hortaleza;16. Hortaleza;
2020;16. Hortaleza;16. Hortaleza;10.269
2020;16. Hortaleza;161. Palomas;413
2020;16. Hortaleza;162. Piovera;877
2020;16. Hortaleza;163. Canillas;1.997
2020;16. Hortaleza;164. Pinar del Rey;2.912
2020;16. Hortaleza;165. Apóstol Santiago;766
2020;16. Hortaleza;166. Valdefuentes;3.304
2020;17. Villaverde;17. Villaverde;
2020;17. Villaverde;17. Villaverde;9.758
2020;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;2.930
2020;17. Villaverde;172. San Cristóbal;1.532
2020;17. Villaverde;173. Butarque;1.069
2020;17. Villaverde;174. Los Rosales;2.338
2020;17. Villaverde;175. Ángeles;1.889
2020;18. Villa de Vallecas;18. Villa de Vallecas;
2020;18. Villa de Vallecas;18. Villa de Vallecas;6.791
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;2.826
2020;18. Villa de Vallecas;182. Santa Eugenia;1.016
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;2.949
2020;19. Vicálvaro;19. Vicálvaro;
2020;19. Vicálvaro;19. Vicálvaro;3.430
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2.003
2020;19. Vicálvaro;192. Valdebernardo;689
2020;19. Vicálvaro;193. Valderribas;710
2020;19. Vicálvaro;194. El Cañaveral;28
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;9.345
2020;20. San Blas-Canillejas;201. Simancas;2.112
2020;20. San Blas-Canillejas;202. Hellín;630
2020;20. San Blas-Canillejas;203. Amposta;703
2020;20. San Blas-Canillejas;204. Arcos;1.171
2020;20. San Blas-Canillejas;205. Rosas;1.127
2020;20. San Blas-Canillejas;206. Rejas;1.365
2020;20. San Blas-Canillejas;207. Canillejas;1.679
2020;20. San Blas-Canillejas;208. El Salvador;558
2020;21. Barajas;21. Barajas;
2020;21. Barajas;21. Barajas;2.568
2020;21. Barajas;211. Alameda de Osuna;879
2020;21. Barajas;212. Aeropuerto;119
2020;21. Barajas;213. Casco Histórico de Barajas;547
2020;21. Barajas;214. Timón;608
2020;21. Barajas;215. Corralejos;415
2018;01. Centro;01. Centro;
2018;01. Centro;01. Centro;11.969
2018;01. Centro;011. Palacio;1.652
2018;01. Centro;012. Embajadores;4.416
2018;01. Centro;013. Cortes;914
2018;01. Centro;014. Justicia;1.479
2018;01. Centro;015. Universidad;2.859
2018;01. Centro;016. Sol;649
2018;02. Arganzuela;02. Arganzuela;
2018;02. Arganzuela;02. Arganzuela;9.074
2018;02. Arganzuela;021. Imperial;1.000
2018;02. Arganzuela;022. Acacias;1.648
2018;02. Arganzuela;023. Chopera;1.318
2018;02. Arganzuela;024. Legazpi;1.186
2018;02. Arganzuela;025. Delicias;1.917
2018;02. Arganzuela;026. Palos de Moguer;1.978
2018;02. Arganzuela;027. Atocha;27
2018;03. Retiro;03. Retiro;
2018;03. Retiro;03. Retiro;5.716
2018;03. Retiro;031. Pacífico;1.726
2018;03. Retiro;032. Adelfas;851
2018;03. Retiro;033. Estrella;787
2018;03. Retiro;034. Ibiza;1.315
2018;03. Retiro;035. Los Jerónimos;383
2018;03. Retiro;036. Niño Jesús;654
2018;04. Salamanca;04. Salamanca;
2018;04. Salamanca;04. Salamanca;9.248
2018;04. Salamanca;041. Recoletos;1.010
2018;04. Salamanca;042. Goya;2.027
2018;04. Salamanca;043. Fuente del Berro;1.267
2018;04. Salamanca;044. Guindalera;2.350
2018;04. Salamanca;045. Lista;1.453
2018;04. Salamanca;046. Castellana;1.141
2018;05. Chamartín;05. Chamartín;
2018;05. Chamartín;05. Chamartín;8.679
2018;05. Chamartín;051. El Viso;1.031
2018;05. Chamartín;052. Prosperidad;1.957
2018;05. Chamartín;053. Ciudad Jardín;1.225
2018;05. Chamartín;054. Hispanoamérica;1.728
2018;05. Chamartín;055. Nueva España;1.649
2018;05. Chamartín;056. Castilla;1.089
2018;06. Tetuán;06. Tetuán;
2018;06. Tetuán;06. Tetuán;12.207
2018;06. Tetuán;061. Bellas Vistas;2.570
2018;06. Tetuán;062. Cuatro Caminos;2.346
2018;06. Tetuán;063. Castillejos;1.542
2018;06. Tetuán;064. Almenara;1.382
2018;06. Tetuán;065. Valdeacederas;2.132
2018;06. Tetuán;066. Berruguete;2.235
2018;07. Chamberí;07. Chamberí;
2018;07. Chamberí;07. Chamberí;8.813
2018;07. Chamberí;071. Gaztambide;1.376
2018;07. Chamberí;072. Arapiles;1.636
2018;07. Chamberí;073. Trafalgar;1.770
2018;07. Chamberí;074. Almagro;1.329
2018;07. Chamberí;075. Ríos Rosas;1.711
2018;07. Chamberí;076. Vallehermoso;991
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;11.413
2018;08. Fuencarral-El Pardo;081. El Pardo;145
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;135
2018;08. Fuencarral-El Pardo;083. Peñagrande;1.795
2018;08. Fuencarral-El Pardo;084. Pilar;2.409
2018;08. Fuencarral-El Pardo;085. La Paz;1.163
2018;08. Fuencarral-El Pardo;086. Valverde;3.250
2018;08. Fuencarral-El Pardo;087. Mirasierra;1.406
2018;08. Fuencarral-El Pardo;088. El Goloso;1.110
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;5.554
2018;09. Moncloa-Aravaca;091. Casa de Campo;541
2018;09. Moncloa-Aravaca;092. Argüelles;1.456
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;807
2018;09. Moncloa-Aravaca;094. Valdezarza;1.440
2018;09. Moncloa-Aravaca;095. Valdemarín;356
2018;09. Moncloa-Aravaca;096. El Plantío;70
2018;09. Moncloa-Aravaca;097. Aravaca;884
2018;10. Latina;10. Latina;
2018;10. Latina;10. Latina;11.968
2018;10. Latina;101. Los Cármenes;915
2018;10. Latina;102. Puerta del Ángel;2.716
2018;10. Latina;103. Lucero;1.940
2018;10. Latina;104. Aluche;3.140
2018;10. Latina;105. Campamento;1.152
2018;10. Latina;106. Cuatro Vientos;236
2018;10. Latina;107. Águilas;1.869
2018;11. Carabanchel;11. Carabanchel;
2018;11. Carabanchel;11. Carabanchel;15.980
2018;11. Carabanchel;111. Comillas;1.434
2018;11. Carabanchel;112. Opañel;2.232
2018;11. Carabanchel;113. San Isidro;2.639
2018;11. Carabanchel;114. Vista Alegre;3.064
2018;11. Carabanchel;115. Puerta Bonita;2.446
2018;11. Carabanchel;116. Buenavista;2.167
2018;11. Carabanchel;117. Abrantes;1.998
2018;12. Usera;12. Usera;
2018;12. Usera;12. Usera;9.055
2018;12. Usera;121. Orcasitas;781
2018;12. Usera;122. Orcasur;687
2018;12. Usera;123. San Fermín;1.277
2018;12. Usera;124. Almendrales;1.804
2018;12. Usera;125. Moscardó;2.144
2018;12. Usera;126. Zofío;1.015
2018;12. Usera;127. Pradolongo;1.347
2018;13. Puente de Vallecas;13. Puente de Vallecas;
2018;13. Puente de Vallecas;13. Puente de Vallecas;15.021
2018;13. Puente de Vallecas;131. Entrevías;1.910
2018;13. Puente de Vallecas;132. San Diego;4.239
2018;13. Puente de Vallecas;133. Palomeras Bajas;2.086
2018;13. Puente de Vallecas;134. Palomeras Sureste;1.934
2018;13. Puente de Vallecas;135. Portazgo;1.536
2018;13. Puente de Vallecas;136. Numancia;3.316
2018;14. Moratalaz;14. Moratalaz;
2018;14. Moratalaz;14. Moratalaz;3.822
2018;14. Moratalaz;141. Pavones;323
2018;14. Moratalaz;142. Horcajo;198
2018;14. Moratalaz;143. Marroquina;957
2018;14. Moratalaz;144. Media Legua;803
2018;14. Moratalaz;145. Fontarrón;857
2018;14. Moratalaz;146. Vinateros;684
2018;15. Ciudad Lineal;15. Ciudad Lineal;
2018;15. Ciudad Lineal;15. Ciudad Lineal;12.319
2018;15. Ciudad Lineal;151. Ventas;2.887
2018;15. Ciudad Lineal;152. Pueblo Nuevo;3.951
2018;15. Ciudad Lineal;153. Quintana;1.547
2018;15. Ciudad Lineal;154. Concepción;1.137
2018;15. Ciudad Lineal;155. San Pascual;739
2018;15. Ciudad Lineal;156. San Juan Bautista;618
2018;15. Ciudad Lineal;157. Colina;395
2018;15. Ciudad Lineal;158. Atalaya;87
2018;15. Ciudad Lineal;159. Costillares;958
2018;16. Hortaleza;16. Hortaleza;
2018;16. Hortaleza;16. Hortaleza;8.257
2018;16. Hortaleza;161. Palomas;258
2018;16. Hortaleza;162. Piovera;791
2018;16. Hortaleza;163. Canillas;1.720
2018;16. Hortaleza;164. Pinar del Rey;2.351
2018;16. Hortaleza;165. Apóstol Santiago;629
2018;16. Hortaleza;166. Valdefuentes;2.508
2018;17. Villaverde;17. Villaverde;
2018;17. Villaverde;17. Villaverde;8.462
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;2.392
2018;17. Villaverde;172. San Cristóbal;1.313
2018;17. Villaverde;173. Butarque;955
2018;17. Villaverde;174. Los Rosales;2.049
2018;17. Villaverde;175. Ángeles;1.753
2018;18. Villa de Vallecas;18. Villa de Vallecas;
2018;18. Villa de Vallecas;18. Villa de Vallecas;5.710
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;2.475
2018;18. Villa de Vallecas;182. Santa Eugenia;749
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;2.486
2018;19. Vicálvaro;19. Vicálvaro;
2018;19. Vicálvaro;19. Vicálvaro;2.780
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;1.626
2018;19. Vicálvaro;192. Valdebernardo;615
2018;19. Vicálvaro;193. Valderribas;502
2018;19. Vicálvaro;194. El Cañaveral;37
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;8.243
2018;20. San Blas-Canillejas;201. Simancas;1.857
2018;20. San Blas-Canillejas;202. Hellín;481
2018;20. San Blas-Canillejas;203. Amposta;629
2018;20. San Blas-Canillejas;204. Arcos;1.103
2018;20. San Blas-Canillejas;205. Rosas;1.035
2018;20. San Blas-Canillejas;206. Rejas;1.218
2018;20. San Blas-Canillejas;207. Canillejas;1.491
2018;20. San Blas-Canillejas;208. El Salvador;429
2018;21. Barajas;21. Barajas;
2018;21. Barajas;21. Barajas;2.193
2018;21. Barajas;211. Alameda de Osuna;696
2018;21. Barajas;212. Aeropuerto;71
2018;21. Barajas;213. Casco Histórico de Barajas;491
2018;21. Barajas;214. Timón;549
2018;21. Barajas;215. Corralejos;386
