AÑO;DISTRITO;BARRIO;Total viviendas
2018;21. Barajas;215. Corralejos;106
2019;01. Centro;01. Centro;
2019;01. Centro;01. Centro;2.346
2019;01. Centro;011. Palacio;213
2019;01. Centro;012. Embajadores;880
2019;01. Centro;013. Cortes;198
2019;01. Centro;014. Justicia;359
2019;01. Centro;015. Universidad;612
2019;01. Centro;016. Sol;84
2019;02. Arganzuela;02. Arganzuela;
2019;02. Arganzuela;02. Arganzuela;971
2019;02. Arganzuela;021. Imperial;124
2019;02. Arganzuela;022. Acacias;32
2019;02. Arganzuela;023. Chopera;94
2019;02. Arganzuela;024. Legazpi;96
2019;02. Arganzuela;025. Delicias;289
2019;02. Arganzuela;026. Palos de Moguer;330
2019;02. Arganzuela;027. Atocha;6
2019;03. Retiro;03. Retiro;
2019;03. Retiro;03. Retiro;1.172
2019;03. Retiro;031. Pacífico;273
2019;03. Retiro;032. Adelfas;310
2019;03. Retiro;033. Estrella;136
2019;03. Retiro;034. Ibiza;270
2019;03. Retiro;035. Los Jerónimos;80
2019;03. Retiro;036. Niño Jesús;103
2019;04. Salamanca;04. Salamanca;
2019;04. Salamanca;04. Salamanca;1.524
2019;04. Salamanca;041. Recoletos;161
2019;04. Salamanca;042. Goya;324
2019;04. Salamanca;043. Fuente del Berro;239
2019;04. Salamanca;044. Guindalera;444
2019;04. Salamanca;045. Lista;182
2019;04. Salamanca;046. Castellana;174
2019;05. Chamartín;05. Chamartín;
2019;05. Chamartín;05. Chamartín;1.433
2019;05. Chamartín;051. El Viso;173
2019;05. Chamartín;052. Prosperidad;380
2019;05. Chamartín;053. Ciudad Jardín;223
2019;05. Chamartín;054. Hispanoamérica;315
2019;05. Chamartín;055. Nueva España;217
2019;05. Chamartín;056. Castilla;125
2019;06. Tetuán;06. Tetuán;
2019;06. Tetuán;06. Tetuán;2.148
2019;06. Tetuán;061. Bellas Vistas;337
2019;06. Tetuán;062. Cuatro Caminos;511
2019;06. Tetuán;063. Castillejos;272
2019;06. Tetuán;064. Almenara;290
2019;06. Tetuán;065. Valdeacederas;396
2019;06. Tetuán;066. Berruguete;342
2019;07. Chamberí;07. Chamberí;
2019;07. Chamberí;07. Chamberí;1.692
2019;07. Chamberí;071. Gaztambide;273
2019;07. Chamberí;072. Arapiles;293
2019;07. Chamberí;073. Trafalgar;350
2019;07. Chamberí;074. Almagro;245
2019;07. Chamberí;075. Ríos Rosas;329
2019;07. Chamberí;076. Vallehermoso;202
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;2.092
2019;08. Fuencarral-El Pardo;081. El Pardo;18
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;28
2019;08. Fuencarral-El Pardo;083. Peñagrande;347
2019;08. Fuencarral-El Pardo;084. Pilar;310
2019;08. Fuencarral-El Pardo;085. La Paz;152
2019;08. Fuencarral-El Pardo;086. Valverde;606
2019;08. Fuencarral-El Pardo;087. Mirasierra;460
2019;08. Fuencarral-El Pardo;088. El Goloso;171
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;1.023
2019;09. Moncloa-Aravaca;091. Casa de Campo;108
2019;09. Moncloa-Aravaca;092. Argüelles;235
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;101
2019;09. Moncloa-Aravaca;094. Valdezarza;294
2019;09. Moncloa-Aravaca;095. Valdemarín;62
2019;09. Moncloa-Aravaca;096. El Plantío;18
2019;09. Moncloa-Aravaca;097. Aravaca;205
2019;10. Latina;10. Latina;
2019;10. Latina;10. Latina;2.112
2019;10. Latina;101. Los Cármenes;146
2019;10. Latina;102. Puerta del Ángel;433
2019;10. Latina;103. Lucero;377
2019;10. Latina;104. Aluche;541
2019;10. Latina;105. Campamento;185
2019;10. Latina;106. Cuatro Vientos;28
2019;10. Latina;107. Águilas;402
2019;11. Carabanchel;11. Carabanchel;
2019;11. Carabanchel;11. Carabanchel;1.993
2019;11. Carabanchel;111. Comillas;143
2019;11. Carabanchel;112. Opañel;247
2019;11. Carabanchel;113. San Isidro;378
2019;11. Carabanchel;114. Vista Alegre;414
2019;11. Carabanchel;115. Puerta Bonita;290
2019;11. Carabanchel;116. Buenavista;360
2019;11. Carabanchel;117. Abrantes;161
2019;12. Usera;12. Usera;
2019;12. Usera;12. Usera;1.062
2019;12. Usera;121. Orcasitas;132
2019;12. Usera;122. Orcasur;122
2019;12. Usera;123. San Fermín;189
2019;12. Usera;124. Almendrales;173
2019;12. Usera;125. Moscardó;174
2019;12. Usera;126. Zofío;73
2019;12. Usera;127. Pradolongo;193
2019;13. Puente de Vallecas;13. Puente de Vallecas;
2019;13. Puente de Vallecas;13. Puente de Vallecas;2.359
2019;13. Puente de Vallecas;131. Entrevías;295
2019;13. Puente de Vallecas;132. San Diego;518
2019;13. Puente de Vallecas;133. Palomeras Bajas;331
2019;13. Puente de Vallecas;134. Palomeras Sureste;391
2019;13. Puente de Vallecas;135. Portazgo;284
2019;13. Puente de Vallecas;136. Numancia;540
2019;14. Moratalaz;14. Moratalaz;
2019;14. Moratalaz;14. Moratalaz;664
2019;14. Moratalaz;141. Pavones;57
2019;14. Moratalaz;142. Horcajo;15
2019;14. Moratalaz;143. Marroquina;157
2019;14. Moratalaz;144. Media Legua;133
2019;14. Moratalaz;145. Fontarrón;172
2019;14. Moratalaz;146. Vinateros;130
2019;15. Ciudad Lineal;15. Ciudad Lineal;
2019;15. Ciudad Lineal;15. Ciudad Lineal;2.092
2019;15. Ciudad Lineal;151. Ventas;519
2019;15. Ciudad Lineal;152. Pueblo Nuevo;578
2019;15. Ciudad Lineal;153. Quintana;264
2019;15. Ciudad Lineal;154. Concepción;205
2019;15. Ciudad Lineal;155. San Pascual;142
2019;15. Ciudad Lineal;156. San Juan Bautista;125
2019;15. Ciudad Lineal;157. Colina;77
2019;15. Ciudad Lineal;158. Atalaya;23
2019;15. Ciudad Lineal;159. Costillares;159
2019;16. Hortaleza;16. Hortaleza;
2019;16. Hortaleza;16. Hortaleza;2.256
2019;16. Hortaleza;161. Palomas;53
2019;16. Hortaleza;162. Piovera;104
2019;16. Hortaleza;163. Canillas;299
2019;16. Hortaleza;164. Pinar del Rey;628
2019;16. Hortaleza;165. Apóstol Santiago;120
2019;16. Hortaleza;166. Valdefuentes;1.052
2019;17. Villaverde;17. Villaverde;
2019;17. Villaverde;17. Villaverde;2.251
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;438
2019;17. Villaverde;172. San Cristóbal;293
2019;17. Villaverde;173. Butarque;536
2019;17. Villaverde;174. Los Rosales;291
2019;17. Villaverde;175. Ángeles;693
2019;18. Villa de Vallecas;18. Villa de Vallecas;
2019;18. Villa de Vallecas;18. Villa de Vallecas;1.663
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;321
2019;18. Villa de Vallecas;182. Santa Eugenia;202
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;1.085
2019;19. Vicálvaro;19. Vicálvaro;
2019;19. Vicálvaro;19. Vicálvaro;955
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;273
2019;19. Vicálvaro;192. Valdebernardo;45
2019;19. Vicálvaro;193. Valderribas;68
2019;19. Vicálvaro;194. El Cañaveral;568
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;1.757
2019;20. San Blas-Canillejas;201. Simancas;380
2019;20. San Blas-Canillejas;202. Hellín;130
2019;20. San Blas-Canillejas;203. Amposta;136
2019;20. San Blas-Canillejas;204. Arcos;206
2019;20. San Blas-Canillejas;205. Rosas;137
2019;20. San Blas-Canillejas;206. Rejas;371
2019;20. San Blas-Canillejas;207. Canillejas;312
2019;20. San Blas-Canillejas;208. El Salvador;85
2019;21. Barajas;21. Barajas;
2019;21. Barajas;21. Barajas;563
2019;21. Barajas;211. Alameda de Osuna;288
2019;21. Barajas;212. Aeropuerto;14
2019;21. Barajas;213. Casco Histórico de Barajas;72
2019;21. Barajas;214. Timón;125
2019;21. Barajas;215. Corralejos;64
2020;01. Centro;01. Centro;
2020;01. Centro;01. Centro;1.664
2020;01. Centro;011. Palacio;145
2020;01. Centro;012. Embajadores;646
2020;01. Centro;013. Cortes;113
2020;01. Centro;014. Justicia;218
2020;01. Centro;015. Universidad;466
2020;01. Centro;016. Sol;76
2020;02. Arganzuela;02. Arganzuela;
2020;02. Arganzuela;02. Arganzuela;931
2020;02. Arganzuela;021. Imperial;170
2020;02. Arganzuela;022. Acacias;67
2020;02. Arganzuela;023. Chopera;75
2020;02. Arganzuela;024. Legazpi;95
2020;02. Arganzuela;025. Delicias;249
2020;02. Arganzuela;026. Palos de Moguer;181
2020;02. Arganzuela;027. Atocha;94
2020;03. Retiro;03. Retiro;
2020;03. Retiro;03. Retiro;776
2020;03. Retiro;031. Pacífico;204
2020;03. Retiro;032. Adelfas;132
2020;03. Retiro;033. Estrella;116
2020;03. Retiro;034. Ibiza;182
2020;03. Retiro;035. Los Jerónimos;65
2020;03. Retiro;036. Niño Jesús;77
2020;04. Salamanca;04. Salamanca;
2020;04. Salamanca;04. Salamanca;1.379
2020;04. Salamanca;041. Recoletos;90
2020;04. Salamanca;042. Goya;294
2020;04. Salamanca;043. Fuente del Berro;194
2020;04. Salamanca;044. Guindalera;512
2020;04. Salamanca;045. Lista;169
2020;04. Salamanca;046. Castellana;120
2020;05. Chamartín;05. Chamartín;
2020;05. Chamartín;05. Chamartín;1.087
2020;05. Chamartín;051. El Viso;165
2020;05. Chamartín;052. Prosperidad;313
2020;05. Chamartín;053. Ciudad Jardín;123
2020;05. Chamartín;054. Hispanoamérica;217
2020;05. Chamartín;055. Nueva España;156
2020;05. Chamartín;056. Castilla;113
2020;06. Tetuán;06. Tetuán;
2020;06. Tetuán;06. Tetuán;1.629
2020;06. Tetuán;061. Bellas Vistas;223
2020;06. Tetuán;062. Cuatro Caminos;347
2020;06. Tetuán;063. Castillejos;179
2020;06. Tetuán;064. Almenara;314
2020;06. Tetuán;065. Valdeacederas;342
2020;06. Tetuán;066. Berruguete;224
2020;07. Chamberí;07. Chamberí;
2020;07. Chamberí;07. Chamberí;1.153
2020;07. Chamberí;071. Gaztambide;235
2020;07. Chamberí;072. Arapiles;224
2020;07. Chamberí;073. Trafalgar;189
2020;07. Chamberí;074. Almagro;157
2020;07. Chamberí;075. Ríos Rosas;204
2020;07. Chamberí;076. Vallehermoso;144
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;1.569
2020;08. Fuencarral-El Pardo;081. El Pardo;19
2020;08. Fuencarral-El Pardo;082. Fuentelarreina;31
2020;08. Fuencarral-El Pardo;083. Peñagrande;326
2020;08. Fuencarral-El Pardo;084. Pilar;289
2020;08. Fuencarral-El Pardo;085. La Paz;111
2020;08. Fuencarral-El Pardo;086. Valverde;378
2020;08. Fuencarral-El Pardo;087. Mirasierra;245
2020;08. Fuencarral-El Pardo;088. El Goloso;170
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;938
2020;09. Moncloa-Aravaca;091. Casa de Campo;88
2020;09. Moncloa-Aravaca;092. Argüelles;189
2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;73
2020;09. Moncloa-Aravaca;094. Valdezarza;264
2020;09. Moncloa-Aravaca;095. Valdemarín;67
2020;09. Moncloa-Aravaca;096. El Plantío;62
2020;09. Moncloa-Aravaca;097. Aravaca;195
2020;10. Latina;10. Latina;
2020;10. Latina;10. Latina;1.727
2020;10. Latina;101. Los Cármenes;114
2020;10. Latina;102. Puerta del Ángel;320
2020;10. Latina;103. Lucero;312
2020;10. Latina;104. Aluche;524
2020;10. Latina;105. Campamento;151
2020;10. Latina;106. Cuatro Vientos;29
2020;10. Latina;107. Águilas;277
2020;11. Carabanchel;11. Carabanchel;
2020;11. Carabanchel;11. Carabanchel;1.558
2020;11. Carabanchel;111. Comillas;132
2020;11. Carabanchel;112. Opañel;171
2020;11. Carabanchel;113. San Isidro;346
2020;11. Carabanchel;114. Vista Alegre;362
2020;11. Carabanchel;115. Puerta Bonita;144
2020;11. Carabanchel;116. Buenavista;311
2020;11. Carabanchel;117. Abrantes;92
2020;12. Usera;12. Usera;
2020;12. Usera;12. Usera;1.151
2020;12. Usera;121. Orcasitas;100
2020;12. Usera;122. Orcasur;74
2020;12. Usera;123. San Fermín;155
2020;12. Usera;124. Almendrales;532
2020;12. Usera;125. Moscardó;127
2020;12. Usera;126. Zofío;51
2020;12. Usera;127. Pradolongo;112
2020;13. Puente de Vallecas;13. Puente de Vallecas;
2020;13. Puente de Vallecas;13. Puente de Vallecas;1.786
2020;13. Puente de Vallecas;131. Entrevías;230
2020;13. Puente de Vallecas;132. San Diego;445
2020;13. Puente de Vallecas;133. Palomeras Bajas;226
2020;13. Puente de Vallecas;134. Palomeras Sureste;296
2020;13. Puente de Vallecas;135. Portazgo;175
2020;13. Puente de Vallecas;136. Numancia;414
2020;14. Moratalaz;14. Moratalaz;
2020;14. Moratalaz;14. Moratalaz;534
2020;14. Moratalaz;141. Pavones;42
2020;14. Moratalaz;142. Horcajo;9
2020;14. Moratalaz;143. Marroquina;138
2020;14. Moratalaz;144. Media Legua;105
2020;14. Moratalaz;145. Fontarrón;127
2020;14. Moratalaz;146. Vinateros;113
2020;15. Ciudad Lineal;15. Ciudad Lineal;
2020;15. Ciudad Lineal;15. Ciudad Lineal;1.502
2020;15. Ciudad Lineal;151. Ventas;348
2020;15. Ciudad Lineal;152. Pueblo Nuevo;496
2020;15. Ciudad Lineal;153. Quintana;182
2020;15. Ciudad Lineal;154. Concepción;149
2020;15. Ciudad Lineal;155. San Pascual;90
2020;15. Ciudad Lineal;156. San Juan Bautista;57
2020;15. Ciudad Lineal;157. Colina;47
2020;15. Ciudad Lineal;158. Atalaya;14
2020;15. Ciudad Lineal;159. Costillares;119
2020;16. Hortaleza;16. Hortaleza;
2020;16. Hortaleza;16. Hortaleza;1.197
2020;16. Hortaleza;161. Palomas;53
2020;16. Hortaleza;162. Piovera;77
2020;16. Hortaleza;163. Canillas;229
2020;16. Hortaleza;164. Pinar del Rey;358
2020;16. Hortaleza;165. Apóstol Santiago;88
2020;16. Hortaleza;166. Valdefuentes;392
2020;17. Villaverde;17. Villaverde;
2020;17. Villaverde;17. Villaverde;1.026
2020;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;240
2020;17. Villaverde;172. San Cristóbal;133
2020;17. Villaverde;173. Butarque;260
2020;17. Villaverde;174. Los Rosales;181
2020;17. Villaverde;175. Ángeles;212
2020;18. Villa de Vallecas;18. Villa de Vallecas;
2020;18. Villa de Vallecas;18. Villa de Vallecas;977
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;271
2020;18. Villa de Vallecas;182. Santa Eugenia;117
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;589
2020;19. Vicálvaro;19. Vicálvaro;
2020;19. Vicálvaro;19. Vicálvaro;950
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;197
2020;19. Vicálvaro;192. Valdebernardo;30
2020;19. Vicálvaro;193. Valderribas;36
2020;19. Vicálvaro;194. El Cañaveral;685
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;1.159
2020;20. San Blas-Canillejas;201. Simancas;257
2020;20. San Blas-Canillejas;202. Hellín;101
2020;20. San Blas-Canillejas;203. Amposta;85
2020;20. San Blas-Canillejas;204. Arcos;260
2020;20. San Blas-Canillejas;205. Rosas;98
2020;20. San Blas-Canillejas;206. Rejas;124
2020;20. San Blas-Canillejas;207. Canillejas;173
2020;20. San Blas-Canillejas;208. El Salvador;61
2020;21. Barajas;21. Barajas;
2020;21. Barajas;21. Barajas;598
2020;21. Barajas;211. Alameda de Osuna;155
2020;21. Barajas;212. Aeropuerto;12
2020;21. Barajas;213. Casco Histórico de Barajas;41
2020;21. Barajas;214. Timón;328
2020;21. Barajas;215. Corralejos;62
