AÑO;DISTRITO;BARRIO;Ingenieros y licenciados. Personal de alta dirección;Ingenieros técnicos, peritos y ayudantes titulados;Jefes administrativos y de taller;Ayudantes no titulados;Oficiales administrativos;Subalternos;Auxiliares administrativos;Oficiales de primera y segunda;Oficiales de tercera y especialistas;Peones;Trabajadores menores de 18 años;No consta
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;24.247;8.499;6.793;3.541;11.342;3.818;10.162;5.063;2.959;4.027;6;3.411
2018;08. Fuencarral-El Pardo;081. El Pardo;136;77;61;93;142;107;163;83;67;115;1;20
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;368;41;62;20;72;21;69;13;6;14;0;100
2018;08. Fuencarral-El Pardo;083. Peñagrande;3.517;1.555;1.131;644;2.064;706;2.046;1.009;579;776;0;622
2018;08. Fuencarral-El Pardo;084. Pilar;2.538;1.396;977;690;2.231;1.253;2.378;1.460;889;1.229;1;1.014
2018;08. Fuencarral-El Pardo;085. La Paz;3.815;1.299;899;371;1.469;342;1.170;403;234;253;0;229
2018;08. Fuencarral-El Pardo;086. Valverde;6.730;2.242;1.992;986;3.198;981;2.786;1.554;920;1.325;0;1.041
2018;08. Fuencarral-El Pardo;087. Mirasierra;4.396;1.130;985;424;1.273;270;1.007;349;185;216;3;316
2018;08. Fuencarral-El Pardo;088. El Goloso;2.747;759;686;313;893;138;543;192;79;99;1;69
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;;;;;;;;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;12.290;3.198;2.682;1.264;4.404;1.648;4.107;1.879;1.087;1.488;1;2.249
2018;09. Moncloa-Aravaca;091. Casa de Campo;1.311;448;360;184;593;191;509;214;128;149;0;100
2018;09. Moncloa-Aravaca;092. Argüelles;2.581;664;498;254;858;443;807;311;202;244;0;390
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;1.859;438;338;170;517;185;429;150;76;133;0;267
2018;09. Moncloa-Aravaca;094. Valdezarza;1.813;885;685;403;1.380;597;1.428;882;503;685;1;558
2018;09. Moncloa-Aravaca;095. Valdemarín;952;89;123;36;148;15;136;20;11;22;0;190
2018;09. Moncloa-Aravaca;096. El Plantío;351;49;64;12;67;15;80;12;4;19;0;78
2018;09. Moncloa-Aravaca;097. Aravaca;3.423;625;614;205;841;202;717;290;163;236;0;666
2018;10. Latina;10. Latina;;;;;;;;;;;;
2018;10. Latina;10. Latina;8.128;6.047;4.544;3.536;10.831;5.524;11.742;9.126;5.985;7.783;6;7.423
2018;10. Latina;101. Los Cármenes;576;421;357;251;817;431;892;716;460;592;0;425
2018;10. Latina;102. Puerta del Ángel;1.589;1.002;782;560;1.903;1.015;2.124;1.636;1.145;1.444;0;1.465
2018;10. Latina;103. Lucero;1.257;928;689;551;1.635;836;1.749;1.364;957;1.204;1;1.154
2018;10. Latina;104. Aluche;2.121;1.668;1.170;909;2.825;1.484;3.054;2.354;1.555;2.094;3;2.291
2018;10. Latina;105. Campamento;661;467;361;277;771;398;844;671;453;636;0;791
2018;10. Latina;106. Cuatro Vientos;410;288;217;137;408;114;339;210;119;110;1;40
2018;10. Latina;107. Águilas;1.514;1.273;968;851;2.471;1.245;2.740;2.174;1.296;1.703;1;1.257
2018;11. Carabanchel;11. Carabanchel;;;;;;;;;;;;
2018;11. Carabanchel;11. Carabanchel;7.233;5.870;4.326;3.575;11.030;6.306;12.819;11.014;7.510;10.174;4;8.099
2018;11. Carabanchel;111. Comillas;823;559;363;304;963;526;1.108;836;602;734;1;597
2018;11. Carabanchel;112. Opañel;1.053;765;563;455;1.437;768;1.750;1.349;942;1.286;0;1.198
2018;11. Carabanchel;113. San Isidro;1.029;808;628;490;1.577;964;1.951;1.720;1.188;1.704;1;1.367
2018;11. Carabanchel;114. Vista Alegre;1.001;889;631;602;1.797;1.164;2.256;1.904;1.401;2.029;0;1.853
2018;11. Carabanchel;115. Puerta Bonita;672;605;484;457;1.264;937;1.656;1.625;1.181;1.620;0;1.187
2018;11. Carabanchel;116. Buenavista;1.833;1.598;1.192;858;2.748;1.181;2.649;2.280;1.214;1.564;2;835
2018;11. Carabanchel;117. Abrantes;822;646;465;409;1.243;766;1.449;1.299;982;1.237;0;1.062
2018;12. Usera;12. Usera;;;;;;;;;;;;
2018;12. Usera;12. Usera;2.769;2.345;1.884;1.715;5.324;3.619;6.742;6.337;4.540;7.053;4;4.250
2018;12. Usera;121. Orcasitas;482;445;391;350;1.080;582;1.185;1.119;607;1.054;0;299
2018;12. Usera;122. Orcasur;261;223;185;150;531;368;600;657;450;811;1;292
2018;12. Usera;123. San Fermín;501;417;361;301;1.020;645;1.154;1.095;724;1.186;0;574
2018;12. Usera;124. Almendrales;506;349;270;237;760;548;1.017;966;739;1.065;1;734
2018;12. Usera;125. Moscardó;554;489;344;315;960;680;1.307;1.075;841;1.236;1;1.062
2018;12. Usera;126. Zofío;272;238;192;181;476;357;722;623;489;722;0;535
2018;12. Usera;127. Pradolongo;193;184;140;181;497;438;757;802;690;979;1;754
2018;13. Puente de Vallecas;13. Puente de Vallecas;;;;;;;;;;;;
2018;13. Puente de Vallecas;13. Puente de Vallecas;4.125;3.734;3.191;2.962;9.425;6.484;11.922;12.272;7.939;13.396;4;6.868
2018;13. Puente de Vallecas;131. Entrevías;283;314;304;351;1.196;910;1.586;1.930;1.175;2.254;1;1.022
2018;13. Puente de Vallecas;132. San Diego;598;496;405;445;1.377;1.194;1.984;2.186;1.639;2.529;2;1.650
2018;13. Puente de Vallecas;133. Palomeras Bajas;1.014;924;762;678;1.963;1.110;2.254;2.084;1.236;2.014;1;944
2018;13. Puente de Vallecas;134. Palomeras Sureste;904;798;691;607;1.919;1.198;2.376;2.392;1.372;2.474;0;934
2018;13. Puente de Vallecas;135. Portazgo;367;392;337;303;1.018;808;1.391;1.477;924;1.661;0;722
2018;13. Puente de Vallecas;136. Numancia;959;809;692;578;1.952;1.262;2.331;2.203;1.593;2.464;0;1.596
2018;14. Moratalaz;14. Moratalaz;;;;;;;;;;;;
2018;14. Moratalaz;14. Moratalaz;4.785;2.907;2.183;1.389;4.549;2.013;4.599;2.963;1.861;2.642;1;1.755
2018;14. Moratalaz;141. Pavones;403;273;184;162;419;193;454;311;162;283;0;137
2018;14. Moratalaz;142. Horcajo;528;306;241;142;370;107;302;192;104;121;1;42
2018;14. Moratalaz;143. Marroquina;1.780;993;724;417;1.480;538;1.299;711;419;552;0;367
2018;14. Moratalaz;144. Media Legua;891;500;381;248;746;366;833;478;339;521;0;308
2018;14. Moratalaz;145. Fontarrón;511;381;295;212;709;441;847;695;467;670;0;498
2018;14. Moratalaz;146. Vinateros;672;454;358;208;825;368;864;576;370;495;0;403
2018;15. Ciudad Lineal;15. Ciudad Lineal;;;;;;;;;;;;
2018;15. Ciudad Lineal;15. Ciudad Lineal;13.664;5.799;4.790;2.783;9.935;4.560;10.436;6.656;4.540;6.299;2;5.505
2018;15. Ciudad Lineal;151. Ventas;1.692;1.148;884;625;2.305;1.320;2.613;1.903;1.318;1.788;0;1.605
2018;15. Ciudad Lineal;152. Pueblo Nuevo;2.258;1.531;1.230;879;2.932;1.524;3.350;2.547;1.758;2.550;1;2.050
2018;15. Ciudad Lineal;153. Quintana;1.168;666;487;351;1.146;581;1.362;876;631;846;0;769
2018;15. Ciudad Lineal;154. Concepción;1.446;612;494;279;1.003;468;953;536;390;464;0;470
2018;15. Ciudad Lineal;155. San Pascual;1.510;578;497;227;868;311;824;402;223;343;1;242
2018;15. Ciudad Lineal;156. San Juan Bautista;1.628;388;358;123;550;105;439;150;73;114;0;96
2018;15. Ciudad Lineal;157. Colina;765;202;175;66;264;70;212;74;30;58;0;56
2018;15. Ciudad Lineal;158. Atalaya;197;41;42;13;42;15;36;7;4;6;0;18
2018;15. Ciudad Lineal;159. Costillares;3.000;633;623;220;825;166;647;161;113;130;0;199
2018;16. Hortaleza;16. Hortaleza;;;;;;;;;;;;
2018;16. Hortaleza;16. Hortaleza;16.708;6.046;5.188;2.677;9.539;3.029;8.259;4.694;2.521;3.408;1;2.374
2018;16. Hortaleza;161. Palomas;940;205;195;55;228;39;171;38;27;28;0;40
2018;16. Hortaleza;162. Piovera;2.053;381;362;157;546;99;392;111;55;100;0;219
2018;16. Hortaleza;163. Canillas;2.764;1.298;1.070;584;2.140;799;1.896;1.113;634;807;0;477
2018;16. Hortaleza;164. Pinar del Rey;2.567;1.321;1.132;749;2.676;1.189;2.786;1.908;1.090;1.544;0;1.061
2018;16. Hortaleza;165. Apóstol Santiago;815;399;302;219;793;348;761;572;277;447;0;270
2018;16. Hortaleza;166. Valdefuentes;7.569;2.442;2.127;913;3.156;555;2.253;952;438;482;1;307
2018;17. Villaverde;17. Villaverde;;;;;;;;;;;;
2018;17. Villaverde;17. Villaverde;2.864;2.620;2.192;1.996;6.091;3.772;7.195;7.611;5.122;7.538;1;4.522
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;711;607;563;516;1.743;1.169;2.170;2.361;1.631;2.582;0;1.342
2018;17. Villaverde;172. San Cristóbal;72;68;81;109;309;355;520;833;679;1.066;1;687
2018;17. Villaverde;173. Butarque;563;513;421;392;1.074;528;1.173;1.074;635;763;0;402
2018;17. Villaverde;174. Los Rosales;904;802;675;577;1.648;997;1.900;2.024;1.249;1.862;0;1.271
2018;17. Villaverde;175. Ángeles;614;630;452;402;1.317;723;1.432;1.319;928;1.265;0;820
2018;18. Villa de Vallecas;18. Villa de Vallecas;;;;;;;;;;;;
2018;18. Villa de Vallecas;18. Villa de Vallecas;4.625;3.707;2.744;1.923;6.507;2.640;6.637;5.381;2.886;4.323;5;1.821
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;563;571;492;490;1.633;1.023;2.112;2.288;1.345;2.321;2;939
2018;18. Villa de Vallecas;182. Santa Eugenia;1.054;753;604;436;1.339;577;1.334;1.026;516;821;1;513
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;3.008;2.383;1.648;997;3.535;1.040;3.191;2.067;1.025;1.181;2;369
2018;19. Vicálvaro;19. Vicálvaro;;;;;;;;;;;;
2018;19. Vicálvaro;19. Vicálvaro;2.827;2.161;1.770;1.240;3.905;1.652;3.778;3.317;1.829;2.834;2;1.353
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;533;507;444;406;1.296;855;1.627;1.865;1.150;1.938;2;1.077
2018;19. Vicálvaro;192. Valdebernardo;953;710;561;383;1.091;419;1.018;648;377;535;0;187
2018;19. Vicálvaro;193. Valderribas;1.312;908;734;434;1.450;356;1.084;755;288;338;0;80
2018;19. Vicálvaro;194. El Cañaveral;29;36;31;17;68;22;49;49;14;23;0;9
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;;;;;;;;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;8.232;4.229;3.814;2.478;8.231;3.583;8.224;6.317;3.637;5.590;6;2.903
2018;20. San Blas-Canillejas;201. Simancas;1.436;644;619;386;1.334;670;1.431;1.126;734;1.133;2;769
2018;20. San Blas-Canillejas;202. Hellín;120;129;100;105;405;278;511;478;286;522;0;185
2018;20. San Blas-Canillejas;203. Amposta;84;87;90;132;331;257;411;413;294;531;0;232
2018;20. San Blas-Canillejas;204. Arcos;707;534;460;354;1.151;641;1.338;1.325;678;1.172;1;436
2018;20. San Blas-Canillejas;205. Rosas;2.362;1.325;1.130;643;2.078;594;1.746;994;509;616;0;270
2018;20. San Blas-Canillejas;206. Rejas;1.437;589;584;300;995;283;819;500;275;318;0;196
2018;20. San Blas-Canillejas;207. Canillejas;964;576;518;379;1.376;717;1.452;1.281;737;1.191;2;727
2018;20. San Blas-Canillejas;208. El Salvador;1.122;345;313;179;561;143;516;200;124;107;1;88
2018;21. Barajas;21. Barajas;;;;;;;;;;;;
2018;21. Barajas;21. Barajas;4.180;1.495;1.383;717;2.897;928;2.037;1.328;799;1.018;2;463
2018;21. Barajas;211. Alameda de Osuna;1.917;642;573;275;1.094;218;724;268;150;145;1;108
2018;21. Barajas;212. Aeropuerto;13;21;8;30;77;47;81;102;59;125;0;72
2018;21. Barajas;213. Casco Histórico de Barajas;190;110;136;103;449;271;372;434;260;382;0;136
2018;21. Barajas;214. Timón;913;473;361;223;864;333;620;453;291;325;1;98
2018;21. Barajas;215. Corralejos;1.147;249;305;86;413;59;240;71;39;41;0;49
2019;01. Centro;01. Centro;;;;;;;;;;;;
2019;01. Centro;01. Centro;12.796;4.068;3.668;1.891;6.527;2.820;5.974;3.437;2.422;2.515;0;1.512
2019;01. Centro;011. Palacio;2.218;739;654;350;1.105;424;998;472;337;290;0;196
2019;01. Centro;012. Embajadores;3.632;1.442;1.131;631;2.173;1.168;2.168;1.417;1.022;1.280;0;527
2019;01. Centro;013. Cortes;1.026;297;295;144;487;172;417;248;157;134;0;83
2019;01. Centro;014. Justicia;1.908;427;474;200;790;306;647;327;240;209;0;202
2019;01. Centro;015. Universidad;3.398;998;924;480;1.637;604;1.452;776;522;512;0;441
2019;01. Centro;016. Sol;614;165;190;86;335;146;292;197;144;90;0;63
2019;02. Arganzuela;02. Arganzuela;;;;;;;;;;;;
2019;02. Arganzuela;02. Arganzuela;16.505;6.889;4.826;2.457;7.857;2.468;6.645;3.379;2.119;2.480;1;1.772
2019;02. Arganzuela;021. Imperial;2.443;1.014;748;376;1.187;351;998;427;257;239;0;138
2019;02. Arganzuela;022. Acacias;4.040;1.698;1.172;575;1.865;495;1.530;668;372;388;1;243
2019;02. Arganzuela;023. Chopera;1.410;750;492;335;999;442;912;644;423;541;0;439
2019;02. Arganzuela;024. Legazpi;2.992;1.128;860;318;1.168;198;774;325;188;207;0;111
2019;02. Arganzuela;025. Delicias;3.063;1.263;852;425;1.368;486;1.180;607;401;533;0;377
2019;02. Arganzuela;026. Palos de Moguer;2.482;980;648;398;1.203;469;1.181;674;460;559;0;459
2019;02. Arganzuela;027. Atocha;75;56;54;30;67;27;69;34;18;13;0;5
2019;03. Retiro;03. Retiro;;;;;;;;;;;;
2019;03. Retiro;03. Retiro;13.975;4.302;3.124;1.471;5.074;1.791;4.230;1.499;907;1.112;0;1.184
2019;03. Retiro;031. Pacífico;3.552;1.285;910;477;1.634;550;1.401;524;337;410;0;400
2019;03. Retiro;032. Adelfas;2.189;821;542;290;978;252;790;311;188;214;0;158
2019;03. Retiro;033. Estrella;2.893;906;608;243;873;264;694;203;119;144;0;116
2019;03. Retiro;034. Ibiza;2.523;659;536;249;897;386;754;299;165;211;0;258
2019;03. Retiro;035. Los Jerónimos;749;170;143;72;195;133;185;55;33;49;0;103
2019;03. Retiro;036. Niño Jesús;2.069;461;385;140;497;206;406;107;65;84;0;149
2019;04. Salamanca;04. Salamanca;;;;;;;;;;;;
2019;04. Salamanca;04. Salamanca;17.389;4.135;3.670;1.511;5.996;2.464;5.052;1.790;1.104;1.290;0;2.215
2019;04. Salamanca;041. Recoletos;1.791;240;286;113;414;296;364;92;50;74;0;309
2019;04. Salamanca;042. Goya;3.649;794;730;315;1.184;512;1.008;393;227;231;0;363
2019;04. Salamanca;043. Fuente del Berro;2.335;731;624;257;1.066;322;881;371;243;277;0;300
2019;04. Salamanca;044. Guindalera;4.956;1.510;1.182;494;1.924;680;1.676;625;387;438;0;550
2019;04. Salamanca;045. Lista;2.597;569;528;197;861;362;718;205;134;166;0;291
2019;04. Salamanca;046. Castellana;2.061;291;320;135;547;292;405;104;63;104;0;402
2019;05. Chamartín;05. Chamartín;;;;;;;;;;;;
2019;05. Chamartín;05. Chamartín;19.564;4.166;3.532;1.646;5.836;2.042;4.736;1.588;1.008;1.177;1;2.232
2019;05. Chamartín;051. El Viso;2.372;273;322;109;481;246;455;88;62;97;0;497
2019;05. Chamartín;052. Prosperidad;4.364;1.316;983;503;1.796;589;1.533;593;388;404;0;504
2019;05. Chamartín;053. Ciudad Jardín;2.151;608;500;259;879;292;688;326;216;257;1;289
2019;05. Chamartín;054. Hispanoamérica;4.456;840;733;318;1.169;421;869;242;134;181;0;371
2019;05. Chamartín;055. Nueva España;3.799;555;581;244;804;290;600;153;93;117;0;391
2019;05. Chamartín;056. Castilla;2.422;574;413;213;707;204;591;186;115;121;0;180
2019;06. Tetuán;06. Tetuán;;;;;;;;;;;;
2019;06. Tetuán;06. Tetuán;12.563;4.532;3.538;2.037;7.124;3.261;7.316;4.900;3.617;4.581;0;5.241
2019;06. Tetuán;061. Bellas Vistas;1.905;839;567;381;1.172;658;1.375;953;833;988;0;1.248
2019;06. Tetuán;062. Cuatro Caminos;4.117;1.030;817;417;1.474;577;1.308;699;478;567;0;831
2019;06. Tetuán;063. Castillejos;2.366;622;549;214;918;341;762;386;257;288;0;410
2019;06. Tetuán;064. Almenara;1.295;606;465;281;1.077;545;1.181;786;539;841;0;592
2019;06. Tetuán;065. Valdeacederas;1.445;733;601;397;1.314;577;1.354;1.128;787;961;0;1.062
2019;06. Tetuán;066. Berruguete;1.435;702;539;347;1.169;563;1.336;948;723;936;0;1.098
2019;07. Chamberí;07. Chamberí;;;;;;;;;;;;
2019;07. Chamberí;07. Chamberí;18.289;4.132;3.441;1.510;5.640;2.428;4.800;1.713;1.108;1.347;1;2.094
2019;07. Chamberí;071. Gaztambide;2.878;752;556;261;899;393;759;266;185;205;0;310
2019;07. Chamberí;072. Arapiles;3.036;793;641;317;1.069;472;933;350;229;289;1;302
2019;07. Chamberí;073. Trafalgar;3.273;772;670;317;1.175;419;985;411;256;260;0;346
2019;07. Chamberí;074. Almagro;2.575;417;407;140;625;325;569;176;118;183;0;493
2019;07. Chamberí;075. Ríos Rosas;3.818;816;714;274;1.154;507;945;350;223;283;0;377
2019;07. Chamberí;076. Vallehermoso;2.708;582;453;201;717;312;609;160;97;126;0;266
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;;;;;;;;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;25.366;8.822;6.907;3.678;11.404;3.833;9.941;5.089;2.955;4.150;2;3.123
2019;08. Fuencarral-El Pardo;081. El Pardo;147;77;59;113;148;118;145;94;75;126;0;18
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;389;39;56;20;73;23;66;14;9;17;0;96
2019;08. Fuencarral-El Pardo;083. Peñagrande;3.726;1.592;1.140;649;2.072;701;1.985;960;582;787;0;560
2019;08. Fuencarral-El Pardo;084. Pilar;2.660;1.485;1.013;716;2.221;1.274;2.334;1.507;905;1.247;0;949
2019;08. Fuencarral-El Pardo;085. La Paz;3.836;1.298;876;410;1.457;344;1.098;408;203;257;0;205
2019;08. Fuencarral-El Pardo;086. Valverde;7.003;2.324;2.023;993;3.223;974;2.771;1.558;921;1.412;1;974
2019;08. Fuencarral-El Pardo;087. Mirasierra;4.724;1.200;1.018;455;1.300;268;1.013;340;175;205;1;267
2019;08. Fuencarral-El Pardo;088. El Goloso;2.881;807;722;322;910;131;529;208;85;99;0;54
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;;;;;;;;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;12.845;3.378;2.735;1.338;4.449;1.719;4.172;1.867;1.061;1.520;2;2.032
2019;09. Moncloa-Aravaca;091. Casa de Campo;1.348;479;372;183;599;201;525;199;109;145;0;99
2019;09. Moncloa-Aravaca;092. Argüelles;2.695;671;526;259;903;444;837;315;188;237;0;340
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;1.975;476;326;180;522;179;419;168;67;140;0;251
2019;09. Moncloa-Aravaca;094. Valdezarza;1.927;944;674;439;1.371;639;1.426;877;513;724;2;545
2019;09. Moncloa-Aravaca;095. Valdemarín;1.013;95;121;45;156;14;127;26;10;17;0;155
2019;09. Moncloa-Aravaca;096. El Plantío;367;51;68;12;68;18;81;17;5;16;0;75
2019;09. Moncloa-Aravaca;097. Aravaca;3.520;662;648;220;830;224;756;265;169;241;0;567
2019;10. Latina;10. Latina;;;;;;;;;;;;
2019;10. Latina;10. Latina;8.635;6.212;4.745;3.463;10.957;5.609;11.836;9.322;6.104;7.940;1;7.077
2019;10. Latina;101. Los Cármenes;620;420;362;272;851;440;921;738;473;624;0;396
2019;10. Latina;102. Puerta del Ángel;1.677;1.026;819;581;1.952;1.003;2.131;1.632;1.108;1.488;0;1.388
2019;10. Latina;103. Lucero;1.386;974;720;508;1.625;856;1.808;1.417;970;1.220;0;1.120
2019;10. Latina;104. Aluche;2.228;1.729;1.216;905;2.873;1.524;3.051;2.429;1.615;2.125;1;2.088
2019;10. Latina;105. Campamento;703;479;358;286;747;400;863;693;486;632;0;768
2019;10. Latina;106. Cuatro Vientos;429;283;252;117;422;113;321;217;128;124;0;40
2019;10. Latina;107. Águilas;1.592;1.301;1.018;794;2.486;1.272;2.741;2.195;1.324;1.727;0;1.277
2019;11. Carabanchel;11. Carabanchel;;;;;;;;;;;;
2019;11. Carabanchel;11. Carabanchel;7.639;6.000;4.679;3.625;11.178;6.669;13.133;11.392;7.592;10.472;5;7.520
2019;11. Carabanchel;111. Comillas;859;571;386;316;968;568;1.164;856;591;749;0;518
2019;11. Carabanchel;112. Opañel;1.142;797;607;468;1.484;814;1.794;1.373;921;1.283;0;1.058
2019;11. Carabanchel;113. San Isidro;1.098;800;671;507;1.594;1.022;2.016;1.750;1.196;1.721;1;1.217
2019;11. Carabanchel;114. Vista Alegre;1.076;908;673;591;1.782;1.239;2.266;1.997;1.418;2.065;2;1.778
2019;11. Carabanchel;115. Puerta Bonita;729;618;528;465;1.299;974;1.722;1.686;1.188;1.676;1;1.129
2019;11. Carabanchel;116. Buenavista;1.887;1.642;1.303;875;2.792;1.232;2.647;2.339;1.276;1.636;1;817
2019;11. Carabanchel;117. Abrantes;848;664;511;403;1.258;819;1.524;1.390;1.002;1.342;0;1.003
2019;12. Usera;12. Usera;;;;;;;;;;;;
2019;12. Usera;12. Usera;2.931;2.433;1.967;1.790;5.371;3.701;6.854;6.612;4.725;7.167;7;4.040
2019;12. Usera;121. Orcasitas;508;471;400;351;1.113;622;1.246;1.165;670;1.070;0;314
2019;12. Usera;122. Orcasur;291;232;192;159;517;380;592;687;459;816;0;268
2019;12. Usera;123. San Fermín;524;426;380;318;1.014;672;1.144;1.132;743;1.242;1;579
2019;12. Usera;124. Almendrales;540;362;285;265;787;519;1.065;993;744;1.098;2;713
2019;12. Usera;125. Moscardó;590;504;371;319;965;698;1.308;1.117;892;1.256;2;965
2019;12. Usera;126. Zofío;268;259;182;197;490;367;727;699;517;718;2;494
2019;12. Usera;127. Pradolongo;210;179;156;181;484;442;770;819;700;967;0;707
2019;13. Puente de Vallecas;13. Puente de Vallecas;;;;;;;;;;;;
2019;13. Puente de Vallecas;13. Puente de Vallecas;4.416;3.932;3.402;3.136;9.617;6.844;12.275;12.605;8.201;13.640;7;6.607
2019;13. Puente de Vallecas;131. Entrevías;313;344;323;372;1.200;974;1.637;1.962;1.179;2.315;2;977
2019;13. Puente de Vallecas;132. San Diego;645;526;425;511;1.450;1.254;2.069;2.298;1.731;2.631;0;1.596
2019;13. Puente de Vallecas;133. Palomeras Bajas;1.069;947;813;701;1.967;1.145;2.313;2.141;1.302;1.988;1;901
2019;13. Puente de Vallecas;134. Palomeras Sureste;949;866;754;640;1.937;1.273;2.445;2.404;1.397;2.501;2;913
2019;13. Puente de Vallecas;135. Portazgo;415;408;368;329;1.067;830;1.405;1.521;943;1.693;2;707
2019;13. Puente de Vallecas;136. Numancia;1.025;840;719;583;1.996;1.366;2.406;2.279;1.649;2.512;0;1.513
2019;14. Moratalaz;14. Moratalaz;;;;;;;;;;;;
2019;14. Moratalaz;14. Moratalaz;4.962;2.989;2.235;1.401;4.576;2.033;4.663;3.018;1.883;2.613;0;1.614
2019;14. Moratalaz;141. Pavones;416;273;193;155;412;199;443;311;170;266;0;113
2019;14. Moratalaz;142. Horcajo;540;311;249;130;376;106;321;185;105;120;0;40
