AÑO;DISTRITO;BARRIO;Num actividades
2017;01. Centro;01. Centro;
2017;01. Centro;01. Centro;235
2017;01. Centro;011. Palacio;44
2017;01. Centro;012. Embajadores;61
2017;01. Centro;013. Cortes;25
2017;01. Centro;014. Justicia;28
2017;01. Centro;015. Universidad;69
2017;01. Centro;016. Sol;8
2017;02. Arganzuela;02. Arganzuela;
2017;02. Arganzuela;02. Arganzuela;221
2017;02. Arganzuela;021. Imperial;30
2017;02. Arganzuela;022. Acacias;76
2017;02. Arganzuela;023. Chopera;16
2017;02. Arganzuela;024. Legazpi;25
2017;02. Arganzuela;025. Delicias;32
2017;02. Arganzuela;026. Palos de Moguer;40
2017;02. Arganzuela;027. Atocha;2
2017;03. Retiro;03. Retiro;
2017;03. Retiro;03. Retiro;147
2017;03. Retiro;031. Pacífico;40
2017;03. Retiro;032. Adelfas;20
2017;03. Retiro;033. Estrella;15
2017;03. Retiro;034. Ibiza;15
2017;03. Retiro;035. Los Jerónimos;10
2017;03. Retiro;036. Niño Jesús;47
2017;04. Salamanca;04. Salamanca;
2017;04. Salamanca;04. Salamanca;199
2017;04. Salamanca;041. Recoletos;14
2017;04. Salamanca;042. Goya;40
2017;04. Salamanca;043. Fuente del Berro;35
2017;04. Salamanca;044. Guindalera;73
2017;04. Salamanca;045. Lista;25
2017;04. Salamanca;046. Castellana;12
2017;05. Chamartín;05. Chamartín;
2017;05. Chamartín;05. Chamartín;288
2017;05. Chamartín;051. El Viso;78
2017;05. Chamartín;052. Prosperidad;46
2017;05. Chamartín;053. Ciudad Jardín;41
2017;05. Chamartín;054. Hispanoamérica;51
2017;05. Chamartín;055. Nueva España;49
2017;05. Chamartín;056. Castilla;23
2017;06. Tetuán;06. Tetuán;
2017;06. Tetuán;06. Tetuán;168
2017;06. Tetuán;061. Bellas Vistas;37
2017;06. Tetuán;062. Cuatro Caminos;39
2017;06. Tetuán;063. Castillejos;19
2017;06. Tetuán;064. Almenara;33
2017;06. Tetuán;065. Valdeacederas;20
2017;06. Tetuán;066. Berruguete;20
2017;07. Chamberí;07. Chamberí;
2017;07. Chamberí;07. Chamberí;261
2017;07. Chamberí;071. Gaztambide;43
2017;07. Chamberí;072. Arapiles;47
2017;07. Chamberí;073. Trafalgar;44
2017;07. Chamberí;074. Almagro;36
2017;07. Chamberí;075. Ríos Rosas;42
2017;07. Chamberí;076. Vallehermoso;49
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;325
2017;08. Fuencarral-El Pardo;081. El Pardo;5
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;0
2017;08. Fuencarral-El Pardo;083. Peñagrande;50
2017;08. Fuencarral-El Pardo;084. Pilar;63
2017;08. Fuencarral-El Pardo;085. La Paz;30
2017;08. Fuencarral-El Pardo;086. Valverde;80
2017;08. Fuencarral-El Pardo;087. Mirasierra;29
2017;08. Fuencarral-El Pardo;088. El Goloso;68
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;286
2017;09. Moncloa-Aravaca;091. Casa de Campo;22
2017;09. Moncloa-Aravaca;092. Argüelles;48
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;113
2017;09. Moncloa-Aravaca;094. Valdezarza;33
2017;09. Moncloa-Aravaca;095. Valdemarín;12
2017;09. Moncloa-Aravaca;096. El Plantío;9
2017;09. Moncloa-Aravaca;097. Aravaca;49
2017;10. Latina;10. Latina;
2017;10. Latina;10. Latina;235
2017;10. Latina;101. Los Cármenes;13
2017;10. Latina;102. Puerta del Ángel;52
2017;10. Latina;103. Lucero;36
2017;10. Latina;104. Aluche;72
2017;10. Latina;105. Campamento;17
2017;10. Latina;106. Cuatro Vientos;9
2017;10. Latina;107. Águilas;36
2017;11. Carabanchel;11. Carabanchel;
2017;11. Carabanchel;11. Carabanchel;250
2017;11. Carabanchel;111. Comillas;17
2017;11. Carabanchel;112. Opañel;33
2017;11. Carabanchel;113. San Isidro;29
2017;11. Carabanchel;114. Vista Alegre;58
2017;11. Carabanchel;115. Puerta Bonita;38
2017;11. Carabanchel;116. Buenavista;50
2017;11. Carabanchel;117. Abrantes;25
2017;12. Usera;12. Usera;
2017;12. Usera;12. Usera;134
2017;12. Usera;121. Orcasitas;25
2017;12. Usera;122. Orcasur;20
2017;12. Usera;123. San Fermín;10
2017;12. Usera;124. Almendrales;19
2017;12. Usera;125. Moscardó;25
2017;12. Usera;126. Zofío;12
2017;12. Usera;127. Pradolongo;23
2017;13. Puente de Vallecas;13. Puente de Vallecas;
2017;13. Puente de Vallecas;13. Puente de Vallecas;225
2017;13. Puente de Vallecas;131. Entrevías;33
2017;13. Puente de Vallecas;132. San Diego;30
2017;13. Puente de Vallecas;133. Palomeras Bajas;44
2017;13. Puente de Vallecas;134. Palomeras Sureste;39
2017;13. Puente de Vallecas;135. Portazgo;29
2017;13. Puente de Vallecas;136. Numancia;50
2017;14. Moratalaz;14. Moratalaz;
2017;14. Moratalaz;14. Moratalaz;119
2017;14. Moratalaz;141. Pavones;11
2017;14. Moratalaz;142. Horcajo;11
2017;14. Moratalaz;143. Marroquina;48
2017;14. Moratalaz;144. Media Legua;24
2017;14. Moratalaz;145. Fontarrón;18
2017;14. Moratalaz;146. Vinateros;7
2017;15. Ciudad Lineal;15. Ciudad Lineal;
2017;15. Ciudad Lineal;15. Ciudad Lineal;257
2017;15. Ciudad Lineal;151. Ventas;42
2017;15. Ciudad Lineal;152. Pueblo Nuevo;58
2017;15. Ciudad Lineal;153. Quintana;43
2017;15. Ciudad Lineal;154. Concepción;36
2017;15. Ciudad Lineal;155. San Pascual;29
2017;15. Ciudad Lineal;156. San Juan Bautista;19
2017;15. Ciudad Lineal;157. Colina;7
2017;15. Ciudad Lineal;158. Atalaya;3
2017;15. Ciudad Lineal;159. Costillares;20
2017;16. Hortaleza;16. Hortaleza;
2017;16. Hortaleza;16. Hortaleza;238
2017;16. Hortaleza;161. Palomas;9
2017;16. Hortaleza;162. Piovera;24
2017;16. Hortaleza;163. Canillas;80
2017;16. Hortaleza;164. Pinar del Rey;63
2017;16. Hortaleza;165. Apóstol Santiago;12
2017;16. Hortaleza;166. Valdefuentes;50
2017;17. Villaverde;17. Villaverde;
2017;17. Villaverde;17. Villaverde;142
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;52
2017;17. Villaverde;172. San Cristóbal;11
2017;17. Villaverde;173. Butarque;18
2017;17. Villaverde;174. Los Rosales;33
2017;17. Villaverde;175. Ángeles;28
2017;18. Villa de Vallecas;18. Villa de Vallecas;
2017;18. Villa de Vallecas;18. Villa de Vallecas;127
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;53
2017;18. Villa de Vallecas;182. Santa Eugenia;36
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;38
2017;19. Vicálvaro;19. Vicálvaro;
2017;19. Vicálvaro;19. Vicálvaro;63
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;41
2017;19. Vicálvaro;192. Valdebernardo;12
2017;19. Vicálvaro;193. Valderribas;10
2017;19. Vicálvaro;194. El Cañaveral;0
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;158
2017;20. San Blas-Canillejas;201. Simancas;31
2017;20. San Blas-Canillejas;202. Hellín;4
2017;20. San Blas-Canillejas;203. Amposta;4
2017;20. San Blas-Canillejas;204. Arcos;24
2017;20. San Blas-Canillejas;205. Rosas;53
2017;20. San Blas-Canillejas;206. Rejas;5
2017;20. San Blas-Canillejas;207. Canillejas;25
2017;20. San Blas-Canillejas;208. El Salvador;12
2017;21. Barajas;21. Barajas;
2017;21. Barajas;21. Barajas;58
2017;21. Barajas;211. Alameda de Osuna;19
2017;21. Barajas;212. Aeropuerto;3
2017;21. Barajas;213. Casco Histórico de Barajas;11
2017;21. Barajas;214. Timón;17
2017;21. Barajas;215. Corralejos;8
2018;01. Centro;01. Centro;
2018;01. Centro;01. Centro;241
2018;01. Centro;011. Palacio;49
2018;01. Centro;012. Embajadores;64
2018;01. Centro;013. Cortes;23
2018;01. Centro;014. Justicia;31
2018;01. Centro;015. Universidad;69
2018;01. Centro;016. Sol;5
2018;02. Arganzuela;02. Arganzuela;
2018;02. Arganzuela;02. Arganzuela;244
2018;02. Arganzuela;021. Imperial;33
2018;02. Arganzuela;022. Acacias;83
2018;02. Arganzuela;023. Chopera;18
2018;02. Arganzuela;024. Legazpi;26
2018;02. Arganzuela;025. Delicias;36
2018;02. Arganzuela;026. Palos de Moguer;47
2018;02. Arganzuela;027. Atocha;1
2018;03. Retiro;03. Retiro;
2018;03. Retiro;03. Retiro;152
2018;03. Retiro;031. Pacífico;39
2018;03. Retiro;032. Adelfas;21
2018;03. Retiro;033. Estrella;16
2018;03. Retiro;034. Ibiza;16
2018;03. Retiro;035. Los Jerónimos;10
2018;03. Retiro;036. Niño Jesús;50
2018;04. Salamanca;04. Salamanca;
2018;04. Salamanca;04. Salamanca;211
2018;04. Salamanca;041. Recoletos;14
2018;04. Salamanca;042. Goya;41
2018;04. Salamanca;043. Fuente del Berro;38
2018;04. Salamanca;044. Guindalera;79
2018;04. Salamanca;045. Lista;26
2018;04. Salamanca;046. Castellana;13
2018;05. Chamartín;05. Chamartín;
2018;05. Chamartín;05. Chamartín;293
2018;05. Chamartín;051. El Viso;78
2018;05. Chamartín;052. Prosperidad;50
2018;05. Chamartín;053. Ciudad Jardín;42
2018;05. Chamartín;054. Hispanoamérica;52
2018;05. Chamartín;055. Nueva España;49
2018;05. Chamartín;056. Castilla;22
2018;06. Tetuán;06. Tetuán;
2018;06. Tetuán;06. Tetuán;174
2018;06. Tetuán;061. Bellas Vistas;39
2018;06. Tetuán;062. Cuatro Caminos;40
2018;06. Tetuán;063. Castillejos;20
2018;06. Tetuán;064. Almenara;34
2018;06. Tetuán;065. Valdeacederas;21
2018;06. Tetuán;066. Berruguete;20
2018;07. Chamberí;07. Chamberí;
2018;07. Chamberí;07. Chamberí;272
2018;07. Chamberí;071. Gaztambide;53
2018;07. Chamberí;072. Arapiles;49
2018;07. Chamberí;073. Trafalgar;48
2018;07. Chamberí;074. Almagro;34
2018;07. Chamberí;075. Ríos Rosas;42
2018;07. Chamberí;076. Vallehermoso;46
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;326
2018;08. Fuencarral-El Pardo;081. El Pardo;5
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;0
2018;08. Fuencarral-El Pardo;083. Peñagrande;50
2018;08. Fuencarral-El Pardo;084. Pilar;65
2018;08. Fuencarral-El Pardo;085. La Paz;30
2018;08. Fuencarral-El Pardo;086. Valverde;81
2018;08. Fuencarral-El Pardo;087. Mirasierra;27
2018;08. Fuencarral-El Pardo;088. El Goloso;68
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;274
2018;09. Moncloa-Aravaca;091. Casa de Campo;22
2018;09. Moncloa-Aravaca;092. Argüelles;50
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;94
2018;09. Moncloa-Aravaca;094. Valdezarza;33
2018;09. Moncloa-Aravaca;095. Valdemarín;13
2018;09. Moncloa-Aravaca;096. El Plantío;11
2018;09. Moncloa-Aravaca;097. Aravaca;51
2018;10. Latina;10. Latina;
2018;10. Latina;10. Latina;244
2018;10. Latina;101. Los Cármenes;13
2018;10. Latina;102. Puerta del Ángel;56
2018;10. Latina;103. Lucero;39
2018;10. Latina;104. Aluche;71
2018;10. Latina;105. Campamento;19
2018;10. Latina;106. Cuatro Vientos;9
2018;10. Latina;107. Águilas;37
2018;11. Carabanchel;11. Carabanchel;
2018;11. Carabanchel;11. Carabanchel;260
2018;11. Carabanchel;111. Comillas;18
2018;11. Carabanchel;112. Opañel;33
2018;11. Carabanchel;113. San Isidro;28
2018;11. Carabanchel;114. Vista Alegre;58
2018;11. Carabanchel;115. Puerta Bonita;42
2018;11. Carabanchel;116. Buenavista;56
2018;11. Carabanchel;117. Abrantes;25
2018;12. Usera;12. Usera;
2018;12. Usera;12. Usera;138
2018;12. Usera;121. Orcasitas;25
2018;12. Usera;122. Orcasur;20
2018;12. Usera;123. San Fermín;11
2018;12. Usera;124. Almendrales;19
2018;12. Usera;125. Moscardó;28
2018;12. Usera;126. Zofío;12
2018;12. Usera;127. Pradolongo;23
2018;13. Puente de Vallecas;13. Puente de Vallecas;
2018;13. Puente de Vallecas;13. Puente de Vallecas;227
2018;13. Puente de Vallecas;131. Entrevías;33
2018;13. Puente de Vallecas;132. San Diego;32
2018;13. Puente de Vallecas;133. Palomeras Bajas;42
2018;13. Puente de Vallecas;134. Palomeras Sureste;39
2018;13. Puente de Vallecas;135. Portazgo;30
2018;13. Puente de Vallecas;136. Numancia;51
2018;14. Moratalaz;14. Moratalaz;
2018;14. Moratalaz;14. Moratalaz;122
2018;14. Moratalaz;141. Pavones;12
2018;14. Moratalaz;142. Horcajo;11
2018;14. Moratalaz;143. Marroquina;48
2018;14. Moratalaz;144. Media Legua;25
2018;14. Moratalaz;145. Fontarrón;17
2018;14. Moratalaz;146. Vinateros;9
2018;15. Ciudad Lineal;15. Ciudad Lineal;
2018;15. Ciudad Lineal;15. Ciudad Lineal;271
2018;15. Ciudad Lineal;151. Ventas;43
2018;15. Ciudad Lineal;152. Pueblo Nuevo;61
2018;15. Ciudad Lineal;153. Quintana;46
2018;15. Ciudad Lineal;154. Concepción;37
2018;15. Ciudad Lineal;155. San Pascual;31
2018;15. Ciudad Lineal;156. San Juan Bautista;20
2018;15. Ciudad Lineal;157. Colina;8
2018;15. Ciudad Lineal;158. Atalaya;3
2018;15. Ciudad Lineal;159. Costillares;22
2018;16. Hortaleza;16. Hortaleza;
2018;16. Hortaleza;16. Hortaleza;243
2018;16. Hortaleza;161. Palomas;9
2018;16. Hortaleza;162. Piovera;26
2018;16. Hortaleza;163. Canillas;82
2018;16. Hortaleza;164. Pinar del Rey;64
2018;16. Hortaleza;165. Apóstol Santiago;12
2018;16. Hortaleza;166. Valdefuentes;50
2018;17. Villaverde;17. Villaverde;
2018;17. Villaverde;17. Villaverde;146
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;54
2018;17. Villaverde;172. San Cristóbal;10
2018;17. Villaverde;173. Butarque;19
2018;17. Villaverde;174. Los Rosales;33
2018;17. Villaverde;175. Ángeles;30
2018;18. Villa de Vallecas;18. Villa de Vallecas;
2018;18. Villa de Vallecas;18. Villa de Vallecas;131
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;54
2018;18. Villa de Vallecas;182. Santa Eugenia;36
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;41
2018;19. Vicálvaro;19. Vicálvaro;
2018;19. Vicálvaro;19. Vicálvaro;66
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;42
2018;19. Vicálvaro;192. Valdebernardo;14
2018;19. Vicálvaro;193. Valderribas;10
2018;19. Vicálvaro;194. El Cañaveral;0
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;164
2018;20. San Blas-Canillejas;201. Simancas;30
2018;20. San Blas-Canillejas;202. Hellín;4
2018;20. San Blas-Canillejas;203. Amposta;4
2018;20. San Blas-Canillejas;204. Arcos;25
2018;20. San Blas-Canillejas;205. Rosas;55
2018;20. San Blas-Canillejas;206. Rejas;6
2018;20. San Blas-Canillejas;207. Canillejas;27
2018;20. San Blas-Canillejas;208. El Salvador;13
2018;21. Barajas;21. Barajas;
2018;21. Barajas;21. Barajas;61
2018;21. Barajas;211. Alameda de Osuna;22
2018;21. Barajas;212. Aeropuerto;3
2018;21. Barajas;213. Casco Histórico de Barajas;11
2018;21. Barajas;214. Timón;18
