AÑO;DISTRITO;BARRIO;Num actividades
2018;21. Barajas;215. Corralejos;7
2019;01. Centro;01. Centro;
2019;01. Centro;01. Centro;258
2019;01. Centro;011. Palacio;53
2019;01. Centro;012. Embajadores;71
2019;01. Centro;013. Cortes;24
2019;01. Centro;014. Justicia;31
2019;01. Centro;015. Universidad;75
2019;01. Centro;016. Sol;4
2019;02. Arganzuela;02. Arganzuela;
2019;02. Arganzuela;02. Arganzuela;256
2019;02. Arganzuela;021. Imperial;36
2019;02. Arganzuela;022. Acacias;88
2019;02. Arganzuela;023. Chopera;18
2019;02. Arganzuela;024. Legazpi;26
2019;02. Arganzuela;025. Delicias;37
2019;02. Arganzuela;026. Palos de Moguer;50
2019;02. Arganzuela;027. Atocha;1
2019;03. Retiro;03. Retiro;
2019;03. Retiro;03. Retiro;159
2019;03. Retiro;031. Pacífico;42
2019;03. Retiro;032. Adelfas;23
2019;03. Retiro;033. Estrella;17
2019;03. Retiro;034. Ibiza;15
2019;03. Retiro;035. Los Jerónimos;11
2019;03. Retiro;036. Niño Jesús;51
2019;04. Salamanca;04. Salamanca;
2019;04. Salamanca;04. Salamanca;216
2019;04. Salamanca;041. Recoletos;15
2019;04. Salamanca;042. Goya;40
2019;04. Salamanca;043. Fuente del Berro;39
2019;04. Salamanca;044. Guindalera;81
2019;04. Salamanca;045. Lista;27
2019;04. Salamanca;046. Castellana;14
2019;05. Chamartín;05. Chamartín;
2019;05. Chamartín;05. Chamartín;310
2019;05. Chamartín;051. El Viso;82
2019;05. Chamartín;052. Prosperidad;52
2019;05. Chamartín;053. Ciudad Jardín;42
2019;05. Chamartín;054. Hispanoamérica;57
2019;05. Chamartín;055. Nueva España;55
2019;05. Chamartín;056. Castilla;22
2019;06. Tetuán;06. Tetuán;
2019;06. Tetuán;06. Tetuán;186
2019;06. Tetuán;061. Bellas Vistas;39
2019;06. Tetuán;062. Cuatro Caminos;47
2019;06. Tetuán;063. Castillejos;20
2019;06. Tetuán;064. Almenara;36
2019;06. Tetuán;065. Valdeacederas;23
2019;06. Tetuán;066. Berruguete;21
2019;07. Chamberí;07. Chamberí;
2019;07. Chamberí;07. Chamberí;287
2019;07. Chamberí;071. Gaztambide;56
2019;07. Chamberí;072. Arapiles;59
2019;07. Chamberí;073. Trafalgar;47
2019;07. Chamberí;074. Almagro;35
2019;07. Chamberí;075. Ríos Rosas;43
2019;07. Chamberí;076. Vallehermoso;47
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;338
2019;08. Fuencarral-El Pardo;081. El Pardo;5
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;0
2019;08. Fuencarral-El Pardo;083. Peñagrande;52
2019;08. Fuencarral-El Pardo;084. Pilar;65
2019;08. Fuencarral-El Pardo;085. La Paz;31
2019;08. Fuencarral-El Pardo;086. Valverde;87
2019;08. Fuencarral-El Pardo;087. Mirasierra;32
2019;08. Fuencarral-El Pardo;088. El Goloso;66
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;280
2019;09. Moncloa-Aravaca;091. Casa de Campo;24
2019;09. Moncloa-Aravaca;092. Argüelles;51
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;94
2019;09. Moncloa-Aravaca;094. Valdezarza;34
2019;09. Moncloa-Aravaca;095. Valdemarín;13
2019;09. Moncloa-Aravaca;096. El Plantío;12
2019;09. Moncloa-Aravaca;097. Aravaca;52
2019;10. Latina;10. Latina;
2019;10. Latina;10. Latina;250
2019;10. Latina;101. Los Cármenes;13
2019;10. Latina;102. Puerta del Ángel;57
2019;10. Latina;103. Lucero;40
2019;10. Latina;104. Aluche;74
2019;10. Latina;105. Campamento;19
2019;10. Latina;106. Cuatro Vientos;9
2019;10. Latina;107. Águilas;38
2019;11. Carabanchel;11. Carabanchel;
2019;11. Carabanchel;11. Carabanchel;272
2019;11. Carabanchel;111. Comillas;17
2019;11. Carabanchel;112. Opañel;35
2019;11. Carabanchel;113. San Isidro;29
2019;11. Carabanchel;114. Vista Alegre;61
2019;11. Carabanchel;115. Puerta Bonita;44
2019;11. Carabanchel;116. Buenavista;61
2019;11. Carabanchel;117. Abrantes;25
2019;12. Usera;12. Usera;
2019;12. Usera;12. Usera;140
2019;12. Usera;121. Orcasitas;25
2019;12. Usera;122. Orcasur;21
2019;12. Usera;123. San Fermín;11
2019;12. Usera;124. Almendrales;18
2019;12. Usera;125. Moscardó;31
2019;12. Usera;126. Zofío;12
2019;12. Usera;127. Pradolongo;22
2019;13. Puente de Vallecas;13. Puente de Vallecas;
2019;13. Puente de Vallecas;13. Puente de Vallecas;234
2019;13. Puente de Vallecas;131. Entrevías;33
2019;13. Puente de Vallecas;132. San Diego;36
2019;13. Puente de Vallecas;133. Palomeras Bajas;43
2019;13. Puente de Vallecas;134. Palomeras Sureste;40
2019;13. Puente de Vallecas;135. Portazgo;29
2019;13. Puente de Vallecas;136. Numancia;53
2019;14. Moratalaz;14. Moratalaz;
2019;14. Moratalaz;14. Moratalaz;123
2019;14. Moratalaz;141. Pavones;11
2019;14. Moratalaz;142. Horcajo;12
2019;14. Moratalaz;143. Marroquina;49
2019;14. Moratalaz;144. Media Legua;25
2019;14. Moratalaz;145. Fontarrón;17
2019;14. Moratalaz;146. Vinateros;9
2019;15. Ciudad Lineal;15. Ciudad Lineal;
2019;15. Ciudad Lineal;15. Ciudad Lineal;283
2019;15. Ciudad Lineal;151. Ventas;43
2019;15. Ciudad Lineal;152. Pueblo Nuevo;64
2019;15. Ciudad Lineal;153. Quintana;49
2019;15. Ciudad Lineal;154. Concepción;38
2019;15. Ciudad Lineal;155. San Pascual;31
2019;15. Ciudad Lineal;156. San Juan Bautista;20
2019;15. Ciudad Lineal;157. Colina;11
2019;15. Ciudad Lineal;158. Atalaya;3
2019;15. Ciudad Lineal;159. Costillares;24
2019;16. Hortaleza;16. Hortaleza;
2019;16. Hortaleza;16. Hortaleza;249
2019;16. Hortaleza;161. Palomas;9
2019;16. Hortaleza;162. Piovera;28
2019;16. Hortaleza;163. Canillas;87
2019;16. Hortaleza;164. Pinar del Rey;63
2019;16. Hortaleza;165. Apóstol Santiago;12
2019;16. Hortaleza;166. Valdefuentes;50
2019;17. Villaverde;17. Villaverde;
2019;17. Villaverde;17. Villaverde;152
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;58
2019;17. Villaverde;172. San Cristóbal;10
2019;17. Villaverde;173. Butarque;20
2019;17. Villaverde;174. Los Rosales;35
2019;17. Villaverde;175. Ángeles;29
2019;18. Villa de Vallecas;18. Villa de Vallecas;
2019;18. Villa de Vallecas;18. Villa de Vallecas;129
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;54
2019;18. Villa de Vallecas;182. Santa Eugenia;36
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;39
2019;19. Vicálvaro;19. Vicálvaro;
2019;19. Vicálvaro;19. Vicálvaro;72
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;44
2019;19. Vicálvaro;192. Valdebernardo;16
2019;19. Vicálvaro;193. Valderribas;11
2019;19. Vicálvaro;194. El Cañaveral;1
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;175
2019;20. San Blas-Canillejas;201. Simancas;33
2019;20. San Blas-Canillejas;202. Hellín;4
2019;20. San Blas-Canillejas;203. Amposta;4
2019;20. San Blas-Canillejas;204. Arcos;26
2019;20. San Blas-Canillejas;205. Rosas;57
2019;20. San Blas-Canillejas;206. Rejas;8
2019;20. San Blas-Canillejas;207. Canillejas;30
2019;20. San Blas-Canillejas;208. El Salvador;13
2019;21. Barajas;21. Barajas;
2019;21. Barajas;21. Barajas;61
2019;21. Barajas;211. Alameda de Osuna;22
2019;21. Barajas;212. Aeropuerto;3
2019;21. Barajas;213. Casco Histórico de Barajas;11
2019;21. Barajas;214. Timón;17
2019;21. Barajas;215. Corralejos;8
2020;01. Centro;01. Centro;
2020;01. Centro;01. Centro;273
2020;01. Centro;011. Palacio;55
2020;01. Centro;012. Embajadores;77
2020;01. Centro;013. Cortes;23
2020;01. Centro;014. Justicia;32
2020;01. Centro;015. Universidad;82
2020;01. Centro;016. Sol;4
2020;02. Arganzuela;02. Arganzuela;
2020;02. Arganzuela;02. Arganzuela;274
2020;02. Arganzuela;021. Imperial;40
2020;02. Arganzuela;022. Acacias;89
2020;02. Arganzuela;023. Chopera;24
2020;02. Arganzuela;024. Legazpi;25
2020;02. Arganzuela;025. Delicias;42
2020;02. Arganzuela;026. Palos de Moguer;53
2020;02. Arganzuela;027. Atocha;1
2020;03. Retiro;03. Retiro;
2020;03. Retiro;03. Retiro;162
2020;03. Retiro;031. Pacífico;48
2020;03. Retiro;032. Adelfas;21
2020;03. Retiro;033. Estrella;18
2020;03. Retiro;034. Ibiza;14
2020;03. Retiro;035. Los Jerónimos;11
2020;03. Retiro;036. Niño Jesús;50
2020;04. Salamanca;04. Salamanca;
2020;04. Salamanca;04. Salamanca;214
2020;04. Salamanca;041. Recoletos;13
2020;04. Salamanca;042. Goya;41
2020;04. Salamanca;043. Fuente del Berro;38
2020;04. Salamanca;044. Guindalera;83
2020;04. Salamanca;045. Lista;26
2020;04. Salamanca;046. Castellana;13
2020;05. Chamartín;05. Chamartín;
2020;05. Chamartín;05. Chamartín;313
2020;05. Chamartín;051. El Viso;81
2020;05. Chamartín;052. Prosperidad;55
2020;05. Chamartín;053. Ciudad Jardín;47
2020;05. Chamartín;054. Hispanoamérica;52
2020;05. Chamartín;055. Nueva España;54
2020;05. Chamartín;056. Castilla;24
2020;06. Tetuán;06. Tetuán;
2020;06. Tetuán;06. Tetuán;193
2020;06. Tetuán;061. Bellas Vistas;41
2020;06. Tetuán;062. Cuatro Caminos;51
2020;06. Tetuán;063. Castillejos;22
2020;06. Tetuán;064. Almenara;36
2020;06. Tetuán;065. Valdeacederas;21
2020;06. Tetuán;066. Berruguete;22
2020;07. Chamberí;07. Chamberí;
2020;07. Chamberí;07. Chamberí;290
2020;07. Chamberí;071. Gaztambide;54
2020;07. Chamberí;072. Arapiles;62
2020;07. Chamberí;073. Trafalgar;46
2020;07. Chamberí;074. Almagro;35
2020;07. Chamberí;075. Ríos Rosas;46
2020;07. Chamberí;076. Vallehermoso;47
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;342
2020;08. Fuencarral-El Pardo;081. El Pardo;5
2020;08. Fuencarral-El Pardo;082. Fuentelarreina;0
2020;08. Fuencarral-El Pardo;083. Peñagrande;50
2020;08. Fuencarral-El Pardo;084. Pilar;67
2020;08. Fuencarral-El Pardo;085. La Paz;30
2020;08. Fuencarral-El Pardo;086. Valverde;90
2020;08. Fuencarral-El Pardo;087. Mirasierra;35
2020;08. Fuencarral-El Pardo;088. El Goloso;65
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;284
2020;09. Moncloa-Aravaca;091. Casa de Campo;25
2020;09. Moncloa-Aravaca;092. Argüelles;50
2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;98
2020;09. Moncloa-Aravaca;094. Valdezarza;35
2020;09. Moncloa-Aravaca;095. Valdemarín;13
2020;09. Moncloa-Aravaca;096. El Plantío;12
2020;09. Moncloa-Aravaca;097. Aravaca;51
2020;10. Latina;10. Latina;
2020;10. Latina;10. Latina;251
2020;10. Latina;101. Los Cármenes;13
2020;10. Latina;102. Puerta del Ángel;60
2020;10. Latina;103. Lucero;38
2020;10. Latina;104. Aluche;74
2020;10. Latina;105. Campamento;19
2020;10. Latina;106. Cuatro Vientos;9
2020;10. Latina;107. Águilas;38
2020;11. Carabanchel;11. Carabanchel;
2020;11. Carabanchel;11. Carabanchel;288
2020;11. Carabanchel;111. Comillas;19
2020;11. Carabanchel;112. Opañel;37
2020;11. Carabanchel;113. San Isidro;30
2020;11. Carabanchel;114. Vista Alegre;67
2020;11. Carabanchel;115. Puerta Bonita;46
2020;11. Carabanchel;116. Buenavista;63
2020;11. Carabanchel;117. Abrantes;26
2020;12. Usera;12. Usera;
2020;12. Usera;12. Usera;143
2020;12. Usera;121. Orcasitas;24
2020;12. Usera;122. Orcasur;22
2020;12. Usera;123. San Fermín;11
2020;12. Usera;124. Almendrales;20
2020;12. Usera;125. Moscardó;30
2020;12. Usera;126. Zofío;14
2020;12. Usera;127. Pradolongo;22
2020;13. Puente de Vallecas;13. Puente de Vallecas;
2020;13. Puente de Vallecas;13. Puente de Vallecas;234
2020;13. Puente de Vallecas;131. Entrevías;32
2020;13. Puente de Vallecas;132. San Diego;35
2020;13. Puente de Vallecas;133. Palomeras Bajas;43
2020;13. Puente de Vallecas;134. Palomeras Sureste;41
2020;13. Puente de Vallecas;135. Portazgo;31
2020;13. Puente de Vallecas;136. Numancia;52
2020;14. Moratalaz;14. Moratalaz;
2020;14. Moratalaz;14. Moratalaz;124
2020;14. Moratalaz;141. Pavones;12
2020;14. Moratalaz;142. Horcajo;12
2020;14. Moratalaz;143. Marroquina;47
2020;14. Moratalaz;144. Media Legua;27
2020;14. Moratalaz;145. Fontarrón;17
2020;14. Moratalaz;146. Vinateros;9
2020;15. Ciudad Lineal;15. Ciudad Lineal;
2020;15. Ciudad Lineal;15. Ciudad Lineal;295
2020;15. Ciudad Lineal;151. Ventas;44
2020;15. Ciudad Lineal;152. Pueblo Nuevo;67
2020;15. Ciudad Lineal;153. Quintana;50
2020;15. Ciudad Lineal;154. Concepción;41
2020;15. Ciudad Lineal;155. San Pascual;32
2020;15. Ciudad Lineal;156. San Juan Bautista;20
2020;15. Ciudad Lineal;157. Colina;11
2020;15. Ciudad Lineal;158. Atalaya;4
2020;15. Ciudad Lineal;159. Costillares;26
2020;16. Hortaleza;16. Hortaleza;
2020;16. Hortaleza;16. Hortaleza;245
2020;16. Hortaleza;161. Palomas;7
2020;16. Hortaleza;162. Piovera;26
2020;16. Hortaleza;163. Canillas;90
2020;16. Hortaleza;164. Pinar del Rey;58
2020;16. Hortaleza;165. Apóstol Santiago;13
2020;16. Hortaleza;166. Valdefuentes;51
2020;17. Villaverde;17. Villaverde;
2020;17. Villaverde;17. Villaverde;158
2020;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;58
2020;17. Villaverde;172. San Cristóbal;11
2020;17. Villaverde;173. Butarque;21
2020;17. Villaverde;174. Los Rosales;37
2020;17. Villaverde;175. Ángeles;31
2020;18. Villa de Vallecas;18. Villa de Vallecas;
2020;18. Villa de Vallecas;18. Villa de Vallecas;135
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;57
2020;18. Villa de Vallecas;182. Santa Eugenia;36
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;42
2020;19. Vicálvaro;19. Vicálvaro;
2020;19. Vicálvaro;19. Vicálvaro;71
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;42
2020;19. Vicálvaro;192. Valdebernardo;14
2020;19. Vicálvaro;193. Valderribas;11
2020;19. Vicálvaro;194. El Cañaveral;4
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;178
2020;20. San Blas-Canillejas;201. Simancas;34
2020;20. San Blas-Canillejas;202. Hellín;5
2020;20. San Blas-Canillejas;203. Amposta;4
2020;20. San Blas-Canillejas;204. Arcos;27
2020;20. San Blas-Canillejas;205. Rosas;57
2020;20. San Blas-Canillejas;206. Rejas;8
2020;20. San Blas-Canillejas;207. Canillejas;31
2020;20. San Blas-Canillejas;208. El Salvador;12
2020;21. Barajas;21. Barajas;
2020;21. Barajas;21. Barajas;66
2020;21. Barajas;211. Alameda de Osuna;26
2020;21. Barajas;212. Aeropuerto;3
2020;21. Barajas;213. Casco Histórico de Barajas;11
2020;21. Barajas;214. Timón;18
2020;21. Barajas;215. Corralejos;8
