AÑO;DISTRITO;BARRIO;Numero de pensiones
2020;21. Barajas;215. Corralejos;664
2018;01. Centro;01. Centro;
2018;01. Centro;01. Centro;16.508
2018;01. Centro;011. Palacio;3.250
2018;01. Centro;012. Embajadores;5.209
2018;01. Centro;013. Cortes;1.306
2018;01. Centro;014. Justicia;1.918
2018;01. Centro;015. Universidad;3.960
2018;01. Centro;016. Sol;865
2018;02. Arganzuela;02. Arganzuela;
2018;02. Arganzuela;02. Arganzuela;24.584
2018;02. Arganzuela;021. Imperial;3.705
2018;02. Arganzuela;022. Acacias;7.017
2018;02. Arganzuela;023. Chopera;3.742
2018;02. Arganzuela;024. Legazpi;1.642
2018;02. Arganzuela;025. Delicias;3.950
2018;02. Arganzuela;026. Palos de Moguer;4.402
2018;02. Arganzuela;027. Atocha;126
2018;03. Retiro;03. Retiro;
2018;03. Retiro;03. Retiro;23.652
2018;03. Retiro;031. Pacífico;6.607
2018;03. Retiro;032. Adelfas;3.381
2018;03. Retiro;033. Estrella;5.682
2018;03. Retiro;034. Ibiza;4.047
2018;03. Retiro;035. Los Jerónimos;884
2018;03. Retiro;036. Niño Jesús;3.051
2018;04. Salamanca;04. Salamanca;
2018;04. Salamanca;04. Salamanca;24.421
2018;04. Salamanca;041. Recoletos;1.968
2018;04. Salamanca;042. Goya;4.982
2018;04. Salamanca;043. Fuente del Berro;3.985
2018;04. Salamanca;044. Guindalera;7.667
2018;04. Salamanca;045. Lista;3.468
2018;04. Salamanca;046. Castellana;2.351
2018;05. Chamartín;05. Chamartín;
2018;05. Chamartín;05. Chamartín;24.775
2018;05. Chamartín;051. El Viso;2.326
2018;05. Chamartín;052. Prosperidad;7.258
2018;05. Chamartín;053. Ciudad Jardín;3.422
2018;05. Chamartín;054. Hispanoamérica;5.383
2018;05. Chamartín;055. Nueva España;3.508
2018;05. Chamartín;056. Castilla;2.878
2018;06. Tetuán;06. Tetuán;
2018;06. Tetuán;06. Tetuán;24.219
2018;06. Tetuán;061. Bellas Vistas;4.351
2018;06. Tetuán;062. Cuatro Caminos;5.582
2018;06. Tetuán;063. Castillejos;3.491
2018;06. Tetuán;064. Almenara;3.884
2018;06. Tetuán;065. Valdeacederas;3.425
2018;06. Tetuán;066. Berruguete;3.486
2018;07. Chamberí;07. Chamberí;
2018;07. Chamberí;07. Chamberí;23.394
2018;07. Chamberí;071. Gaztambide;4.113
2018;07. Chamberí;072. Arapiles;4.197
2018;07. Chamberí;073. Trafalgar;3.907
2018;07. Chamberí;074. Almagro;3.010
2018;07. Chamberí;075. Ríos Rosas;4.575
2018;07. Chamberí;076. Vallehermoso;3.592
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;41.749
2018;08. Fuencarral-El Pardo;081. El Pardo;576
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;552
2018;08. Fuencarral-El Pardo;083. Peñagrande;9.673
2018;08. Fuencarral-El Pardo;084. Pilar;10.758
2018;08. Fuencarral-El Pardo;085. La Paz;8.497
2018;08. Fuencarral-El Pardo;086. Valverde;6.658
2018;08. Fuencarral-El Pardo;087. Mirasierra;3.985
2018;08. Fuencarral-El Pardo;088. El Goloso;1.050
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;19.144
2018;09. Moncloa-Aravaca;091. Casa de Campo;2.524
2018;09. Moncloa-Aravaca;092. Argüelles;3.853
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;2.754
2018;09. Moncloa-Aravaca;094. Valdezarza;6.129
2018;09. Moncloa-Aravaca;095. Valdemarín;519
2018;09. Moncloa-Aravaca;096. El Plantío;356
2018;09. Moncloa-Aravaca;097. Aravaca;3.009
2018;10. Latina;10. Latina;
2018;10. Latina;10. Latina;46.511
2018;10. Latina;101. Los Cármenes;2.563
2018;10. Latina;102. Puerta del Ángel;7.124
2018;10. Latina;103. Lucero;6.825
2018;10. Latina;104. Aluche;15.288
2018;10. Latina;105. Campamento;2.844
2018;10. Latina;106. Cuatro Vientos;372
2018;10. Latina;107. Águilas;11.495
2018;11. Carabanchel;11. Carabanchel;
2018;11. Carabanchel;11. Carabanchel;41.060
2018;11. Carabanchel;111. Comillas;4.345
2018;11. Carabanchel;112. Opañel;5.829
2018;11. Carabanchel;113. San Isidro;6.389
2018;11. Carabanchel;114. Vista Alegre;8.704
2018;11. Carabanchel;115. Puerta Bonita;5.430
2018;11. Carabanchel;116. Buenavista;5.672
2018;11. Carabanchel;117. Abrantes;4.691
2018;12. Usera;12. Usera;
2018;12. Usera;12. Usera;21.135
2018;12. Usera;121. Orcasitas;4.060
2018;12. Usera;122. Orcasur;1.945
2018;12. Usera;123. San Fermín;3.123
2018;12. Usera;124. Almendrales;3.055
2018;12. Usera;125. Moscardó;4.197
2018;12. Usera;126. Zofío;2.226
2018;12. Usera;127. Pradolongo;2.529
2018;13. Puente de Vallecas;13. Puente de Vallecas;
2018;13. Puente de Vallecas;13. Puente de Vallecas;39.177
2018;13. Puente de Vallecas;131. Entrevías;6.459
2018;13. Puente de Vallecas;132. San Diego;5.309
2018;13. Puente de Vallecas;133. Palomeras Bajas;6.401
2018;13. Puente de Vallecas;134. Palomeras Sureste;7.488
2018;13. Puente de Vallecas;135. Portazgo;5.672
2018;13. Puente de Vallecas;136. Numancia;7.848
2018;14. Moratalaz;14. Moratalaz;
2018;14. Moratalaz;14. Moratalaz;20.846
2018;14. Moratalaz;141. Pavones;1.940
2018;14. Moratalaz;142. Horcajo;623
2018;14. Moratalaz;143. Marroquina;6.420
2018;14. Moratalaz;144. Media Legua;4.094
2018;14. Moratalaz;145. Fontarrón;3.705
2018;14. Moratalaz;146. Vinateros;4.064
2018;15. Ciudad Lineal;15. Ciudad Lineal;
2018;15. Ciudad Lineal;15. Ciudad Lineal;40.815
2018;15. Ciudad Lineal;151. Ventas;9.502
2018;15. Ciudad Lineal;152. Pueblo Nuevo;11.420
2018;15. Ciudad Lineal;153. Quintana;4.562
2018;15. Ciudad Lineal;154. Concepción;4.108
2018;15. Ciudad Lineal;155. San Pascual;4.015
2018;15. Ciudad Lineal;156. San Juan Bautista;2.192
2018;15. Ciudad Lineal;157. Colina;1.147
2018;15. Ciudad Lineal;158. Atalaya;265
2018;15. Ciudad Lineal;159. Costillares;3.604
2018;16. Hortaleza;16. Hortaleza;
2018;16. Hortaleza;16. Hortaleza;29.570
2018;16. Hortaleza;161. Palomas;831
2018;16. Hortaleza;162. Piovera;1.651
2018;16. Hortaleza;163. Canillas;9.133
2018;16. Hortaleza;164. Pinar del Rey;11.679
2018;16. Hortaleza;165. Apóstol Santiago;2.686
2018;16. Hortaleza;166. Valdefuentes;3.590
2018;17. Villaverde;17. Villaverde;
2018;17. Villaverde;17. Villaverde;22.899
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;6.961
2018;17. Villaverde;172. San Cristóbal;1.819
2018;17. Villaverde;173. Butarque;1.616
2018;17. Villaverde;174. Los Rosales;5.532
2018;17. Villaverde;175. Ángeles;6.971
2018;18. Villa de Vallecas;18. Villa de Vallecas;
2018;18. Villa de Vallecas;18. Villa de Vallecas;13.258
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;6.104
2018;18. Villa de Vallecas;182. Santa Eugenia;4.941
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;2.213
2018;19. Vicálvaro;19. Vicálvaro;
2018;19. Vicálvaro;19. Vicálvaro;9.437
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;6.249
2018;19. Vicálvaro;192. Valdebernardo;2.046
2018;19. Vicálvaro;193. Valderribas;1.094
2018;19. Vicálvaro;194. El Cañaveral;48
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;25.466
2018;20. San Blas-Canillejas;201. Simancas;4.118
2018;20. San Blas-Canillejas;202. Hellín;1.936
2018;20. San Blas-Canillejas;203. Amposta;1.584
2018;20. San Blas-Canillejas;204. Arcos;4.205
2018;20. San Blas-Canillejas;205. Rosas;4.178
2018;20. San Blas-Canillejas;206. Rejas;1.644
2018;20. San Blas-Canillejas;207. Canillejas;5.671
2018;20. San Blas-Canillejas;208. El Salvador;2.130
2018;21. Barajas;21. Barajas;
2018;21. Barajas;21. Barajas;7.598
2018;21. Barajas;211. Alameda de Osuna;4.047
2018;21. Barajas;212. Aeropuerto;267
2018;21. Barajas;213. Casco Histórico de Barajas;1.305
2018;21. Barajas;214. Timón;1.289
2018;21. Barajas;215. Corralejos;690
2019;01. Centro;01. Centro;
2019;01. Centro;01. Centro;16.508
2019;01. Centro;011. Palacio;3.250
2019;01. Centro;012. Embajadores;5.209
2019;01. Centro;013. Cortes;1.306
2019;01. Centro;014. Justicia;1.918
2019;01. Centro;015. Universidad;3.960
2019;01. Centro;016. Sol;865
2019;02. Arganzuela;02. Arganzuela;
2019;02. Arganzuela;02. Arganzuela;24.584
2019;02. Arganzuela;021. Imperial;3.705
2019;02. Arganzuela;022. Acacias;7.017
2019;02. Arganzuela;023. Chopera;3.742
2019;02. Arganzuela;024. Legazpi;1.642
2019;02. Arganzuela;025. Delicias;3.950
2019;02. Arganzuela;026. Palos de Moguer;4.402
2019;02. Arganzuela;027. Atocha;126
2019;03. Retiro;03. Retiro;
2019;03. Retiro;03. Retiro;23.652
2019;03. Retiro;031. Pacífico;6.607
2019;03. Retiro;032. Adelfas;3.381
2019;03. Retiro;033. Estrella;5.682
2019;03. Retiro;034. Ibiza;4.047
2019;03. Retiro;035. Los Jerónimos;884
2019;03. Retiro;036. Niño Jesús;3.051
2019;04. Salamanca;04. Salamanca;
2019;04. Salamanca;04. Salamanca;24.421
2019;04. Salamanca;041. Recoletos;1.968
2019;04. Salamanca;042. Goya;4.982
2019;04. Salamanca;043. Fuente del Berro;3.985
2019;04. Salamanca;044. Guindalera;7.667
2019;04. Salamanca;045. Lista;3.468
2019;04. Salamanca;046. Castellana;2.351
2019;05. Chamartín;05. Chamartín;
2019;05. Chamartín;05. Chamartín;24.775
2019;05. Chamartín;051. El Viso;2.326
2019;05. Chamartín;052. Prosperidad;7.258
2019;05. Chamartín;053. Ciudad Jardín;3.422
2019;05. Chamartín;054. Hispanoamérica;5.383
2019;05. Chamartín;055. Nueva España;3.508
2019;05. Chamartín;056. Castilla;2.878
2019;06. Tetuán;06. Tetuán;
2019;06. Tetuán;06. Tetuán;24.219
2019;06. Tetuán;061. Bellas Vistas;4.351
2019;06. Tetuán;062. Cuatro Caminos;5.582
2019;06. Tetuán;063. Castillejos;3.491
2019;06. Tetuán;064. Almenara;3.884
2019;06. Tetuán;065. Valdeacederas;3.425
2019;06. Tetuán;066. Berruguete;3.486
2019;07. Chamberí;07. Chamberí;
2019;07. Chamberí;07. Chamberí;23.394
2019;07. Chamberí;071. Gaztambide;4.113
2019;07. Chamberí;072. Arapiles;4.197
2019;07. Chamberí;073. Trafalgar;3.907
2019;07. Chamberí;074. Almagro;3.010
2019;07. Chamberí;075. Ríos Rosas;4.575
2019;07. Chamberí;076. Vallehermoso;3.592
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;41.749
2019;08. Fuencarral-El Pardo;081. El Pardo;576
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;552
2019;08. Fuencarral-El Pardo;083. Peñagrande;9.673
2019;08. Fuencarral-El Pardo;084. Pilar;10.758
2019;08. Fuencarral-El Pardo;085. La Paz;8.497
2019;08. Fuencarral-El Pardo;086. Valverde;6.658
2019;08. Fuencarral-El Pardo;087. Mirasierra;3.985
2019;08. Fuencarral-El Pardo;088. El Goloso;1.050
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;19.144
2019;09. Moncloa-Aravaca;091. Casa de Campo;2.524
2019;09. Moncloa-Aravaca;092. Argüelles;3.853
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;2.754
2019;09. Moncloa-Aravaca;094. Valdezarza;6.129
2019;09. Moncloa-Aravaca;095. Valdemarín;519
2019;09. Moncloa-Aravaca;096. El Plantío;356
2019;09. Moncloa-Aravaca;097. Aravaca;3.009
2019;10. Latina;10. Latina;
2019;10. Latina;10. Latina;46.511
2019;10. Latina;101. Los Cármenes;2.563
2019;10. Latina;102. Puerta del Ángel;7.124
2019;10. Latina;103. Lucero;6.825
2019;10. Latina;104. Aluche;15.288
2019;10. Latina;105. Campamento;2.844
2019;10. Latina;106. Cuatro Vientos;372
2019;10. Latina;107. Águilas;11.495
2019;11. Carabanchel;11. Carabanchel;
2019;11. Carabanchel;11. Carabanchel;41.060
2019;11. Carabanchel;111. Comillas;4.345
2019;11. Carabanchel;112. Opañel;5.829
2019;11. Carabanchel;113. San Isidro;6.389
2019;11. Carabanchel;114. Vista Alegre;8.704
2019;11. Carabanchel;115. Puerta Bonita;5.430
2019;11. Carabanchel;116. Buenavista;5.672
2019;11. Carabanchel;117. Abrantes;4.691
2019;12. Usera;12. Usera;
2019;12. Usera;12. Usera;21.135
2019;12. Usera;121. Orcasitas;4.060
2019;12. Usera;122. Orcasur;1.945
2019;12. Usera;123. San Fermín;3.123
2019;12. Usera;124. Almendrales;3.055
2019;12. Usera;125. Moscardó;4.197
2019;12. Usera;126. Zofío;2.226
2019;12. Usera;127. Pradolongo;2.529
2019;13. Puente de Vallecas;13. Puente de Vallecas;
2019;13. Puente de Vallecas;13. Puente de Vallecas;39.177
2019;13. Puente de Vallecas;131. Entrevías;6.459
2019;13. Puente de Vallecas;132. San Diego;5.309
2019;13. Puente de Vallecas;133. Palomeras Bajas;6.401
2019;13. Puente de Vallecas;134. Palomeras Sureste;7.488
2019;13. Puente de Vallecas;135. Portazgo;5.672
2019;13. Puente de Vallecas;136. Numancia;7.848
2019;14. Moratalaz;14. Moratalaz;
2019;14. Moratalaz;14. Moratalaz;20.846
2019;14. Moratalaz;141. Pavones;1.940
2019;14. Moratalaz;142. Horcajo;623
2019;14. Moratalaz;143. Marroquina;6.420
2019;14. Moratalaz;144. Media Legua;4.094
2019;14. Moratalaz;145. Fontarrón;3.705
2019;14. Moratalaz;146. Vinateros;4.064
2019;15. Ciudad Lineal;15. Ciudad Lineal;
2019;15. Ciudad Lineal;15. Ciudad Lineal;40.815
2019;15. Ciudad Lineal;151. Ventas;9.502
2019;15. Ciudad Lineal;152. Pueblo Nuevo;11.420
2019;15. Ciudad Lineal;153. Quintana;4.562
2019;15. Ciudad Lineal;154. Concepción;4.108
2019;15. Ciudad Lineal;155. San Pascual;4.015
2019;15. Ciudad Lineal;156. San Juan Bautista;2.192
2019;15. Ciudad Lineal;157. Colina;1.147
2019;15. Ciudad Lineal;158. Atalaya;265
2019;15. Ciudad Lineal;159. Costillares;3.604
2019;16. Hortaleza;16. Hortaleza;
2019;16. Hortaleza;16. Hortaleza;29.570
2019;16. Hortaleza;161. Palomas;831
2019;16. Hortaleza;162. Piovera;1.651
2019;16. Hortaleza;163. Canillas;9.133
2019;16. Hortaleza;164. Pinar del Rey;11.679
2019;16. Hortaleza;165. Apóstol Santiago;2.686
2019;16. Hortaleza;166. Valdefuentes;3.590
2019;17. Villaverde;17. Villaverde;
2019;17. Villaverde;17. Villaverde;22.899
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;6.961
2019;17. Villaverde;172. San Cristóbal;1.819
2019;17. Villaverde;173. Butarque;1.616
2019;17. Villaverde;174. Los Rosales;5.532
2019;17. Villaverde;175. Ángeles;6.971
2019;18. Villa de Vallecas;18. Villa de Vallecas;
2019;18. Villa de Vallecas;18. Villa de Vallecas;13.258
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;6.104
2019;18. Villa de Vallecas;182. Santa Eugenia;4.941
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;2.213
2019;19. Vicálvaro;19. Vicálvaro;
2019;19. Vicálvaro;19. Vicálvaro;9.437
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;6.249
2019;19. Vicálvaro;192. Valdebernardo;2.046
2019;19. Vicálvaro;193. Valderribas;1.094
2019;19. Vicálvaro;194. El Cañaveral;48
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;25.466
2019;20. San Blas-Canillejas;201. Simancas;4.118
2019;20. San Blas-Canillejas;202. Hellín;1.936
2019;20. San Blas-Canillejas;203. Amposta;1.584
2019;20. San Blas-Canillejas;204. Arcos;4.205
2019;20. San Blas-Canillejas;205. Rosas;4.178
2019;20. San Blas-Canillejas;206. Rejas;1.644
2019;20. San Blas-Canillejas;207. Canillejas;5.671
2019;20. San Blas-Canillejas;208. El Salvador;2.130
2019;21. Barajas;21. Barajas;
2019;21. Barajas;21. Barajas;7.598
2019;21. Barajas;211. Alameda de Osuna;4.047
2019;21. Barajas;212. Aeropuerto;267
2019;21. Barajas;213. Casco Histórico de Barajas;1.305
2019;21. Barajas;214. Timón;1.289
2019;21. Barajas;215. Corralejos;690
