AÑO;DISTRITO;BARRIO;Pension media
2018;01. Centro;01. Centro;
2018;01. Centro;01. Centro;7.620,05
2018;01. Centro;011. Palacio;1.315,79
2018;01. Centro;012. Embajadores;1.174,66
2018;01. Centro;013. Cortes;1.298,31
2018;01. Centro;014. Justicia;1.321,98
2018;01. Centro;015. Universidad;1.277,56
2018;01. Centro;016. Sol;1.231,75
2018;02. Arganzuela;02. Arganzuela;
2018;02. Arganzuela;02. Arganzuela;9.986,78
2018;02. Arganzuela;021. Imperial;1.435,57
2018;02. Arganzuela;022. Acacias;1.537,51
2018;02. Arganzuela;023. Chopera;1.335,67
2018;02. Arganzuela;024. Legazpi;1.513,05
2018;02. Arganzuela;025. Delicias;1.431,16
2018;02. Arganzuela;026. Palos de Moguer;1.365,05
2018;02. Arganzuela;027. Atocha;1.368,76
2018;03. Retiro;03. Retiro;
2018;03. Retiro;03. Retiro;9.574,93
2018;03. Retiro;031. Pacífico;1.541,99
2018;03. Retiro;032. Adelfas;1.552,92
2018;03. Retiro;033. Estrella;1.746,91
2018;03. Retiro;034. Ibiza;1.521,70
2018;03. Retiro;035. Los Jerónimos;1.511,63
2018;03. Retiro;036. Niño Jesús;1.699,79
2018;04. Salamanca;04. Salamanca;
2018;04. Salamanca;04. Salamanca;9.169,62
2018;04. Salamanca;041. Recoletos;1.534,40
2018;04. Salamanca;042. Goya;1.483,11
2018;04. Salamanca;043. Fuente del Berro;1.490,33
2018;04. Salamanca;044. Guindalera;1.583,93
2018;04. Salamanca;045. Lista;1.550,44
2018;04. Salamanca;046. Castellana;1.527,41
2018;05. Chamartín;05. Chamartín;
2018;05. Chamartín;05. Chamartín;9.519,08
2018;05. Chamartín;051. El Viso;1.564,05
2018;05. Chamartín;052. Prosperidad;1.580,61
2018;05. Chamartín;053. Ciudad Jardín;1.523,82
2018;05. Chamartín;054. Hispanoamérica;1.616,32
2018;05. Chamartín;055. Nueva España;1.634,98
2018;05. Chamartín;056. Castilla;1.599,31
2018;06. Tetuán;06. Tetuán;
2018;06. Tetuán;06. Tetuán;7.784,87
2018;06. Tetuán;061. Bellas Vistas;1.318,06
2018;06. Tetuán;062. Cuatro Caminos;1.505,02
2018;06. Tetuán;063. Castillejos;1.500,34
2018;06. Tetuán;064. Almenara;1.127,70
2018;06. Tetuán;065. Valdeacederas;1.120,25
2018;06. Tetuán;066. Berruguete;1.213,51
2018;07. Chamberí;07. Chamberí;
2018;07. Chamberí;07. Chamberí;9.097,49
2018;07. Chamberí;071. Gaztambide;1.516,69
2018;07. Chamberí;072. Arapiles;1.488,87
2018;07. Chamberí;073. Trafalgar;1.476,10
2018;07. Chamberí;074. Almagro;1.483,02
2018;07. Chamberí;075. Ríos Rosas;1.511,36
2018;07. Chamberí;076. Vallehermoso;1.621,45
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;11.764,44
2018;08. Fuencarral-El Pardo;081. El Pardo;1.305,99
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;1.696,28
2018;08. Fuencarral-El Pardo;083. Peñagrande;1.464,72
2018;08. Fuencarral-El Pardo;084. Pilar;1.355,14
2018;08. Fuencarral-El Pardo;085. La Paz;1.742,57
2018;08. Fuencarral-El Pardo;086. Valverde;1.276,22
2018;08. Fuencarral-El Pardo;087. Mirasierra;1.694,48
2018;08. Fuencarral-El Pardo;088. El Goloso;1.229,05
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;10.566,48
2018;09. Moncloa-Aravaca;091. Casa de Campo;1.477,14
2018;09. Moncloa-Aravaca;092. Argüelles;1.462,26
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;1.619,26
2018;09. Moncloa-Aravaca;094. Valdezarza;1.358,70
2018;09. Moncloa-Aravaca;095. Valdemarín;1.539,06
2018;09. Moncloa-Aravaca;096. El Plantío;1.530,94
2018;09. Moncloa-Aravaca;097. Aravaca;1.579,12
2018;10. Latina;10. Latina;
2018;10. Latina;10. Latina;8.608,84
2018;10. Latina;101. Los Cármenes;1.163,42
2018;10. Latina;102. Puerta del Ángel;1.202,49
2018;10. Latina;103. Lucero;1.258,94
2018;10. Latina;104. Aluche;1.318,39
2018;10. Latina;105. Campamento;1.194,72
2018;10. Latina;106. Cuatro Vientos;1.222,81
2018;10. Latina;107. Águilas;1.248,06
2018;11. Carabanchel;11. Carabanchel;
2018;11. Carabanchel;11. Carabanchel;8.263,75
2018;11. Carabanchel;111. Comillas;1.258,60
2018;11. Carabanchel;112. Opañel;1.254,78
2018;11. Carabanchel;113. San Isidro;1.159,59
2018;11. Carabanchel;114. Vista Alegre;1.198,82
2018;11. Carabanchel;115. Puerta Bonita;1.077,97
2018;11. Carabanchel;116. Buenavista;1.165,46
2018;11. Carabanchel;117. Abrantes;1.148,54
2018;12. Usera;12. Usera;
2018;12. Usera;12. Usera;7.643,04
2018;12. Usera;121. Orcasitas;1.076,72
2018;12. Usera;122. Orcasur;985,99
2018;12. Usera;123. San Fermín;1.074,13
2018;12. Usera;124. Almendrales;1.106,45
2018;12. Usera;125. Moscardó;1.213,25
2018;12. Usera;126. Zofío;1.127,71
2018;12. Usera;127. Pradolongo;1.058,79
2018;13. Puente de Vallecas;13. Puente de Vallecas;
2018;13. Puente de Vallecas;13. Puente de Vallecas;6.474,24
2018;13. Puente de Vallecas;131. Entrevías;1.001,77
2018;13. Puente de Vallecas;132. San Diego;1.045,09
2018;13. Puente de Vallecas;133. Palomeras Bajas;1.198,46
2018;13. Puente de Vallecas;134. Palomeras Sureste;1.069,37
2018;13. Puente de Vallecas;135. Portazgo;1.049,30
2018;13. Puente de Vallecas;136. Numancia;1.110,25
2018;14. Moratalaz;14. Moratalaz;
2018;14. Moratalaz;14. Moratalaz;7.942
2018;14. Moratalaz;141. Pavones;1.287,71
2018;14. Moratalaz;142. Horcajo;1.302,88
2018;14. Moratalaz;143. Marroquina;1.452,38
2018;14. Moratalaz;144. Media Legua;1.428,70
2018;14. Moratalaz;145. Fontarrón;1.218,55
2018;14. Moratalaz;146. Vinateros;1.251,79
2018;15. Ciudad Lineal;15. Ciudad Lineal;
2018;15. Ciudad Lineal;15. Ciudad Lineal;12.921,36
2018;15. Ciudad Lineal;151. Ventas;1.239,77
2018;15. Ciudad Lineal;152. Pueblo Nuevo;1.251,97
2018;15. Ciudad Lineal;153. Quintana;1.275,44
2018;15. Ciudad Lineal;154. Concepción;1.362,94
2018;15. Ciudad Lineal;155. San Pascual;1.446,11
2018;15. Ciudad Lineal;156. San Juan Bautista;1.561,15
2018;15. Ciudad Lineal;157. Colina;1.578,38
2018;15. Ciudad Lineal;158. Atalaya;1.516,82
2018;15. Ciudad Lineal;159. Costillares;1.688,78
2018;16. Hortaleza;16. Hortaleza;
2018;16. Hortaleza;16. Hortaleza;8.851,53
2018;16. Hortaleza;161. Palomas;1.740,17
2018;16. Hortaleza;162. Piovera;1.636,17
2018;16. Hortaleza;163. Canillas;1.366,22
2018;16. Hortaleza;164. Pinar del Rey;1.296,12
2018;16. Hortaleza;165. Apóstol Santiago;1.347,55
2018;16. Hortaleza;166. Valdefuentes;1.465,30
2018;17. Villaverde;17. Villaverde;
2018;17. Villaverde;17. Villaverde;5.666,52
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;1.092,47
2018;17. Villaverde;172. San Cristóbal;1.004,89
2018;17. Villaverde;173. Butarque;1.126,44
2018;17. Villaverde;174. Los Rosales;1.191,70
2018;17. Villaverde;175. Ángeles;1.251,02
2018;18. Villa de Vallecas;18. Villa de Vallecas;
2018;18. Villa de Vallecas;18. Villa de Vallecas;3.649,77
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;1.103,78
2018;18. Villa de Vallecas;182. Santa Eugenia;1.414,16
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;1.131,83
2018;19. Vicálvaro;19. Vicálvaro;
2018;19. Vicálvaro;19. Vicálvaro;4.984,86
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;1.089,36
2018;19. Vicálvaro;192. Valdebernardo;1.384,77
2018;19. Vicálvaro;193. Valderribas;1.300,80
2018;19. Vicálvaro;194. El Cañaveral;1.209,93
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;9.784,95
2018;20. San Blas-Canillejas;201. Simancas;1.123,85
2018;20. San Blas-Canillejas;202. Hellín;1.057,88
2018;20. San Blas-Canillejas;203. Amposta;1.025,97
2018;20. San Blas-Canillejas;204. Arcos;1.049,82
2018;20. San Blas-Canillejas;205. Rosas;1.394,80
2018;20. San Blas-Canillejas;206. Rejas;1.340,46
2018;20. San Blas-Canillejas;207. Canillejas;1.241,88
2018;20. San Blas-Canillejas;208. El Salvador;1.550,31
2018;21. Barajas;21. Barajas;
2018;21. Barajas;21. Barajas;6.927,33
2018;21. Barajas;211. Alameda de Osuna;1.725,60
2018;21. Barajas;212. Aeropuerto;1.050,66
2018;21. Barajas;213. Casco Histórico de Barajas;1.316,76
2018;21. Barajas;214. Timón;1.357,78
2018;21. Barajas;215. Corralejos;1.476,53
2019;01. Centro;01. Centro;
2019;01. Centro;01. Centro;7.620,05
2019;01. Centro;011. Palacio;1.315,79
2019;01. Centro;012. Embajadores;1.174,66
2019;01. Centro;013. Cortes;1.298,31
2019;01. Centro;014. Justicia;1.321,98
2019;01. Centro;015. Universidad;1.277,56
2019;01. Centro;016. Sol;1.231,75
2019;02. Arganzuela;02. Arganzuela;
2019;02. Arganzuela;02. Arganzuela;9.986,78
2019;02. Arganzuela;021. Imperial;1.435,57
2019;02. Arganzuela;022. Acacias;1.537,51
2019;02. Arganzuela;023. Chopera;1.335,67
2019;02. Arganzuela;024. Legazpi;1.513,05
2019;02. Arganzuela;025. Delicias;1.431,16
2019;02. Arganzuela;026. Palos de Moguer;1.365,05
2019;02. Arganzuela;027. Atocha;1.368,76
2019;03. Retiro;03. Retiro;
2019;03. Retiro;03. Retiro;9.574,93
2019;03. Retiro;031. Pacífico;1.541,99
2019;03. Retiro;032. Adelfas;1.552,92
2019;03. Retiro;033. Estrella;1.746,91
2019;03. Retiro;034. Ibiza;1.521,70
2019;03. Retiro;035. Los Jerónimos;1.511,63
2019;03. Retiro;036. Niño Jesús;1.699,79
2019;04. Salamanca;04. Salamanca;
2019;04. Salamanca;04. Salamanca;9.169,62
2019;04. Salamanca;041. Recoletos;1.534,40
2019;04. Salamanca;042. Goya;1.483,11
2019;04. Salamanca;043. Fuente del Berro;1.490,33
2019;04. Salamanca;044. Guindalera;1.583,93
2019;04. Salamanca;045. Lista;1.550,44
2019;04. Salamanca;046. Castellana;1.527,41
2019;05. Chamartín;05. Chamartín;
2019;05. Chamartín;05. Chamartín;9.519,08
2019;05. Chamartín;051. El Viso;1.564,05
2019;05. Chamartín;052. Prosperidad;1.580,61
2019;05. Chamartín;053. Ciudad Jardín;1.523,82
2019;05. Chamartín;054. Hispanoamérica;1.616,32
2019;05. Chamartín;055. Nueva España;1.634,98
2019;05. Chamartín;056. Castilla;1.599,31
2019;06. Tetuán;06. Tetuán;
2019;06. Tetuán;06. Tetuán;7.784,87
2019;06. Tetuán;061. Bellas Vistas;1.318,06
2019;06. Tetuán;062. Cuatro Caminos;1.505,02
2019;06. Tetuán;063. Castillejos;1.500,34
2019;06. Tetuán;064. Almenara;1.127,70
2019;06. Tetuán;065. Valdeacederas;1.120,25
2019;06. Tetuán;066. Berruguete;1.213,51
2019;07. Chamberí;07. Chamberí;
2019;07. Chamberí;07. Chamberí;9.097,49
2019;07. Chamberí;071. Gaztambide;1.516,69
2019;07. Chamberí;072. Arapiles;1.488,87
2019;07. Chamberí;073. Trafalgar;1.476,10
2019;07. Chamberí;074. Almagro;1.483,02
2019;07. Chamberí;075. Ríos Rosas;1.511,36
2019;07. Chamberí;076. Vallehermoso;1.621,45
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;11.764,44
2019;08. Fuencarral-El Pardo;081. El Pardo;1.305,99
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;1.696,28
2019;08. Fuencarral-El Pardo;083. Peñagrande;1.464,72
2019;08. Fuencarral-El Pardo;084. Pilar;1.355,14
2019;08. Fuencarral-El Pardo;085. La Paz;1.742,57
2019;08. Fuencarral-El Pardo;086. Valverde;1.276,22
2019;08. Fuencarral-El Pardo;087. Mirasierra;1.694,48
2019;08. Fuencarral-El Pardo;088. El Goloso;1.229,05
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;10.566,48
2019;09. Moncloa-Aravaca;091. Casa de Campo;1.477,14
2019;09. Moncloa-Aravaca;092. Argüelles;1.462,26
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;1.619,26
2019;09. Moncloa-Aravaca;094. Valdezarza;1.358,70
2019;09. Moncloa-Aravaca;095. Valdemarín;1.539,06
2019;09. Moncloa-Aravaca;096. El Plantío;1.530,94
2019;09. Moncloa-Aravaca;097. Aravaca;1.579,12
2019;10. Latina;10. Latina;
2019;10. Latina;10. Latina;8.608,84
2019;10. Latina;101. Los Cármenes;1.163,42
2019;10. Latina;102. Puerta del Ángel;1.202,49
2019;10. Latina;103. Lucero;1.258,94
2019;10. Latina;104. Aluche;1.318,39
2019;10. Latina;105. Campamento;1.194,72
2019;10. Latina;106. Cuatro Vientos;1.222,81
2019;10. Latina;107. Águilas;1.248,06
2019;11. Carabanchel;11. Carabanchel;
2019;11. Carabanchel;11. Carabanchel;8.263,75
2019;11. Carabanchel;111. Comillas;1.258,60
2019;11. Carabanchel;112. Opañel;1.254,78
2019;11. Carabanchel;113. San Isidro;1.159,59
2019;11. Carabanchel;114. Vista Alegre;1.198,82
2019;11. Carabanchel;115. Puerta Bonita;1.077,97
2019;11. Carabanchel;116. Buenavista;1.165,46
2019;11. Carabanchel;117. Abrantes;1.148,54
2019;12. Usera;12. Usera;
2019;12. Usera;12. Usera;7.643,04
2019;12. Usera;121. Orcasitas;1.076,72
2019;12. Usera;122. Orcasur;985,99
2019;12. Usera;123. San Fermín;1.074,13
2019;12. Usera;124. Almendrales;1.106,45
2019;12. Usera;125. Moscardó;1.213,25
2019;12. Usera;126. Zofío;1.127,71
2019;12. Usera;127. Pradolongo;1.058,79
2019;13. Puente de Vallecas;13. Puente de Vallecas;
2019;13. Puente de Vallecas;13. Puente de Vallecas;6.474,24
2019;13. Puente de Vallecas;131. Entrevías;1.001,77
2019;13. Puente de Vallecas;132. San Diego;1.045,09
2019;13. Puente de Vallecas;133. Palomeras Bajas;1.198,46
2019;13. Puente de Vallecas;134. Palomeras Sureste;1.069,37
2019;13. Puente de Vallecas;135. Portazgo;1.049,30
2019;13. Puente de Vallecas;136. Numancia;1.110,25
2019;14. Moratalaz;14. Moratalaz;
2019;14. Moratalaz;14. Moratalaz;7.942
2019;14. Moratalaz;141. Pavones;1.287,71
2019;14. Moratalaz;142. Horcajo;1.302,88
2019;14. Moratalaz;143. Marroquina;1.452,38
2019;14. Moratalaz;144. Media Legua;1.428,70
2019;14. Moratalaz;145. Fontarrón;1.218,55
2019;14. Moratalaz;146. Vinateros;1.251,79
2019;15. Ciudad Lineal;15. Ciudad Lineal;
2019;15. Ciudad Lineal;15. Ciudad Lineal;12.921,36
2019;15. Ciudad Lineal;151. Ventas;1.239,77
2019;15. Ciudad Lineal;152. Pueblo Nuevo;1.251,97
2019;15. Ciudad Lineal;153. Quintana;1.275,44
2019;15. Ciudad Lineal;154. Concepción;1.362,94
2019;15. Ciudad Lineal;155. San Pascual;1.446,11
2019;15. Ciudad Lineal;156. San Juan Bautista;1.561,15
2019;15. Ciudad Lineal;157. Colina;1.578,38
2019;15. Ciudad Lineal;158. Atalaya;1.516,82
2019;15. Ciudad Lineal;159. Costillares;1.688,78
2019;16. Hortaleza;16. Hortaleza;
2019;16. Hortaleza;16. Hortaleza;8.851,53
2019;16. Hortaleza;161. Palomas;1.740,17
2019;16. Hortaleza;162. Piovera;1.636,17
2019;16. Hortaleza;163. Canillas;1.366,22
2019;16. Hortaleza;164. Pinar del Rey;1.296,12
2019;16. Hortaleza;165. Apóstol Santiago;1.347,55
2019;16. Hortaleza;166. Valdefuentes;1.465,30
2019;17. Villaverde;17. Villaverde;
2019;17. Villaverde;17. Villaverde;5.666,52
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;1.092,47
2019;17. Villaverde;172. San Cristóbal;1.004,89
2019;17. Villaverde;173. Butarque;1.126,44
2019;17. Villaverde;174. Los Rosales;1.191,70
2019;17. Villaverde;175. Ángeles;1.251,02
2019;18. Villa de Vallecas;18. Villa de Vallecas;
2019;18. Villa de Vallecas;18. Villa de Vallecas;3.649,77
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;1.103,78
2019;18. Villa de Vallecas;182. Santa Eugenia;1.414,16
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;1.131,83
2019;19. Vicálvaro;19. Vicálvaro;
2019;19. Vicálvaro;19. Vicálvaro;4.984,86
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;1.089,36
2019;19. Vicálvaro;192. Valdebernardo;1.384,77
2019;19. Vicálvaro;193. Valderribas;1.300,80
2019;19. Vicálvaro;194. El Cañaveral;1.209,93
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;9.784,95
2019;20. San Blas-Canillejas;201. Simancas;1.123,85
2019;20. San Blas-Canillejas;202. Hellín;1.057,88
2019;20. San Blas-Canillejas;203. Amposta;1.025,97
2019;20. San Blas-Canillejas;204. Arcos;1.049,82
2019;20. San Blas-Canillejas;205. Rosas;1.394,80
2019;20. San Blas-Canillejas;206. Rejas;1.340,46
2019;20. San Blas-Canillejas;207. Canillejas;1.241,88
2019;20. San Blas-Canillejas;208. El Salvador;1.550,31
2019;21. Barajas;21. Barajas;
2019;21. Barajas;21. Barajas;6.927,33
2019;21. Barajas;211. Alameda de Osuna;1.725,60
2019;21. Barajas;212. Aeropuerto;1.050,66
2019;21. Barajas;213. Casco Histórico de Barajas;1.316,76
2019;21. Barajas;214. Timón;1.357,78
2019;21. Barajas;215. Corralejos;1.476,53
