AÑO;DISTRITO;BARRIO;Superficie (Ha);Densidad (Hab./Ha)
2018;21. Barajas;215. Corralejos;468,25;16,32
2019;01. Centro;01. Centro;;
2019;01. Centro;01. Centro;522,82;268,68
2019;01. Centro;011. Palacio;146,99;160,51
2019;01. Centro;012. Embajadores;103,37;455,13
2019;01. Centro;013. Cortes;59,19;181,98
2019;01. Centro;014. Justicia;73,94;243,72
2019;01. Centro;015. Universidad;94,80;352,50
2019;01. Centro;016. Sol;44,53;171,17
2019;02. Arganzuela;02. Arganzuela;;
2019;02. Arganzuela;02. Arganzuela;646,22;240,88
2019;02. Arganzuela;021. Imperial;96,77;236,73
2019;02. Arganzuela;022. Acacias;107,34;343,96
2019;02. Arganzuela;023. Chopera;56,78;357,30
2019;02. Arganzuela;024. Legazpi;141,45;140,05
2019;02. Arganzuela;025. Delicias;105,47;267,69
2019;02. Arganzuela;026. Palos de Moguer;64,84;405,42
2019;02. Arganzuela;027. Atocha;73,57;16,46
2019;03. Retiro;03. Retiro;;
2019;03. Retiro;03. Retiro;546,62;220,27
2019;03. Retiro;031. Pacífico;75,83;445,33
2019;03. Retiro;032. Adelfas;64,08;293,15
2019;03. Retiro;033. Estrella;102,55;227,73
2019;03. Retiro;034. Ibiza;49,20;447,04
2019;03. Retiro;035. Los Jerónimos;190,64;36,96
2019;03. Retiro;036. Niño Jesús;64,33;240,35
2019;04. Salamanca;04. Salamanca;;
2019;04. Salamanca;04. Salamanca;539,24;274,19
2019;04. Salamanca;041. Recoletos;87,31;181,48
2019;04. Salamanca;042. Goya;77,03;388,75
2019;04. Salamanca;043. Fuente del Berro;85,26;249,23
2019;04. Salamanca;044. Guindalera;160,28;263,95
2019;04. Salamanca;045. Lista;52,02;407,74
2019;04. Salamanca;046. Castellana;77,34;223,65
2019;05. Chamartín;05. Chamartín;;
2019;05. Chamartín;05. Chamartín;917,55;160,81
2019;05. Chamartín;051. El Viso;170,92;101,99
2019;05. Chamartín;052. Prosperidad;104,01;355,17
2019;05. Chamartín;053. Ciudad Jardín;76,23;247,84
2019;05. Chamartín;054. Hispanoamérica;171,25;187,10
2019;05. Chamartín;055. Nueva España;179,01;139,74
2019;05. Chamartín;056. Castilla;216,13;79,71
2019;06. Tetuán;06. Tetuán;;
2019;06. Tetuán;06. Tetuán;537,47;300,13
2019;06. Tetuán;061. Bellas Vistas;71,52;418,01
2019;06. Tetuán;062. Cuatro Caminos;118,50;296,97
2019;06. Tetuán;063. Castillejos;70,47;295,67
2019;06. Tetuán;064. Almenara;99,94;230,18
2019;06. Tetuán;065. Valdeacederas;116,34;228,17
2019;06. Tetuán;066. Berruguete;60,71;425,71
2019;07. Chamberí;07. Chamberí;;
2019;07. Chamberí;07. Chamberí;467,92;301,05
2019;07. Chamberí;071. Gaztambide;50,65;460,61
2019;07. Chamberí;072. Arapiles;57,82;427,24
2019;07. Chamberí;073. Trafalgar;61,19;408,95
2019;07. Chamberí;074. Almagro;93,79;211,51
2019;07. Chamberí;075. Ríos Rosas;97,54;282,64
2019;07. Chamberí;076. Vallehermoso;106,92;190,82
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;23.783,84;10,51
2019;08. Fuencarral-El Pardo;081. El Pardo;18.758,34;0,19
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;138,26;23,93
2019;08. Fuencarral-El Pardo;083. Peñagrande;288,73;155,64
2019;08. Fuencarral-El Pardo;084. Pilar;136,32;343,71
2019;08. Fuencarral-El Pardo;085. La Paz;215,48;156,14
2019;08. Fuencarral-El Pardo;086. Valverde;898,12;72
2019;08. Fuencarral-El Pardo;087. Mirasierra;699,28;48,69
2019;08. Fuencarral-El Pardo;088. El Goloso;2.649,31;7,19
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;4.653,11;26,15
2019;09. Moncloa-Aravaca;091. Casa de Campo;1.746,06;7,56
2019;09. Moncloa-Aravaca;092. Argüelles;75,75;322,40
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;1.425,09;11,50
2019;09. Moncloa-Aravaca;094. Valdezarza;139,75;217,57
2019;09. Moncloa-Aravaca;095. Valdemarín;330,25;21,07
2019;09. Moncloa-Aravaca;096. El Plantío;352,82;7,93
2019;09. Moncloa-Aravaca;097. Aravaca;583,40;47,14
2019;10. Latina;10. Latina;;
2019;10. Latina;10. Latina;2.542,72;95,23
2019;10. Latina;101. Los Cármenes;129,20;137,28
2019;10. Latina;102. Puerta del Ángel;137,53;308,02
2019;10. Latina;103. Lucero;167,90;219,08
2019;10. Latina;104. Aluche;284,98;236,57
2019;10. Latina;105. Campamento;919,14;21,59
2019;10. Latina;106. Cuatro Vientos;543,01;10,83
2019;10. Latina;107. Águilas;360,96;144,37
2019;11. Carabanchel;11. Carabanchel;;
2019;11. Carabanchel;11. Carabanchel;1.404,83;185,22
2019;11. Carabanchel;111. Comillas;66,61;345,31
2019;11. Carabanchel;112. Opañel;110,73;304,18
2019;11. Carabanchel;113. San Isidro;189,93;210,72
2019;11. Carabanchel;114. Vista Alegre;158,92;299,53
2019;11. Carabanchel;115. Puerta Bonita;160,86;223,37
2019;11. Carabanchel;116. Buenavista;561,32;85,53
2019;11. Carabanchel;117. Abrantes;156,46;204,19
2019;12. Usera;12. Usera;;
2019;12. Usera;12. Usera;777,77;183,72
2019;12. Usera;121. Orcasitas;135,64;170,85
2019;12. Usera;122. Orcasur;138,73;102,02
2019;12. Usera;123. San Fermín;147,54;162,67
2019;12. Usera;124. Almendrales;78,01;284,29
2019;12. Usera;125. Moscardó;90,88;298,51
2019;12. Usera;126. Zofío;77,40;186,20
2019;12. Usera;127. Pradolongo;109,57;162,89
2019;13. Puente de Vallecas;13. Puente de Vallecas;;
2019;13. Puente de Vallecas;13. Puente de Vallecas;1.496,86;160,91
2019;13. Puente de Vallecas;131. Entrevías;597,19;59,47
2019;13. Puente de Vallecas;132. San Diego;106,99;410,32
2019;13. Puente de Vallecas;133. Palomeras Bajas;172,39;237,32
2019;13. Puente de Vallecas;134. Palomeras Sureste;310,86;138,85
2019;13. Puente de Vallecas;135. Portazgo;124,53;232,63
2019;13. Puente de Vallecas;136. Numancia;184,91;261,81
2019;14. Moratalaz;14. Moratalaz;;
2019;14. Moratalaz;14. Moratalaz;610,32;156,66
2019;14. Moratalaz;141. Pavones;100,97;92,66
2019;14. Moratalaz;142. Horcajo;74,59;86,27
2019;14. Moratalaz;143. Marroquina;179,01;152,13
2019;14. Moratalaz;144. Media Legua;99,90;179,70
2019;14. Moratalaz;145. Fontarrón;96,46;181,62
2019;14. Moratalaz;146. Vinateros;59,40;288,26
2019;15. Ciudad Lineal;15. Ciudad Lineal;;
2019;15. Ciudad Lineal;15. Ciudad Lineal;1.142,57;192,43
2019;15. Ciudad Lineal;151. Ventas;319,80;152,88
2019;15. Ciudad Lineal;152. Pueblo Nuevo;231,92;273,89
2019;15. Ciudad Lineal;153. Quintana;72,31;347,81
2019;15. Ciudad Lineal;154. Concepción;88,59;238,77
2019;15. Ciudad Lineal;155. San Pascual;105,27;172
2019;15. Ciudad Lineal;156. San Juan Bautista;101,08;125,88
2019;15. Ciudad Lineal;157. Colina;55,97;116,47
2019;15. Ciudad Lineal;158. Atalaya;24,89;62,48
2019;15. Ciudad Lineal;159. Costillares;142,72;155,86
2019;16. Hortaleza;16. Hortaleza;;
2019;16. Hortaleza;16. Hortaleza;2.741,98;70,48
2019;16. Hortaleza;161. Palomas;112,98;60,53
2019;16. Hortaleza;162. Piovera;313,96;47,58
2019;16. Hortaleza;163. Canillas;252,25;161,89
2019;16. Hortaleza;164. Pinar del Rey;266,48;199,50
2019;16. Hortaleza;165. Apóstol Santiago;120,51;129,08
2019;16. Hortaleza;166. Valdefuentes;1.675,80;36,96
2019;17. Villaverde;17. Villaverde;;
2019;17. Villaverde;17. Villaverde;2.018,76;76,44
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;925,36;50,52
2019;17. Villaverde;172. San Cristóbal;108,25;156,10
2019;17. Villaverde;173. Butarque;637,55;31,41
2019;17. Villaverde;174. Los Rosales;154,07;247,33
2019;17. Villaverde;175. Ángeles;193,53;168,13
2019;18. Villa de Vallecas;18. Villa de Vallecas;;
2019;18. Villa de Vallecas;18. Villa de Vallecas;5.146,72;22,25
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;4.304,59;9,51
2019;18. Villa de Vallecas;182. Santa Eugenia;208,02;118,66
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;634,11;77,07
2019;19. Vicálvaro;19. Vicálvaro;;
2019;19. Vicálvaro;19. Vicálvaro;3.526,67;21
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2.149,42;16,59
2019;19. Vicálvaro;192. Valdebernardo;255,51;69,80
2019;19. Vicálvaro;193. Valderribas;64,32;282,20
2019;19. Vicálvaro;194. El Cañaveral;1.057,43;2,27
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;2.229,24;72,32
2019;20. San Blas-Canillejas;201. Simancas;227,63;126,07
2019;20. San Blas-Canillejas;202. Hellín;55,06;169,68
2019;20. San Blas-Canillejas;203. Amposta;37,03;239,68
2019;20. San Blas-Canillejas;204. Arcos;130,52;189,18
2019;20. San Blas-Canillejas;205. Rosas;929,65;34,20
2019;20. San Blas-Canillejas;206. Rejas;501,57;34,49
2019;20. San Blas-Canillejas;207. Canillejas;159,77;181,80
2019;20. San Blas-Canillejas;208. El Salvador;188,01;61,04
2019;21. Barajas;21. Barajas;;
2019;21. Barajas;21. Barajas;4.192,28;11,93
2019;21. Barajas;211. Alameda de Osuna;197,03;100,59
2019;21. Barajas;212. Aeropuerto;2.962,61;0,64
2019;21. Barajas;213. Casco Histórico de Barajas;54,94;139,84
2019;21. Barajas;214. Timón;509,45;25,23
2019;21. Barajas;215. Corralejos;468,25;16,56
2020;01. Centro;01. Centro;;
2020;01. Centro;01. Centro;522,82;270,14
2020;01. Centro;011. Palacio;146,99;160,45
2020;01. Centro;012. Embajadores;103,37;456,97
2020;01. Centro;013. Cortes;59,19;182,25
2020;01. Centro;014. Justicia;73,94;246,25
2020;01. Centro;015. Universidad;94,80;352,59
2020;01. Centro;016. Sol;44,53;179,50
2020;02. Arganzuela;02. Arganzuela;;
2020;02. Arganzuela;02. Arganzuela;646,22;238,69
2020;02. Arganzuela;021. Imperial;96,77;233,51
2020;02. Arganzuela;022. Acacias;107,34;339,05
2020;02. Arganzuela;023. Chopera;56,78;353,60
2020;02. Arganzuela;024. Legazpi;141,45;138,37
2020;02. Arganzuela;025. Delicias;105,47;269,03
2020;02. Arganzuela;026. Palos de Moguer;64,84;397,65
2020;02. Arganzuela;027. Atocha;73,57;19,63
2020;03. Retiro;03. Retiro;;
2020;03. Retiro;03. Retiro;546,62;216,89
2020;03. Retiro;031. Pacífico;75,83;436,10
2020;03. Retiro;032. Adelfas;64,08;291,09
2020;03. Retiro;033. Estrella;102,55;224,77
2020;03. Retiro;034. Ibiza;49,20;438,20
2020;03. Retiro;035. Los Jerónimos;190,64;36,34
2020;03. Retiro;036. Niño Jesús;64,33;237,84
2020;04. Salamanca;04. Salamanca;;
2020;04. Salamanca;04. Salamanca;539,24;270,78
2020;04. Salamanca;041. Recoletos;87,31;179
2020;04. Salamanca;042. Goya;77,03;382,70
2020;04. Salamanca;043. Fuente del Berro;85,26;245,88
2020;04. Salamanca;044. Guindalera;160,28;261,66
2020;04. Salamanca;045. Lista;52,02;401,07
2020;04. Salamanca;046. Castellana;77,34;221,65
2020;05. Chamartín;05. Chamartín;;
2020;05. Chamartín;05. Chamartín;917,55;158,79
2020;05. Chamartín;051. El Viso;170,92;101,50
2020;05. Chamartín;052. Prosperidad;104,01;349,05
2020;05. Chamartín;053. Ciudad Jardín;76,23;244,23
2020;05. Chamartín;054. Hispanoamérica;171,25;184,77
2020;05. Chamartín;055. Nueva España;179,01;137,96
2020;05. Chamartín;056. Castilla;216,13;79,08
2020;06. Tetuán;06. Tetuán;;
2020;06. Tetuán;06. Tetuán;537,47;297,41
2020;06. Tetuán;061. Bellas Vistas;71,52;412
2020;06. Tetuán;062. Cuatro Caminos;118,50;293,81
2020;06. Tetuán;063. Castillejos;70,47;291,49
2020;06. Tetuán;064. Almenara;99,94;227,52
2020;06. Tetuán;065. Valdeacederas;116,34;228,85
2020;06. Tetuán;066. Berruguete;60,71;422,74
2020;07. Chamberí;07. Chamberí;;
2020;07. Chamberí;07. Chamberí;467,92;296,35
2020;07. Chamberí;071. Gaztambide;50,65;453,09
2020;07. Chamberí;072. Arapiles;57,82;419,56
2020;07. Chamberí;073. Trafalgar;61,19;402,50
2020;07. Chamberí;074. Almagro;93,79;208,39
2020;07. Chamberí;075. Ríos Rosas;97,54;279,02
2020;07. Chamberí;076. Vallehermoso;106,92;187,69
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;23.783,84;10,41
2020;08. Fuencarral-El Pardo;081. El Pardo;18.758,34;0,18
2020;08. Fuencarral-El Pardo;082. Fuentelarreina;138,26;24,27
2020;08. Fuencarral-El Pardo;083. Peñagrande;288,73;153,72
2020;08. Fuencarral-El Pardo;084. Pilar;136,32;337,22
2020;08. Fuencarral-El Pardo;085. La Paz;215,48;153,17
2020;08. Fuencarral-El Pardo;086. Valverde;898,12;71,31
2020;08. Fuencarral-El Pardo;087. Mirasierra;699,28;49,43
2020;08. Fuencarral-El Pardo;088. El Goloso;2.649,31;7,14
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;4.653,11;25,97
2020;09. Moncloa-Aravaca;091. Casa de Campo;1.746,06;7,48
2020;09. Moncloa-Aravaca;092. Argüelles;75,75;318,96
2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;1.425,09;11,35
2020;09. Moncloa-Aravaca;094. Valdezarza;139,75;215,33
2020;09. Moncloa-Aravaca;095. Valdemarín;330,25;20,76
2020;09. Moncloa-Aravaca;096. El Plantío;352,82;8,26
2020;09. Moncloa-Aravaca;097. Aravaca;583,40;47,25
2020;10. Latina;10. Latina;;
2020;10. Latina;10. Latina;2.542,72;94,45
2020;10. Latina;101. Los Cármenes;129,20;136,05
2020;10. Latina;102. Puerta del Ángel;137,53;305,26
2020;10. Latina;103. Lucero;167,90;217,84
2020;10. Latina;104. Aluche;284,98;234,99
2020;10. Latina;105. Campamento;919,14;21,30
2020;10. Latina;106. Cuatro Vientos;543,01;10,82
2020;10. Latina;107. Águilas;360,96;142,95
2020;11. Carabanchel;11. Carabanchel;;
2020;11. Carabanchel;11. Carabanchel;1.404,83;184,10
2020;11. Carabanchel;111. Comillas;66,61;340,72
2020;11. Carabanchel;112. Opañel;110,73;303,95
2020;11. Carabanchel;113. San Isidro;189,93;209,17
2020;11. Carabanchel;114. Vista Alegre;158,92;296,26
2020;11. Carabanchel;115. Puerta Bonita;160,86;223,46
2020;11. Carabanchel;116. Buenavista;561,32;85,53
2020;11. Carabanchel;117. Abrantes;156,46;201,44
2020;12. Usera;12. Usera;;
2020;12. Usera;12. Usera;777,77;183,16
2020;12. Usera;121. Orcasitas;135,64;170,27
2020;12. Usera;122. Orcasur;138,73;101,93
2020;12. Usera;123. San Fermín;147,54;161,57
2020;12. Usera;124. Almendrales;78,01;288,61
2020;12. Usera;125. Moscardó;90,88;292,95
2020;12. Usera;126. Zofío;77,40;185,21
2020;12. Usera;127. Pradolongo;109,57;163,42
2020;13. Puente de Vallecas;13. Puente de Vallecas;;
2020;13. Puente de Vallecas;13. Puente de Vallecas;1.496,86;159,71
2020;13. Puente de Vallecas;131. Entrevías;597,19;59,01
2020;13. Puente de Vallecas;132. San Diego;106,99;407,28
2020;13. Puente de Vallecas;133. Palomeras Bajas;172,39;234,75
2020;13. Puente de Vallecas;134. Palomeras Sureste;310,86;138,08
2020;13. Puente de Vallecas;135. Portazgo;124,53;230,76
2020;13. Puente de Vallecas;136. Numancia;184,91;260,22
2020;14. Moratalaz;14. Moratalaz;;
2020;14. Moratalaz;14. Moratalaz;610,32;153,71
2020;14. Moratalaz;141. Pavones;100,97;88,86
2020;14. Moratalaz;142. Horcajo;74,59;85,41
2020;14. Moratalaz;143. Marroquina;179,01;148,92
2020;14. Moratalaz;144. Media Legua;99,90;176,78
2020;14. Moratalaz;145. Fontarrón;96,46;179,25
2020;14. Moratalaz;146. Vinateros;59,40;283,83
2020;15. Ciudad Lineal;15. Ciudad Lineal;;
2020;15. Ciudad Lineal;15. Ciudad Lineal;1.142,57;189,76
2020;15. Ciudad Lineal;151. Ventas;319,80;151,38
2020;15. Ciudad Lineal;152. Pueblo Nuevo;231,92;270,48
2020;15. Ciudad Lineal;153. Quintana;72,31;340,48
2020;15. Ciudad Lineal;154. Concepción;88,59;233,96
2020;15. Ciudad Lineal;155. San Pascual;105,27;169,30
2020;15. Ciudad Lineal;156. San Juan Bautista;101,08;123,50
2020;15. Ciudad Lineal;157. Colina;55,97;113,76
2020;15. Ciudad Lineal;158. Atalaya;24,89;63,48
2020;15. Ciudad Lineal;159. Costillares;142,72;154,66
2020;16. Hortaleza;16. Hortaleza;;
2020;16. Hortaleza;16. Hortaleza;2.741,98;70,47
2020;16. Hortaleza;161. Palomas;112,98;60,99
2020;16. Hortaleza;162. Piovera;313,96;47,25
2020;16. Hortaleza;163. Canillas;252,25;159,69
2020;16. Hortaleza;164. Pinar del Rey;266,48;196,99
2020;16. Hortaleza;165. Apóstol Santiago;120,51;128,40
2020;16. Hortaleza;166. Valdefuentes;1.675,80;37,75
2020;17. Villaverde;17. Villaverde;;
2020;17. Villaverde;17. Villaverde;2.018,76;76,68
2020;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;925,36;50,40
2020;17. Villaverde;172. San Cristóbal;108,25;156,92
2020;17. Villaverde;173. Butarque;637,55;32,50
2020;17. Villaverde;174. Los Rosales;154,07;245,27
2020;17. Villaverde;175. Ángeles;193,53;168,83
2020;18. Villa de Vallecas;18. Villa de Vallecas;;
2020;18. Villa de Vallecas;18. Villa de Vallecas;5.146,72;22,29
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;4.304,59;9,35
2020;18. Villa de Vallecas;182. Santa Eugenia;208,02;116,76
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;634,11;79,17
2020;19. Vicálvaro;19. Vicálvaro;;
2020;19. Vicálvaro;19. Vicálvaro;3.526,67;21,40
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2.149,42;16,54
2020;19. Vicálvaro;192. Valdebernardo;255,51;68,67
2020;19. Vicálvaro;193. Valderribas;64,32;279,26
2020;19. Vicálvaro;194. El Cañaveral;1.057,43;4,19
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;2.229,24;71,89
2020;20. San Blas-Canillejas;201. Simancas;227,63;124,99
2020;20. San Blas-Canillejas;202. Hellín;55,06;169,99
2020;20. San Blas-Canillejas;203. Amposta;37,03;239,97
2020;20. San Blas-Canillejas;204. Arcos;130,52;188,80
2020;20. San Blas-Canillejas;205. Rosas;929,65;33,92
2020;20. San Blas-Canillejas;206. Rejas;501,57;34,09
2020;20. San Blas-Canillejas;207. Canillejas;159,77;181,04
2020;20. San Blas-Canillejas;208. El Salvador;188,01;60,44
2020;21. Barajas;21. Barajas;;
2020;21. Barajas;21. Barajas;4.192,28;11,95
2020;21. Barajas;211. Alameda de Osuna;197,03;99,76
2020;21. Barajas;212. Aeropuerto;2.962,61;0,65
2020;21. Barajas;213. Casco Histórico de Barajas;54,94;136,59
2020;21. Barajas;214. Timón;509,45;26,17
2020;21. Barajas;215. Corralejos;468,25;16,37