AÑO;DISTRITO;BARRIO;Tamaño medio del hogar;Total Hogares
2017;01. Centro;01. Centro;;
2017;01. Centro;01. Centro;66.411;1,99
2017;01. Centro;011. Palacio;11.196;2,01
2017;01. Centro;012. Embajadores;21.888;2,04
2017;01. Centro;013. Cortes;5.425;1,94
2017;01. Centro;014. Justicia;8.371;1,98
2017;01. Centro;015. Universidad;15.803;1,96
2017;01. Centro;016. Sol;3.728;1,93
2017;02. Arganzuela;02. Arganzuela;;
2017;02. Arganzuela;02. Arganzuela;64.576;2,37
2017;02. Arganzuela;021. Imperial;9.615;2,36
2017;02. Arganzuela;022. Acacias;15.376;2,39
2017;02. Arganzuela;023. Chopera;8.497;2,33
2017;02. Arganzuela;024. Legazpi;7.488;2,57
2017;02. Arganzuela;025. Delicias;11.471;2,39
2017;02. Arganzuela;026. Palos de Moguer;11.708;2,20
2017;02. Arganzuela;027. Atocha;421;2,77
2017;03. Retiro;03. Retiro;;
2017;03. Retiro;03. Retiro;48.504;2,45
2017;03. Retiro;031. Pacífico;14.628;2,30
2017;03. Retiro;032. Adelfas;7.577;2,42
2017;03. Retiro;033. Estrella;8.622;2,70
2017;03. Retiro;034. Ibiza;9.238;2,32
2017;03. Retiro;035. Los Jerónimos;2.810;2,52
2017;03. Retiro;036. Niño Jesús;5.629;2,71
2017;04. Salamanca;04. Salamanca;;
2017;04. Salamanca;04. Salamanca;62.613;2,32
2017;04. Salamanca;041. Recoletos;6.674;2,36
2017;04. Salamanca;042. Goya;13.171;2,25
2017;04. Salamanca;043. Fuente del Berro;9.169;2,26
2017;04. Salamanca;044. Guindalera;17.513;2,36
2017;04. Salamanca;045. Lista;9.222;2,27
2017;04. Salamanca;046. Castellana;6.864;2,47
2017;05. Chamartín;05. Chamartín;;
2017;05. Chamartín;05. Chamartín;57.829;2,51
2017;05. Chamartín;051. El Viso;6.060;2,83
2017;05. Chamartín;052. Prosperidad;15.842;2,31
2017;05. Chamartín;053. Ciudad Jardín;7.899;2,34
2017;05. Chamartín;054. Hispanoamérica;12.281;2,55
2017;05. Chamartín;055. Nueva España;9.164;2,67
2017;05. Chamartín;056. Castilla;6.583;2,56
2017;06. Tetuán;06. Tetuán;;
2017;06. Tetuán;06. Tetuán;65.822;2,37
2017;06. Tetuán;061. Bellas Vistas;11.767;2,44
2017;06. Tetuán;062. Cuatro Caminos;14.866;2,30
2017;06. Tetuán;063. Castillejos;9.266;2,20
2017;06. Tetuán;064. Almenara;9.286;2,41
2017;06. Tetuán;065. Valdeacederas;10.494;2,44
2017;06. Tetuán;066. Berruguete;10.143;2,43
2017;07. Chamberí;07. Chamberí;;
2017;07. Chamberí;07. Chamberí;61.491;2,25
2017;07. Chamberí;071. Gaztambide;10.359;2,19
2017;07. Chamberí;072. Arapiles;11.137;2,19
2017;07. Chamberí;073. Trafalgar;11.622;2,11
2017;07. Chamberí;074. Almagro;8.033;2,46
2017;07. Chamberí;075. Ríos Rosas;12.014;2,25
2017;07. Chamberí;076. Vallehermoso;8.326;2,41
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;89.552;2,71
2017;08. Fuencarral-El Pardo;081. El Pardo;1.317;2,62
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;1.107;2,92
2017;08. Fuencarral-El Pardo;083. Peñagrande;16.860;2,63
2017;08. Fuencarral-El Pardo;084. Pilar;19.413;2,37
2017;08. Fuencarral-El Pardo;085. La Paz;12.541;2,69
2017;08. Fuencarral-El Pardo;086. Valverde;22.497;2,75
2017;08. Fuencarral-El Pardo;087. Mirasierra;10.333;3,10
2017;08. Fuencarral-El Pardo;088. El Goloso;5.484;3,27
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;45.219;2,61
2017;09. Moncloa-Aravaca;091. Casa de Campo;5.575;2,31
2017;09. Moncloa-Aravaca;092. Argüelles;10.373;2,31
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;6.103;2,64
2017;09. Moncloa-Aravaca;094. Valdezarza;12.093;2,43
2017;09. Moncloa-Aravaca;095. Valdemarín;1.868;3,51
2017;09. Moncloa-Aravaca;096. El Plantío;844;3,22
2017;09. Moncloa-Aravaca;097. Aravaca;8.363;3,13
2017;10. Latina;10. Latina;;
2017;10. Latina;10. Latina;94.600;2,49
2017;10. Latina;101. Los Cármenes;6.518;2,64
2017;10. Latina;102. Puerta del Ángel;17.385;2,38
2017;10. Latina;103. Lucero;13.969;2,54
2017;10. Latina;104. Aluche;26.505;2,49
2017;10. Latina;105. Campamento;7.340;2,59
2017;10. Latina;106. Cuatro Vientos;2.180;2,60
2017;10. Latina;107. Águilas;20.703;2,47
2017;11. Carabanchel;11. Carabanchel;;
2017;11. Carabanchel;11. Carabanchel;94.780;2,62
2017;11. Carabanchel;111. Comillas;9.470;2,35
2017;11. Carabanchel;112. Opañel;13.013;2,50
2017;11. Carabanchel;113. San Isidro;15.000;2,57
2017;11. Carabanchel;114. Vista Alegre;17.125;2,63
2017;11. Carabanchel;115. Puerta Bonita;12.319;2,75
2017;11. Carabanchel;116. Buenavista;16.947;2,73
2017;11. Carabanchel;117. Abrantes;10.906;2,73
2017;12. Usera;12. Usera;;
2017;12. Usera;12. Usera;49.544;2,76
2017;12. Usera;121. Orcasitas;8.429;2,68
2017;12. Usera;122. Orcasur;4.692;2,89
2017;12. Usera;123. San Fermín;8.210;2,83
2017;12. Usera;124. Almendrales;7.619;2,75
2017;12. Usera;125. Moscardó;9.689;2,66
2017;12. Usera;126. Zofío;4.961;2,76
2017;12. Usera;127. Pradolongo;5.944;2,90
2017;13. Puente de Vallecas;13. Puente de Vallecas;;
2017;13. Puente de Vallecas;13. Puente de Vallecas;87.721;2,63
2017;13. Puente de Vallecas;131. Entrevías;12.621;2,69
2017;13. Puente de Vallecas;132. San Diego;15.589;2,58
2017;13. Puente de Vallecas;133. Palomeras Bajas;14.923;2,66
2017;13. Puente de Vallecas;134. Palomeras Sureste;15.908;2,65
2017;13. Puente de Vallecas;135. Portazgo;10.702;2,61
2017;13. Puente de Vallecas;136. Numancia;17.978;2,59
2017;14. Moratalaz;14. Moratalaz;;
2017;14. Moratalaz;14. Moratalaz;37.450;2,52
2017;14. Moratalaz;141. Pavones;3.268;2,78
2017;14. Moratalaz;142. Horcajo;2.162;2,93
2017;14. Moratalaz;143. Marroquina;10.822;2,53
2017;14. Moratalaz;144. Media Legua;7.143;2,49
2017;14. Moratalaz;145. Fontarrón;6.846;2,47
2017;14. Moratalaz;146. Vinateros;7.209;2,33
2017;15. Ciudad Lineal;15. Ciudad Lineal;;
2017;15. Ciudad Lineal;15. Ciudad Lineal;86.156;2,49
2017;15. Ciudad Lineal;151. Ventas;19.750;2,42
2017;15. Ciudad Lineal;152. Pueblo Nuevo;23.750;2,58
2017;15. Ciudad Lineal;153. Quintana;10.271;2,37
2017;15. Ciudad Lineal;154. Concepción;9.035;2,30
2017;15. Ciudad Lineal;155. San Pascual;7.508;2,41
2017;15. Ciudad Lineal;156. San Juan Bautista;4.821;2,58
2017;15. Ciudad Lineal;157. Colina;2.529;2,49
2017;15. Ciudad Lineal;158. Atalaya;560;2,81
2017;15. Ciudad Lineal;159. Costillares;7.932;2,78
2017;16. Hortaleza;16. Hortaleza;;
2017;16. Hortaleza;16. Hortaleza;68.774;2,67
2017;16. Hortaleza;161. Palomas;2.202;3,06
2017;16. Hortaleza;162. Piovera;4.847;3,04
2017;16. Hortaleza;163. Canillas;15.963;2,55
2017;16. Hortaleza;164. Pinar del Rey;21.134;2,47
2017;16. Hortaleza;165. Apóstol Santiago;5.763;2,65
2017;16. Hortaleza;166. Valdefuentes;18.865;2,88
2017;17. Villaverde;17. Villaverde;;
2017;17. Villaverde;17. Villaverde;52.596;2,77
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;16.209;2,73
2017;17. Villaverde;172. San Cristóbal;5.063;3,06
2017;17. Villaverde;173. Butarque;6.389;2,86
2017;17. Villaverde;174. Los Rosales;13.100;2,82
2017;17. Villaverde;175. Ángeles;11.835;2,58
2017;18. Villa de Vallecas;18. Villa de Vallecas;;
2017;18. Villa de Vallecas;18. Villa de Vallecas;41.449;2,60
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;14.727;2,70
2017;18. Villa de Vallecas;182. Santa Eugenia;8.865;2,74
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;17.857;2,44
2017;19. Vicálvaro;19. Vicálvaro;;
2017;19. Vicálvaro;19. Vicálvaro;25.866;2,74
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;13.068;2,62
2017;19. Vicálvaro;192. Valdebernardo;6.086;2,90
2017;19. Vicálvaro;193. Valderribas;6.308;2,88
2017;19. Vicálvaro;194. El Cañaveral;404;2,34
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;59.462;2,63
2017;20. San Blas-Canillejas;201. Simancas;10.716;2,54
2017;20. San Blas-Canillejas;202. Hellín;3.683;2,43
2017;20. San Blas-Canillejas;203. Amposta;3.332;2,50
2017;20. San Blas-Canillejas;204. Arcos;8.965;2,67
2017;20. San Blas-Canillejas;205. Rosas;11.012;2,87
2017;20. San Blas-Canillejas;206. Rejas;6.590;2,48
2017;20. San Blas-Canillejas;207. Canillejas;10.906;2,61
2017;20. San Blas-Canillejas;208. El Salvador;4.258;2,65
2017;21. Barajas;21. Barajas;;
2017;21. Barajas;21. Barajas;17.843;2,68
2017;21. Barajas;211. Alameda de Osuna;7.170;2,71
2017;21. Barajas;212. Aeropuerto;675;2,66
2017;21. Barajas;213. Casco Histórico de Barajas;3.064;2,39
2017;21. Barajas;214. Timón;4.393;2,67
2017;21. Barajas;215. Corralejos;2.541;2,96
2018;01. Centro;01. Centro;;
2018;01. Centro;01. Centro;67.296;2
2018;01. Centro;011. Palacio;11.305;2,03
2018;01. Centro;012. Embajadores;22.089;2,05
2018;01. Centro;013. Cortes;5.406;1,94
2018;01. Centro;014. Justicia;8.582;2
2018;01. Centro;015. Universidad;16.189;1,96
2018;01. Centro;016. Sol;3.725;1,97
2018;02. Arganzuela;02. Arganzuela;;
2018;02. Arganzuela;02. Arganzuela;65.005;2,37
2018;02. Arganzuela;021. Imperial;9.633;2,36
2018;02. Arganzuela;022. Acacias;15.442;2,38
2018;02. Arganzuela;023. Chopera;8.585;2,33
2018;02. Arganzuela;024. Legazpi;7.628;2,58
2018;02. Arganzuela;025. Delicias;11.525;2,40
2018;02. Arganzuela;026. Palos de Moguer;11.768;2,19
2018;02. Arganzuela;027. Atocha;424;2,77
2018;03. Retiro;03. Retiro;;
2018;03. Retiro;03. Retiro;48.673;2,45
2018;03. Retiro;031. Pacífico;14.665;2,29
2018;03. Retiro;032. Adelfas;7.613;2,43
2018;03. Retiro;033. Estrella;8.691;2,68
2018;03. Retiro;034. Ibiza;9.268;2,34
2018;03. Retiro;035. Los Jerónimos;2.804;2,51
2018;03. Retiro;036. Niño Jesús;5.632;2,72
2018;04. Salamanca;04. Salamanca;;
2018;04. Salamanca;04. Salamanca;62.951;2,32
2018;04. Salamanca;041. Recoletos;6.664;2,36
2018;04. Salamanca;042. Goya;13.237;2,24
2018;04. Salamanca;043. Fuente del Berro;9.302;2,27
2018;04. Salamanca;044. Guindalera;17.615;2,36
2018;04. Salamanca;045. Lista;9.233;2,27
2018;04. Salamanca;046. Castellana;6.900;2,48
2018;05. Chamartín;05. Chamartín;;
2018;05. Chamartín;05. Chamartín;58.240;2,50
2018;05. Chamartín;051. El Viso;6.082;2,84
2018;05. Chamartín;052. Prosperidad;15.908;2,30
2018;05. Chamartín;053. Ciudad Jardín;8.002;2,33
2018;05. Chamartín;054. Hispanoamérica;12.381;2,56
2018;05. Chamartín;055. Nueva España;9.227;2,67
2018;05. Chamartín;056. Castilla;6.640;2,54
2018;06. Tetuán;06. Tetuán;;
2018;06. Tetuán;06. Tetuán;66.428;2,38
2018;06. Tetuán;061. Bellas Vistas;11.860;2,46
2018;06. Tetuán;062. Cuatro Caminos;15.031;2,30
2018;06. Tetuán;063. Castillejos;9.351;2,19
2018;06. Tetuán;064. Almenara;9.324;2,43
2018;06. Tetuán;065. Valdeacederas;10.607;2,45
2018;06. Tetuán;066. Berruguete;10.255;2,44
2018;07. Chamberí;07. Chamberí;;
2018;07. Chamberí;07. Chamberí;62.013;2,25
2018;07. Chamberí;071. Gaztambide;10.498;2,18
2018;07. Chamberí;072. Arapiles;11.195;2,18
2018;07. Chamberí;073. Trafalgar;11.718;2,11
2018;07. Chamberí;074. Almagro;8.080;2,45
2018;07. Chamberí;075. Ríos Rosas;12.139;2,26
2018;07. Chamberí;076. Vallehermoso;8.383;2,41
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;90.495;2,72
2018;08. Fuencarral-El Pardo;081. El Pardo;1.315;2,63
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;1.114;2,93
2018;08. Fuencarral-El Pardo;083. Peñagrande;16.991;2,62
2018;08. Fuencarral-El Pardo;084. Pilar;19.542;2,38
2018;08. Fuencarral-El Pardo;085. La Paz;12.550;2,69
2018;08. Fuencarral-El Pardo;086. Valverde;22.777;2,77
2018;08. Fuencarral-El Pardo;087. Mirasierra;10.568;3,11
2018;08. Fuencarral-El Pardo;088. El Goloso;5.638;3,28
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;45.650;2,62
2018;09. Moncloa-Aravaca;091. Casa de Campo;5.606;2,32
2018;09. Moncloa-Aravaca;092. Argüelles;10.401;2,32
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;6.140;2,65
2018;09. Moncloa-Aravaca;094. Valdezarza;12.207;2,43
2018;09. Moncloa-Aravaca;095. Valdemarín;1.913;3,52
2018;09. Moncloa-Aravaca;096. El Plantío;856;3,28
2018;09. Moncloa-Aravaca;097. Aravaca;8.527;3,15
2018;10. Latina;10. Latina;;
2018;10. Latina;10. Latina;95.217;2,50
2018;10. Latina;101. Los Cármenes;6.586;2,64
2018;10. Latina;102. Puerta del Ángel;17.487;2,39
2018;10. Latina;103. Lucero;14.133;2,55
2018;10. Latina;104. Aluche;26.603;2,49
2018;10. Latina;105. Campamento;7.401;2,61
2018;10. Latina;106. Cuatro Vientos;2.193;2,62
2018;10. Latina;107. Águilas;20.814;2,48
2018;11. Carabanchel;11. Carabanchel;;
2018;11. Carabanchel;11. Carabanchel;95.680;2,64
2018;11. Carabanchel;111. Comillas;9.528;2,35
2018;11. Carabanchel;112. Opañel;13.100;2,52
2018;11. Carabanchel;113. San Isidro;15.099;2,58
2018;11. Carabanchel;114. Vista Alegre;17.277;2,66
2018;11. Carabanchel;115. Puerta Bonita;12.497;2,79
2018;11. Carabanchel;116. Buenavista;17.143;2,74
2018;11. Carabanchel;117. Abrantes;11.036;2,79
2018;12. Usera;12. Usera;;
2018;12. Usera;12. Usera;49.780;2,80
2018;12. Usera;121. Orcasitas;8.436;2,71
2018;12. Usera;122. Orcasur;4.724;2,92
2018;12. Usera;123. San Fermín;8.263;2,86
2018;12. Usera;124. Almendrales;7.646;2,80
2018;12. Usera;125. Moscardó;9.763;2,70
2018;12. Usera;126. Zofío;4.990;2,80
2018;12. Usera;127. Pradolongo;5.958;2,93
2018;13. Puente de Vallecas;13. Puente de Vallecas;;
2018;13. Puente de Vallecas;13. Puente de Vallecas;88.465;2,65
2018;13. Puente de Vallecas;131. Entrevías;12.686;2,74
2018;13. Puente de Vallecas;132. San Diego;15.846;2,63
2018;13. Puente de Vallecas;133. Palomeras Bajas;15.013;2,68
2018;13. Puente de Vallecas;134. Palomeras Sureste;16.007;2,66
2018;13. Puente de Vallecas;135. Portazgo;10.797;2,63
2018;13. Puente de Vallecas;136. Numancia;18.116;2,61
2018;14. Moratalaz;14. Moratalaz;;
2018;14. Moratalaz;14. Moratalaz;37.547;2,52
2018;14. Moratalaz;141. Pavones;3.283;2,78
2018;14. Moratalaz;142. Horcajo;2.165;2,93
2018;14. Moratalaz;143. Marroquina;10.835;2,52
2018;14. Moratalaz;144. Media Legua;7.177;2,49
2018;14. Moratalaz;145. Fontarrón;6.869;2,50
2018;14. Moratalaz;146. Vinateros;7.218;2,34
2018;15. Ciudad Lineal;15. Ciudad Lineal;;
2018;15. Ciudad Lineal;15. Ciudad Lineal;86.658;2,50
2018;15. Ciudad Lineal;151. Ventas;19.885;2,42
2018;15. Ciudad Lineal;152. Pueblo Nuevo;23.919;2,60
2018;15. Ciudad Lineal;153. Quintana;10.338;2,38
2018;15. Ciudad Lineal;154. Concepción;9.059;2,30
2018;15. Ciudad Lineal;155. San Pascual;7.529;2,41
2018;15. Ciudad Lineal;156. San Juan Bautista;4.867;2,57
2018;15. Ciudad Lineal;157. Colina;2.564;2,49
2018;15. Ciudad Lineal;158. Atalaya;565;2,78
2018;15. Ciudad Lineal;159. Costillares;7.932;2,77
2018;16. Hortaleza;16. Hortaleza;;
2018;16. Hortaleza;16. Hortaleza;70.099;2,69
2018;16. Hortaleza;161. Palomas;2.193;3,10
2018;16. Hortaleza;162. Piovera;4.879;3,06
2018;16. Hortaleza;163. Canillas;16.012;2,53
2018;16. Hortaleza;164. Pinar del Rey;21.273;2,48
2018;16. Hortaleza;165. Apóstol Santiago;5.797;2,66
2018;16. Hortaleza;166. Valdefuentes;19.945;2,90
2018;17. Villaverde;17. Villaverde;;
2018;17. Villaverde;17. Villaverde;53.333;2,79
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;16.378;2,76
2018;17. Villaverde;172. San Cristóbal;5.116;3,14
2018;17. Villaverde;173. Butarque;6.609;2,86
2018;17. Villaverde;174. Los Rosales;13.206;2,85
2018;17. Villaverde;175. Ángeles;12.024;2,59
2018;18. Villa de Vallecas;18. Villa de Vallecas;;
2018;18. Villa de Vallecas;18. Villa de Vallecas;42.237;2,61
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;14.839;2,71
2018;18. Villa de Vallecas;182. Santa Eugenia;8.937;2,72
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;18.461;2,48
2018;19. Vicálvaro;19. Vicálvaro;;
2018;19. Vicálvaro;19. Vicálvaro;26.232;2,75
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;13.210;2,64
2018;19. Vicálvaro;192. Valdebernardo;6.103;2,89
2018;19. Vicálvaro;193. Valderribas;6.304;2,88
2018;19. Vicálvaro;194. El Cañaveral;615;2,49
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;59.896;2,64
2018;20. San Blas-Canillejas;201. Simancas;10.877;2,57
2018;20. San Blas-Canillejas;202. Hellín;3.694;2,48
2018;20. San Blas-Canillejas;203. Amposta;3.361;2,55
2018;20. San Blas-Canillejas;204. Arcos;8.976;2,70
2018;20. San Blas-Canillejas;205. Rosas;11.061;2,86
2018;20. San Blas-Canillejas;206. Rejas;6.689;2,50
2018;20. San Blas-Canillejas;207. Canillejas;10.944;2,61
2018;20. San Blas-Canillejas;208. El Salvador;4.294;2,64
2018;21. Barajas;21. Barajas;;
2018;21. Barajas;21. Barajas;18.269;2,68
2018;21. Barajas;211. Alameda de Osuna;7.249;2,69
2018;21. Barajas;212. Aeropuerto;687;2,69
2018;21. Barajas;213. Casco Histórico de Barajas;3.119;2,43
2018;21. Barajas;214. Timón;4.634;2,67
