AÑO;DISTRITO;BARRIO;Tamaño medio del hogar;Total Hogares
2018;21. Barajas;215. Corralejos;2.580;2,96
2019;01. Centro;01. Centro;;
2019;01. Centro;01. Centro;69.187;2,03
2019;01. Centro;011. Palacio;11.583;2,04
2019;01. Centro;012. Embajadores;22.564;2,09
2019;01. Centro;013. Cortes;5.449;1,98
2019;01. Centro;014. Justicia;8.856;2,03
2019;01. Centro;015. Universidad;16.913;1,98
2019;01. Centro;016. Sol;3.822;1,99
2019;02. Arganzuela;02. Arganzuela;;
2019;02. Arganzuela;02. Arganzuela;65.670;2,37
2019;02. Arganzuela;021. Imperial;9.689;2,36
2019;02. Arganzuela;022. Acacias;15.565;2,37
2019;02. Arganzuela;023. Chopera;8.653;2,34
2019;02. Arganzuela;024. Legazpi;7.686;2,58
2019;02. Arganzuela;025. Delicias;11.720;2,41
2019;02. Arganzuela;026. Palos de Moguer;11.923;2,20
2019;02. Arganzuela;027. Atocha;434;2,79
2019;03. Retiro;03. Retiro;;
2019;03. Retiro;03. Retiro;49.152;2,45
2019;03. Retiro;031. Pacífico;14.782;2,28
2019;03. Retiro;032. Adelfas;7.772;2,42
2019;03. Retiro;033. Estrella;8.735;2,67
2019;03. Retiro;034. Ibiza;9.376;2,35
2019;03. Retiro;035. Los Jerónimos;2.785;2,53
2019;03. Retiro;036. Niño Jesús;5.702;2,71
2019;04. Salamanca;04. Salamanca;;
2019;04. Salamanca;04. Salamanca;63.477;2,33
2019;04. Salamanca;041. Recoletos;6.693;2,37
2019;04. Salamanca;042. Goya;13.313;2,25
2019;04. Salamanca;043. Fuente del Berro;9.345;2,27
2019;04. Salamanca;044. Guindalera;17.851;2,37
2019;04. Salamanca;045. Lista;9.315;2,28
2019;04. Salamanca;046. Castellana;6.960;2,49
2019;05. Chamartín;05. Chamartín;;
2019;05. Chamartín;05. Chamartín;58.797;2,51
2019;05. Chamartín;051. El Viso;6.143;2,84
2019;05. Chamartín;052. Prosperidad;16.066;2,30
2019;05. Chamartín;053. Ciudad Jardín;8.097;2,33
2019;05. Chamartín;054. Hispanoamérica;12.461;2,57
2019;05. Chamartín;055. Nueva España;9.315;2,69
2019;05. Chamartín;056. Castilla;6.715;2,57
2019;06. Tetuán;06. Tetuán;;
2019;06. Tetuán;06. Tetuán;67.306;2,40
2019;06. Tetuán;061. Bellas Vistas;12.039;2,48
2019;06. Tetuán;062. Cuatro Caminos;15.227;2,31
2019;06. Tetuán;063. Castillejos;9.440;2,21
2019;06. Tetuán;064. Almenara;9.400;2,45
2019;06. Tetuán;065. Valdeacederas;10.763;2,47
2019;06. Tetuán;066. Berruguete;10.437;2,48
2019;07. Chamberí;07. Chamberí;;
2019;07. Chamberí;07. Chamberí;62.643;2,25
2019;07. Chamberí;071. Gaztambide;10.637;2,19
2019;07. Chamberí;072. Arapiles;11.359;2,17
2019;07. Chamberí;073. Trafalgar;11.859;2,11
2019;07. Chamberí;074. Almagro;8.088;2,45
2019;07. Chamberí;075. Ríos Rosas;12.221;2,26
2019;07. Chamberí;076. Vallehermoso;8.479;2,41
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;91.650;2,73
2019;08. Fuencarral-El Pardo;081. El Pardo;1.320;2,63
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;1.129;2,93
2019;08. Fuencarral-El Pardo;083. Peñagrande;17.145;2,62
2019;08. Fuencarral-El Pardo;084. Pilar;19.668;2,38
2019;08. Fuencarral-El Pardo;085. La Paz;12.585;2,67
2019;08. Fuencarral-El Pardo;086. Valverde;23.115;2,80
2019;08. Fuencarral-El Pardo;087. Mirasierra;10.898;3,12
2019;08. Fuencarral-El Pardo;088. El Goloso;5.790;3,29
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;46.361;2,62
2019;09. Moncloa-Aravaca;091. Casa de Campo;5.624;2,35
2019;09. Moncloa-Aravaca;092. Argüelles;10.490;2,33
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;6.225;2,63
2019;09. Moncloa-Aravaca;094. Valdezarza;12.460;2,44
2019;09. Moncloa-Aravaca;095. Valdemarín;1.984;3,51
2019;09. Moncloa-Aravaca;096. El Plantío;872;3,21
2019;09. Moncloa-Aravaca;097. Aravaca;8.706;3,16
2019;10. Latina;10. Latina;;
2019;10. Latina;10. Latina;95.890;2,53
2019;10. Latina;101. Los Cármenes;6.644;2,67
2019;10. Latina;102. Puerta del Ángel;17.587;2,41
2019;10. Latina;103. Lucero;14.243;2,58
2019;10. Latina;104. Aluche;26.836;2,51
2019;10. Latina;105. Campamento;7.481;2,65
2019;10. Latina;106. Cuatro Vientos;2.223;2,65
2019;10. Latina;107. Águilas;20.876;2,50
2019;11. Carabanchel;11. Carabanchel;;
2019;11. Carabanchel;11. Carabanchel;96.923;2,68
2019;11. Carabanchel;111. Comillas;9.633;2,39
2019;11. Carabanchel;112. Opañel;13.211;2,55
2019;11. Carabanchel;113. San Isidro;15.312;2,61
2019;11. Carabanchel;114. Vista Alegre;17.496;2,72
2019;11. Carabanchel;115. Puerta Bonita;12.701;2,83
2019;11. Carabanchel;116. Buenavista;17.395;2,76
2019;11. Carabanchel;117. Abrantes;11.175;2,86
2019;12. Usera;12. Usera;;
2019;12. Usera;12. Usera;50.189;2,85
2019;12. Usera;121. Orcasitas;8.437;2,75
2019;12. Usera;122. Orcasur;4.768;2,97
2019;12. Usera;123. San Fermín;8.316;2,89
2019;12. Usera;124. Almendrales;7.710;2,88
2019;12. Usera;125. Moscardó;9.881;2,75
2019;12. Usera;126. Zofío;5.049;2,85
2019;12. Usera;127. Pradolongo;6.028;2,96
2019;13. Puente de Vallecas;13. Puente de Vallecas;;
2019;13. Puente de Vallecas;13. Puente de Vallecas;89.401;2,69
2019;13. Puente de Vallecas;131. Entrevías;12.801;2,77
2019;13. Puente de Vallecas;132. San Diego;16.135;2,72
2019;13. Puente de Vallecas;133. Palomeras Bajas;15.164;2,70
2019;13. Puente de Vallecas;134. Palomeras Sureste;16.112;2,68
2019;13. Puente de Vallecas;135. Portazgo;10.881;2,66
2019;13. Puente de Vallecas;136. Numancia;18.308;2,64
2019;14. Moratalaz;14. Moratalaz;;
2019;14. Moratalaz;14. Moratalaz;37.825;2,53
2019;14. Moratalaz;141. Pavones;3.294;2,84
2019;14. Moratalaz;142. Horcajo;2.195;2,93
2019;14. Moratalaz;143. Marroquina;10.901;2,50
2019;14. Moratalaz;144. Media Legua;7.210;2,49
2019;14. Moratalaz;145. Fontarrón;6.938;2,53
2019;14. Moratalaz;146. Vinateros;7.287;2,35
2019;15. Ciudad Lineal;15. Ciudad Lineal;;
2019;15. Ciudad Lineal;15. Ciudad Lineal;87.629;2,51
2019;15. Ciudad Lineal;151. Ventas;20.069;2,44
2019;15. Ciudad Lineal;152. Pueblo Nuevo;24.185;2,63
2019;15. Ciudad Lineal;153. Quintana;10.460;2,40
2019;15. Ciudad Lineal;154. Concepción;9.207;2,30
2019;15. Ciudad Lineal;155. San Pascual;7.545;2,40
2019;15. Ciudad Lineal;156. San Juan Bautista;4.939;2,58
2019;15. Ciudad Lineal;157. Colina;2.640;2,47
2019;15. Ciudad Lineal;158. Atalaya;573;2,71
2019;15. Ciudad Lineal;159. Costillares;8.011;2,78
2019;16. Hortaleza;16. Hortaleza;;
2019;16. Hortaleza;16. Hortaleza;71.751;2,69
2019;16. Hortaleza;161. Palomas;2.219;3,08
2019;16. Hortaleza;162. Piovera;4.914;3,04
2019;16. Hortaleza;163. Canillas;16.155;2,53
2019;16. Hortaleza;164. Pinar del Rey;21.446;2,48
2019;16. Hortaleza;165. Apóstol Santiago;5.835;2,67
2019;16. Hortaleza;166. Valdefuentes;21.182;2,92
2019;17. Villaverde;17. Villaverde;;
2019;17. Villaverde;17. Villaverde;54.412;2,84
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;16.586;2,82
2019;17. Villaverde;172. San Cristóbal;5.198;3,25
2019;17. Villaverde;173. Butarque;6.967;2,87
2019;17. Villaverde;174. Los Rosales;13.277;2,87
2019;17. Villaverde;175. Ángeles;12.384;2,63
2019;18. Villa de Vallecas;18. Villa de Vallecas;;
2019;18. Villa de Vallecas;18. Villa de Vallecas;43.427;2,64
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;14.957;2,74
2019;18. Villa de Vallecas;182. Santa Eugenia;9.063;2,72
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;19.407;2,52
2019;19. Vicálvaro;19. Vicálvaro;;
2019;19. Vicálvaro;19. Vicálvaro;26.821;2,76
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;13.375;2,67
2019;19. Vicálvaro;192. Valdebernardo;6.136;2,91
2019;19. Vicálvaro;193. Valderribas;6.335;2,87
2019;19. Vicálvaro;194. El Cañaveral;975;2,46
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;60.565;2,66
2019;20. San Blas-Canillejas;201. Simancas;11.063;2,59
2019;20. San Blas-Canillejas;202. Hellín;3.721;2,51
2019;20. San Blas-Canillejas;203. Amposta;3.408;2,60
2019;20. San Blas-Canillejas;204. Arcos;9.033;2,73
2019;20. San Blas-Canillejas;205. Rosas;11.138;2,85
2019;20. San Blas-Canillejas;206. Rejas;6.844;2,53
2019;20. San Blas-Canillejas;207. Canillejas;11.011;2,64
2019;20. San Blas-Canillejas;208. El Salvador;4.347;2,64
2019;21. Barajas;21. Barajas;;
2019;21. Barajas;21. Barajas;18.606;2,69
2019;21. Barajas;211. Alameda de Osuna;7.366;2,69
2019;21. Barajas;212. Aeropuerto;705;2,70
2019;21. Barajas;213. Casco Histórico de Barajas;3.175;2,42
2019;21. Barajas;214. Timón;4.755;2,70
2019;21. Barajas;215. Corralejos;2.605;2,98
2020;01. Centro;01. Centro;;
2020;01. Centro;01. Centro;69.504;2,03
2020;01. Centro;011. Palacio;11.613;2,03
2020;01. Centro;012. Embajadores;22.614;2,09
2020;01. Centro;013. Cortes;5.488;1,97
2020;01. Centro;014. Justicia;8.927;2,04
2020;01. Centro;015. Universidad;16.967;1,97
2020;01. Centro;016. Sol;3.895;2,05
2020;02. Arganzuela;02. Arganzuela;;
2020;02. Arganzuela;02. Arganzuela;65.479;2,36
2020;02. Arganzuela;021. Imperial;9.628;2,35
2020;02. Arganzuela;022. Acacias;15.474;2,35
2020;02. Arganzuela;023. Chopera;8.626;2,33
2020;02. Arganzuela;024. Legazpi;7.603;2,57
2020;02. Arganzuela;025. Delicias;11.826;2,40
2020;02. Arganzuela;026. Palos de Moguer;11.802;2,18
2020;02. Arganzuela;027. Atocha;520;2,78
2020;03. Retiro;03. Retiro;;
2020;03. Retiro;03. Retiro;48.880;2,43
2020;03. Retiro;031. Pacífico;14.625;2,26
2020;03. Retiro;032. Adelfas;7.774;2,40
2020;03. Retiro;033. Estrella;8.722;2,64
2020;03. Retiro;034. Ibiza;9.304;2,32
2020;03. Retiro;035. Los Jerónimos;2.776;2,50
2020;03. Retiro;036. Niño Jesús;5.679;2,69
2020;04. Salamanca;04. Salamanca;;
2020;04. Salamanca;04. Salamanca;63.001;2,32
2020;04. Salamanca;041. Recoletos;6.619;2,36
2020;04. Salamanca;042. Goya;13.145;2,24
2020;04. Salamanca;043. Fuente del Berro;9.266;2,26
2020;04. Salamanca;044. Guindalera;17.813;2,35
2020;04. Salamanca;045. Lista;9.211;2,27
2020;04. Salamanca;046. Castellana;6.947;2,47
2020;05. Chamartín;05. Chamartín;;
2020;05. Chamartín;05. Chamartín;58.413;2,49
2020;05. Chamartín;051. El Viso;6.146;2,82
2020;05. Chamartín;052. Prosperidad;15.906;2,28
2020;05. Chamartín;053. Ciudad Jardín;8.056;2,31
2020;05. Chamartín;054. Hispanoamérica;12.406;2,55
2020;05. Chamartín;055. Nueva España;9.223;2,68
2020;05. Chamartín;056. Castilla;6.676;2,56
2020;06. Tetuán;06. Tetuán;;
2020;06. Tetuán;06. Tetuán;67.073;2,38
2020;06. Tetuán;061. Bellas Vistas;11.967;2,46
2020;06. Tetuán;062. Cuatro Caminos;15.146;2,30
2020;06. Tetuán;063. Castillejos;9.367;2,19
2020;06. Tetuán;064. Almenara;9.375;2,43
2020;06. Tetuán;065. Valdeacederas;10.795;2,47
2020;06. Tetuán;066. Berruguete;10.423;2,46
2020;07. Chamberí;07. Chamberí;;
2020;07. Chamberí;07. Chamberí;61.936;2,24
2020;07. Chamberí;071. Gaztambide;10.528;2,18
2020;07. Chamberí;072. Arapiles;11.203;2,17
2020;07. Chamberí;073. Trafalgar;11.704;2,10
2020;07. Chamberí;074. Almagro;8.011;2,44
2020;07. Chamberí;075. Ríos Rosas;12.082;2,25
2020;07. Chamberí;076. Vallehermoso;8.408;2,39
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;91.408;2,71
2020;08. Fuencarral-El Pardo;081. El Pardo;1.315;2,62
2020;08. Fuencarral-El Pardo;082. Fuentelarreina;1.135;2,96
2020;08. Fuencarral-El Pardo;083. Peñagrande;17.118;2,59
2020;08. Fuencarral-El Pardo;084. Pilar;19.496;2,36
2020;08. Fuencarral-El Pardo;085. La Paz;12.522;2,64
2020;08. Fuencarral-El Pardo;086. Valverde;22.939;2,79
2020;08. Fuencarral-El Pardo;087. Mirasierra;11.038;3,13
2020;08. Fuencarral-El Pardo;088. El Goloso;5.845;3,24
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;46.361;2,61
2020;09. Moncloa-Aravaca;091. Casa de Campo;5.588;2,34
2020;09. Moncloa-Aravaca;092. Argüelles;10.411;2,32
2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;6.193;2,61
2020;09. Moncloa-Aravaca;094. Valdezarza;12.508;2,41
2020;09. Moncloa-Aravaca;095. Valdemarín;1.986;3,45
2020;09. Moncloa-Aravaca;096. El Plantío;905;3,22
2020;09. Moncloa-Aravaca;097. Aravaca;8.770;3,14
2020;10. Latina;10. Latina;;
2020;10. Latina;10. Latina;95.756;2,51
2020;10. Latina;101. Los Cármenes;6.629;2,65
2020;10. Latina;102. Puerta del Ángel;17.566;2,39
2020;10. Latina;103. Lucero;14.237;2,57
2020;10. Latina;104. Aluche;26.839;2,50
2020;10. Latina;105. Campamento;7.428;2,64
2020;10. Latina;106. Cuatro Vientos;2.213;2,65
2020;10. Latina;107. Águilas;20.844;2,48
2020;11. Carabanchel;11. Carabanchel;;
2020;11. Carabanchel;11. Carabanchel;96.871;2,67
2020;11. Carabanchel;111. Comillas;9.617;2,36
2020;11. Carabanchel;112. Opañel;13.209;2,55
2020;11. Carabanchel;113. San Isidro;15.311;2,59
2020;11. Carabanchel;114. Vista Alegre;17.469;2,70
2020;11. Carabanchel;115. Puerta Bonita;12.708;2,83
2020;11. Carabanchel;116. Buenavista;17.437;2,75
2020;11. Carabanchel;117. Abrantes;11.120;2,83
2020;12. Usera;12. Usera;;
2020;12. Usera;12. Usera;50.285;2,83
2020;12. Usera;121. Orcasitas;8.437;2,74
2020;12. Usera;122. Orcasur;4.772;2,96
2020;12. Usera;123. San Fermín;8.296;2,87
2020;12. Usera;124. Almendrales;7.907;2,85
2020;12. Usera;125. Moscardó;9.808;2,71
2020;12. Usera;126. Zofío;5.049;2,84
2020;12. Usera;127. Pradolongo;6.016;2,98
2020;13. Puente de Vallecas;13. Puente de Vallecas;;
2020;13. Puente de Vallecas;13. Puente de Vallecas;89.291;2,68
2020;13. Puente de Vallecas;131. Entrevías;12.749;2,76
2020;13. Puente de Vallecas;132. San Diego;16.125;2,70
2020;13. Puente de Vallecas;133. Palomeras Bajas;15.130;2,67
2020;13. Puente de Vallecas;134. Palomeras Sureste;16.074;2,67
2020;13. Puente de Vallecas;135. Portazgo;10.842;2,65
2020;13. Puente de Vallecas;136. Numancia;18.371;2,62
2020;14. Moratalaz;14. Moratalaz;;
2020;14. Moratalaz;14. Moratalaz;37.573;2,50
2020;14. Moratalaz;141. Pavones;3.300;2,72
2020;14. Moratalaz;142. Horcajo;2.181;2,92
2020;14. Moratalaz;143. Marroquina;10.815;2,46
2020;14. Moratalaz;144. Media Legua;7.163;2,47
2020;14. Moratalaz;145. Fontarrón;6.899;2,51
2020;14. Moratalaz;146. Vinateros;7.215;2,34
2020;15. Ciudad Lineal;15. Ciudad Lineal;;
2020;15. Ciudad Lineal;15. Ciudad Lineal;87.225;2,49
2020;15. Ciudad Lineal;151. Ventas;19.993;2,42
2020;15. Ciudad Lineal;152. Pueblo Nuevo;24.178;2,59
2020;15. Ciudad Lineal;153. Quintana;10.367;2,37
2020;15. Ciudad Lineal;154. Concepción;9.088;2,28
2020;15. Ciudad Lineal;155. San Pascual;7.509;2,37
2020;15. Ciudad Lineal;156. San Juan Bautista;4.903;2,55
2020;15. Ciudad Lineal;157. Colina;2.602;2,45
2020;15. Ciudad Lineal;158. Atalaya;579;2,73
2020;15. Ciudad Lineal;159. Costillares;8.006;2,76
2020;16. Hortaleza;16. Hortaleza;;
2020;16. Hortaleza;16. Hortaleza;72.104;2,68
2020;16. Hortaleza;161. Palomas;2.246;3,07
2020;16. Hortaleza;162. Piovera;4.882;3,04
2020;16. Hortaleza;163. Canillas;16.129;2,50
2020;16. Hortaleza;164. Pinar del Rey;21.422;2,45
2020;16. Hortaleza;165. Apóstol Santiago;5.827;2,66
2020;16. Hortaleza;166. Valdefuentes;21.598;2,93
2020;17. Villaverde;17. Villaverde;;
2020;17. Villaverde;17. Villaverde;54.821;2,82
2020;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;16.592;2,81
2020;17. Villaverde;172. San Cristóbal;5.177;3,28
2020;17. Villaverde;173. Butarque;7.254;2,86
2020;17. Villaverde;174. Los Rosales;13.258;2,85
2020;17. Villaverde;175. Ángeles;12.540;2,61
2020;18. Villa de Vallecas;18. Villa de Vallecas;;
2020;18. Villa de Vallecas;18. Villa de Vallecas;43.733;2,62
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;14.886;2,70
2020;18. Villa de Vallecas;182. Santa Eugenia;9.050;2,68
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;19.797;2,54
2020;19. Vicálvaro;19. Vicálvaro;;
2020;19. Vicálvaro;19. Vicálvaro;27.591;2,74
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;13.371;2,66
2020;19. Vicálvaro;192. Valdebernardo;6.109;2,87
2020;19. Vicálvaro;193. Valderribas;6.307;2,85
2020;19. Vicálvaro;194. El Cañaveral;1.804;2,46
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;60.551;2,65
2020;20. San Blas-Canillejas;201. Simancas;11.044;2,58
2020;20. San Blas-Canillejas;202. Hellín;3.703;2,53
2020;20. San Blas-Canillejas;203. Amposta;3.393;2,62
2020;20. San Blas-Canillejas;204. Arcos;9.076;2,72
2020;20. San Blas-Canillejas;205. Rosas;11.112;2,84
2020;20. San Blas-Canillejas;206. Rejas;6.825;2,51
2020;20. San Blas-Canillejas;207. Canillejas;11.039;2,62
2020;20. San Blas-Canillejas;208. El Salvador;4.359;2,61
2020;21. Barajas;21. Barajas;;
2020;21. Barajas;21. Barajas;18.756;2,67
2020;21. Barajas;211. Alameda de Osuna;7.359;2,67
2020;21. Barajas;212. Aeropuerto;704;2,72
2020;21. Barajas;213. Casco Histórico de Barajas;3.160;2,37
2020;21. Barajas;214. Timón;4.933;2,70
2020;21. Barajas;215. Corralejos;2.600;2,95