AÑO;DISTRITO;BARRIO;Paradas;Plazas
2017;01. Centro;01. Centro;;
2017;01. Centro;01. Centro;27;113
2017;01. Centro;011. Palacio;6;18
2017;01. Centro;012. Embajadores;3;17
2017;01. Centro;013. Cortes;7;26
2017;01. Centro;014. Justicia;5;21
2017;01. Centro;015. Universidad;3;16
2017;01. Centro;016. Sol;3;15
2017;02. Arganzuela;02. Arganzuela;;
2017;02. Arganzuela;02. Arganzuela;16;426
2017;02. Arganzuela;021. Imperial;4;9
2017;02. Arganzuela;022. Acacias;0;0
2017;02. Arganzuela;023. Chopera;1;3
2017;02. Arganzuela;024. Legazpi;2;5
2017;02. Arganzuela;025. Delicias;2;20
2017;02. Arganzuela;026. Palos de Moguer;3;11
2017;02. Arganzuela;027. Atocha;4;378
2017;03. Retiro;03. Retiro;;
2017;03. Retiro;03. Retiro;17;78
2017;03. Retiro;031. Pacífico;1;2
2017;03. Retiro;032. Adelfas;0;0
2017;03. Retiro;033. Estrella;4;17
2017;03. Retiro;034. Ibiza;8;39
2017;03. Retiro;035. Los Jerónimos;3;14
2017;03. Retiro;036. Niño Jesús;1;6
2017;04. Salamanca;04. Salamanca;;
2017;04. Salamanca;04. Salamanca;44;241
2017;04. Salamanca;041. Recoletos;13;74
2017;04. Salamanca;042. Goya;10;39
2017;04. Salamanca;043. Fuente del Berro;1;3
2017;04. Salamanca;044. Guindalera;8;57
2017;04. Salamanca;045. Lista;4;20
2017;04. Salamanca;046. Castellana;8;48
2017;05. Chamartín;05. Chamartín;;
2017;05. Chamartín;05. Chamartín;40;231
2017;05. Chamartín;051. El Viso;7;33
2017;05. Chamartín;052. Prosperidad;6;43
2017;05. Chamartín;053. Ciudad Jardín;3;15
2017;05. Chamartín;054. Hispanoamérica;12;43
2017;05. Chamartín;055. Nueva España;5;27
2017;05. Chamartín;056. Castilla;7;70
2017;06. Tetuán;06. Tetuán;;
2017;06. Tetuán;06. Tetuán;28;162
2017;06. Tetuán;061. Bellas Vistas;2;4
2017;06. Tetuán;062. Cuatro Caminos;19;122
2017;06. Tetuán;063. Castillejos;6;31
2017;06. Tetuán;064. Almenara;1;5
2017;06. Tetuán;065. Valdeacederas;0;0
2017;06. Tetuán;066. Berruguete;0;0
2017;07. Chamberí;07. Chamberí;;
2017;07. Chamberí;07. Chamberí;31;111
2017;07. Chamberí;071. Gaztambide;1;2
2017;07. Chamberí;072. Arapiles;5;15
2017;07. Chamberí;073. Trafalgar;4;13
2017;07. Chamberí;074. Almagro;11;46
2017;07. Chamberí;075. Ríos Rosas;6;17
2017;07. Chamberí;076. Vallehermoso;4;18
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;51;286
2017;08. Fuencarral-El Pardo;081. El Pardo;0;0
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;1;5
2017;08. Fuencarral-El Pardo;083. Peñagrande;2;7
2017;08. Fuencarral-El Pardo;084. Pilar;8;29
2017;08. Fuencarral-El Pardo;085. La Paz;8;44
2017;08. Fuencarral-El Pardo;086. Valverde;23;160
2017;08. Fuencarral-El Pardo;087. Mirasierra;7;32
2017;08. Fuencarral-El Pardo;088. El Goloso;2;9
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;29;176
2017;09. Moncloa-Aravaca;091. Casa de Campo;9;44
2017;09. Moncloa-Aravaca;092. Argüelles;4;26
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;7;70
2017;09. Moncloa-Aravaca;094. Valdezarza;4;13
2017;09. Moncloa-Aravaca;095. Valdemarín;1;3
2017;09. Moncloa-Aravaca;096. El Plantío;1;5
2017;09. Moncloa-Aravaca;097. Aravaca;3;15
2017;10. Latina;10. Latina;;
2017;10. Latina;10. Latina;14;44
2017;10. Latina;101. Los Cármenes;0;0
2017;10. Latina;102. Puerta del Ángel;2;4
2017;10. Latina;103. Lucero;3;10
2017;10. Latina;104. Aluche;5;21
2017;10. Latina;105. Campamento;0;0
2017;10. Latina;106. Cuatro Vientos;0;0
2017;10. Latina;107. Águilas;4;9
2017;11. Carabanchel;11. Carabanchel;;
2017;11. Carabanchel;11. Carabanchel;14;45
2017;11. Carabanchel;111. Comillas;1;3
2017;11. Carabanchel;112. Opañel;2;7
2017;11. Carabanchel;113. San Isidro;2;5
2017;11. Carabanchel;114. Vista Alegre;3;8
2017;11. Carabanchel;115. Puerta Bonita;1;2
2017;11. Carabanchel;116. Buenavista;4;16
2017;11. Carabanchel;117. Abrantes;1;4
2017;12. Usera;12. Usera;;
2017;12. Usera;12. Usera;7;42
2017;12. Usera;121. Orcasitas;0;0
2017;12. Usera;122. Orcasur;2;12
2017;12. Usera;123. San Fermín;4;28
2017;12. Usera;124. Almendrales;0;0
2017;12. Usera;125. Moscardó;1;2
2017;12. Usera;126. Zofío;0;0
2017;12. Usera;127. Pradolongo;0;0
2017;13. Puente de Vallecas;13. Puente de Vallecas;;
2017;13. Puente de Vallecas;13. Puente de Vallecas;10;44
2017;13. Puente de Vallecas;131. Entrevías;2;16
2017;13. Puente de Vallecas;132. San Diego;0;0
2017;13. Puente de Vallecas;133. Palomeras Bajas;2;11
2017;13. Puente de Vallecas;134. Palomeras Sureste;2;5
2017;13. Puente de Vallecas;135. Portazgo;2;7
2017;13. Puente de Vallecas;136. Numancia;2;5
2017;14. Moratalaz;14. Moratalaz;;
2017;14. Moratalaz;14. Moratalaz;8;35
2017;14. Moratalaz;141. Pavones;1;4
2017;14. Moratalaz;142. Horcajo;0;0
2017;14. Moratalaz;143. Marroquina;4;22
2017;14. Moratalaz;144. Media Legua;1;3
2017;14. Moratalaz;145. Fontarrón;2;6
2017;14. Moratalaz;146. Vinateros;0;0
2017;15. Ciudad Lineal;15. Ciudad Lineal;;
2017;15. Ciudad Lineal;15. Ciudad Lineal;24;128
2017;15. Ciudad Lineal;151. Ventas;3;21
2017;15. Ciudad Lineal;152. Pueblo Nuevo;1;5
2017;15. Ciudad Lineal;153. Quintana;4;15
2017;15. Ciudad Lineal;154. Concepción;2;6
2017;15. Ciudad Lineal;155. San Pascual;2;12
2017;15. Ciudad Lineal;156. San Juan Bautista;4;30
2017;15. Ciudad Lineal;157. Colina;0;0
2017;15. Ciudad Lineal;158. Atalaya;0;0
2017;15. Ciudad Lineal;159. Costillares;8;39
2017;16. Hortaleza;16. Hortaleza;;
2017;16. Hortaleza;16. Hortaleza;23;93
2017;16. Hortaleza;161. Palomas;2;9
2017;16. Hortaleza;162. Piovera;1;6
2017;16. Hortaleza;163. Canillas;3;10
2017;16. Hortaleza;164. Pinar del Rey;3;14
2017;16. Hortaleza;165. Apóstol Santiago;3;9
2017;16. Hortaleza;166. Valdefuentes;11;45
2017;17. Villaverde;17. Villaverde;;
2017;17. Villaverde;17. Villaverde;3;18
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;1;3
2017;17. Villaverde;172. San Cristóbal;0;0
2017;17. Villaverde;173. Butarque;0;0
2017;17. Villaverde;174. Los Rosales;1;3
2017;17. Villaverde;175. Ángeles;1;12
2017;18. Villa de Vallecas;18. Villa de Vallecas;;
2017;18. Villa de Vallecas;18. Villa de Vallecas;11;32
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;4;11
2017;18. Villa de Vallecas;182. Santa Eugenia;4;13
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;3;8
2017;19. Vicálvaro;19. Vicálvaro;;
2017;19. Vicálvaro;19. Vicálvaro;5;17
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2;6
2017;19. Vicálvaro;192. Valdebernardo;2;8
2017;19. Vicálvaro;193. Valderribas;1;3
2017;19. Vicálvaro;194. El Cañaveral;0;0
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;21;82
2017;20. San Blas-Canillejas;201. Simancas;4;15
2017;20. San Blas-Canillejas;202. Hellín;1;3
2017;20. San Blas-Canillejas;203. Amposta;2;10
2017;20. San Blas-Canillejas;204. Arcos;1;5
2017;20. San Blas-Canillejas;205. Rosas;3;8
2017;20. San Blas-Canillejas;206. Rejas;4;15
2017;20. San Blas-Canillejas;207. Canillejas;2;8
2017;20. San Blas-Canillejas;208. El Salvador;4;18
2017;21. Barajas;21. Barajas;;
2017;21. Barajas;21. Barajas;16;3.042
2017;21. Barajas;211. Alameda de Osuna;4;16
2017;21. Barajas;212. Aeropuerto;2;1.604
2017;21. Barajas;213. Casco Histórico de Barajas;3;15
2017;21. Barajas;214. Timón;1;1.360
2017;21. Barajas;215. Corralejos;6;47
2018;01. Centro;01. Centro;;
2018;01. Centro;01. Centro;27;112
2018;01. Centro;011. Palacio;6;17
2018;01. Centro;012. Embajadores;3;17
2018;01. Centro;013. Cortes;7;26
2018;01. Centro;014. Justicia;5;21
2018;01. Centro;015. Universidad;3;16
2018;01. Centro;016. Sol;3;15
2018;02. Arganzuela;02. Arganzuela;;
2018;02. Arganzuela;02. Arganzuela;16;426
2018;02. Arganzuela;021. Imperial;4;9
2018;02. Arganzuela;022. Acacias;0;0
2018;02. Arganzuela;023. Chopera;1;3
2018;02. Arganzuela;024. Legazpi;2;5
2018;02. Arganzuela;025. Delicias;2;20
2018;02. Arganzuela;026. Palos de Moguer;3;11
2018;02. Arganzuela;027. Atocha;4;378
2018;03. Retiro;03. Retiro;;
2018;03. Retiro;03. Retiro;17;77
2018;03. Retiro;031. Pacífico;1;2
2018;03. Retiro;032. Adelfas;0;0
2018;03. Retiro;033. Estrella;4;17
2018;03. Retiro;034. Ibiza;8;38
2018;03. Retiro;035. Los Jerónimos;3;14
2018;03. Retiro;036. Niño Jesús;1;6
2018;04. Salamanca;04. Salamanca;;
2018;04. Salamanca;04. Salamanca;44;242
2018;04. Salamanca;041. Recoletos;13;74
2018;04. Salamanca;042. Goya;10;39
2018;04. Salamanca;043. Fuente del Berro;1;3
2018;04. Salamanca;044. Guindalera;8;57
2018;04. Salamanca;045. Lista;4;20
2018;04. Salamanca;046. Castellana;8;49
2018;05. Chamartín;05. Chamartín;;
2018;05. Chamartín;05. Chamartín;40;231
2018;05. Chamartín;051. El Viso;7;33
2018;05. Chamartín;052. Prosperidad;6;43
2018;05. Chamartín;053. Ciudad Jardín;3;15
2018;05. Chamartín;054. Hispanoamérica;12;43
2018;05. Chamartín;055. Nueva España;5;27
2018;05. Chamartín;056. Castilla;7;70
2018;06. Tetuán;06. Tetuán;;
2018;06. Tetuán;06. Tetuán;28;161
2018;06. Tetuán;061. Bellas Vistas;2;4
2018;06. Tetuán;062. Cuatro Caminos;19;121
2018;06. Tetuán;063. Castillejos;6;31
2018;06. Tetuán;064. Almenara;1;5
2018;06. Tetuán;065. Valdeacederas;0;0
2018;06. Tetuán;066. Berruguete;0;0
2018;07. Chamberí;07. Chamberí;;
2018;07. Chamberí;07. Chamberí;32;114
2018;07. Chamberí;071. Gaztambide;1;2
2018;07. Chamberí;072. Arapiles;5;15
2018;07. Chamberí;073. Trafalgar;4;13
2018;07. Chamberí;074. Almagro;11;46
2018;07. Chamberí;075. Ríos Rosas;6;17
2018;07. Chamberí;076. Vallehermoso;5;21
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;53;288
2018;08. Fuencarral-El Pardo;081. El Pardo;0;0
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;1;5
2018;08. Fuencarral-El Pardo;083. Peñagrande;2;7
2018;08. Fuencarral-El Pardo;084. Pilar;8;29
2018;08. Fuencarral-El Pardo;085. La Paz;8;44
2018;08. Fuencarral-El Pardo;086. Valverde;25;162
2018;08. Fuencarral-El Pardo;087. Mirasierra;7;32
2018;08. Fuencarral-El Pardo;088. El Goloso;2;9
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;28;163
2018;09. Moncloa-Aravaca;091. Casa de Campo;8;31
2018;09. Moncloa-Aravaca;092. Argüelles;4;26
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;7;70
2018;09. Moncloa-Aravaca;094. Valdezarza;4;13
2018;09. Moncloa-Aravaca;095. Valdemarín;1;3
2018;09. Moncloa-Aravaca;096. El Plantío;1;5
2018;09. Moncloa-Aravaca;097. Aravaca;3;15
2018;10. Latina;10. Latina;;
2018;10. Latina;10. Latina;14;44
2018;10. Latina;101. Los Cármenes;0;0
2018;10. Latina;102. Puerta del Ángel;2;4
2018;10. Latina;103. Lucero;3;10
2018;10. Latina;104. Aluche;5;21
2018;10. Latina;105. Campamento;0;0
2018;10. Latina;106. Cuatro Vientos;0;0
2018;10. Latina;107. Águilas;4;9
2018;11. Carabanchel;11. Carabanchel;;
2018;11. Carabanchel;11. Carabanchel;14;45
2018;11. Carabanchel;111. Comillas;1;3
2018;11. Carabanchel;112. Opañel;2;7
2018;11. Carabanchel;113. San Isidro;2;5
2018;11. Carabanchel;114. Vista Alegre;3;8
2018;11. Carabanchel;115. Puerta Bonita;1;2
2018;11. Carabanchel;116. Buenavista;4;16
2018;11. Carabanchel;117. Abrantes;1;4
2018;12. Usera;12. Usera;;
2018;12. Usera;12. Usera;8;47
2018;12. Usera;121. Orcasitas;0;0
2018;12. Usera;122. Orcasur;2;12
2018;12. Usera;123. San Fermín;4;26
2018;12. Usera;124. Almendrales;0;0
2018;12. Usera;125. Moscardó;2;9
2018;12. Usera;126. Zofío;0;0
2018;12. Usera;127. Pradolongo;0;0
2018;13. Puente de Vallecas;13. Puente de Vallecas;;
2018;13. Puente de Vallecas;13. Puente de Vallecas;10;44
2018;13. Puente de Vallecas;131. Entrevías;2;16
2018;13. Puente de Vallecas;132. San Diego;0;0
2018;13. Puente de Vallecas;133. Palomeras Bajas;2;11
2018;13. Puente de Vallecas;134. Palomeras Sureste;2;5
2018;13. Puente de Vallecas;135. Portazgo;2;7
2018;13. Puente de Vallecas;136. Numancia;2;5
2018;14. Moratalaz;14. Moratalaz;;
2018;14. Moratalaz;14. Moratalaz;8;35
2018;14. Moratalaz;141. Pavones;1;4
2018;14. Moratalaz;142. Horcajo;0;0
2018;14. Moratalaz;143. Marroquina;4;22
2018;14. Moratalaz;144. Media Legua;1;3
2018;14. Moratalaz;145. Fontarrón;2;6
2018;14. Moratalaz;146. Vinateros;0;0
2018;15. Ciudad Lineal;15. Ciudad Lineal;;
2018;15. Ciudad Lineal;15. Ciudad Lineal;24;128
2018;15. Ciudad Lineal;151. Ventas;3;21
2018;15. Ciudad Lineal;152. Pueblo Nuevo;1;5
2018;15. Ciudad Lineal;153. Quintana;4;15
2018;15. Ciudad Lineal;154. Concepción;2;6
2018;15. Ciudad Lineal;155. San Pascual;2;12
2018;15. Ciudad Lineal;156. San Juan Bautista;4;30
2018;15. Ciudad Lineal;157. Colina;0;0
2018;15. Ciudad Lineal;158. Atalaya;0;0
2018;15. Ciudad Lineal;159. Costillares;8;39
2018;16. Hortaleza;16. Hortaleza;;
2018;16. Hortaleza;16. Hortaleza;23;91
2018;16. Hortaleza;161. Palomas;2;9
2018;16. Hortaleza;162. Piovera;1;6
2018;16. Hortaleza;163. Canillas;3;10
2018;16. Hortaleza;164. Pinar del Rey;3;14
2018;16. Hortaleza;165. Apóstol Santiago;3;9
2018;16. Hortaleza;166. Valdefuentes;11;43
2018;17. Villaverde;17. Villaverde;;
2018;17. Villaverde;17. Villaverde;3;18
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;1;3
2018;17. Villaverde;172. San Cristóbal;0;0
2018;17. Villaverde;173. Butarque;0;0
2018;17. Villaverde;174. Los Rosales;1;3
2018;17. Villaverde;175. Ángeles;1;12
2018;18. Villa de Vallecas;18. Villa de Vallecas;;
2018;18. Villa de Vallecas;18. Villa de Vallecas;11;32
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;4;11
2018;18. Villa de Vallecas;182. Santa Eugenia;4;13
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;3;8
2018;19. Vicálvaro;19. Vicálvaro;;
2018;19. Vicálvaro;19. Vicálvaro;5;17
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2;6
2018;19. Vicálvaro;192. Valdebernardo;2;8
2018;19. Vicálvaro;193. Valderribas;1;3
2018;19. Vicálvaro;194. El Cañaveral;0;0
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;22;87
2018;20. San Blas-Canillejas;201. Simancas;4;15
2018;20. San Blas-Canillejas;202. Hellín;1;3
2018;20. San Blas-Canillejas;203. Amposta;2;10
2018;20. San Blas-Canillejas;204. Arcos;1;5
2018;20. San Blas-Canillejas;205. Rosas;4;13
2018;20. San Blas-Canillejas;206. Rejas;4;15
2018;20. San Blas-Canillejas;207. Canillejas;2;8
2018;20. San Blas-Canillejas;208. El Salvador;4;18
2018;21. Barajas;21. Barajas;;
2018;21. Barajas;21. Barajas;16;3.042
2018;21. Barajas;211. Alameda de Osuna;4;16
2018;21. Barajas;212. Aeropuerto;2;1.604
2018;21. Barajas;213. Casco Histórico de Barajas;3;15
2018;21. Barajas;214. Timón;1;1.360
