AÑO;DISTRITO;BARRIO;Paradas;Plazas
2018;21. Barajas;215. Corralejos;6;47
2019;01. Centro;01. Centro;;
2019;01. Centro;01. Centro;27;112
2019;01. Centro;011. Palacio;6;17
2019;01. Centro;012. Embajadores;3;17
2019;01. Centro;013. Cortes;7;26
2019;01. Centro;014. Justicia;5;21
2019;01. Centro;015. Universidad;3;16
2019;01. Centro;016. Sol;3;15
2019;02. Arganzuela;02. Arganzuela;;
2019;02. Arganzuela;02. Arganzuela;16;426
2019;02. Arganzuela;021. Imperial;4;9
2019;02. Arganzuela;022. Acacias;0;0
2019;02. Arganzuela;023. Chopera;1;3
2019;02. Arganzuela;024. Legazpi;2;5
2019;02. Arganzuela;025. Delicias;2;20
2019;02. Arganzuela;026. Palos de Moguer;3;11
2019;02. Arganzuela;027. Atocha;4;378
2019;03. Retiro;03. Retiro;;
2019;03. Retiro;03. Retiro;17;77
2019;03. Retiro;031. Pacífico;1;2
2019;03. Retiro;032. Adelfas;0;0
2019;03. Retiro;033. Estrella;4;17
2019;03. Retiro;034. Ibiza;8;38
2019;03. Retiro;035. Los Jerónimos;3;14
2019;03. Retiro;036. Niño Jesús;1;6
2019;04. Salamanca;04. Salamanca;;
2019;04. Salamanca;04. Salamanca;45;242
2019;04. Salamanca;041. Recoletos;14;74
2019;04. Salamanca;042. Goya;10;39
2019;04. Salamanca;043. Fuente del Berro;1;3
2019;04. Salamanca;044. Guindalera;8;57
2019;04. Salamanca;045. Lista;4;20
2019;04. Salamanca;046. Castellana;8;49
2019;05. Chamartín;05. Chamartín;;
2019;05. Chamartín;05. Chamartín;40;231
2019;05. Chamartín;051. El Viso;7;33
2019;05. Chamartín;052. Prosperidad;6;43
2019;05. Chamartín;053. Ciudad Jardín;3;15
2019;05. Chamartín;054. Hispanoamérica;12;43
2019;05. Chamartín;055. Nueva España;5;27
2019;05. Chamartín;056. Castilla;7;70
2019;06. Tetuán;06. Tetuán;;
2019;06. Tetuán;06. Tetuán;28;161
2019;06. Tetuán;061. Bellas Vistas;2;4
2019;06. Tetuán;062. Cuatro Caminos;19;121
2019;06. Tetuán;063. Castillejos;6;31
2019;06. Tetuán;064. Almenara;1;5
2019;06. Tetuán;065. Valdeacederas;0;0
2019;06. Tetuán;066. Berruguete;0;0
2019;07. Chamberí;07. Chamberí;;
2019;07. Chamberí;07. Chamberí;32;114
2019;07. Chamberí;071. Gaztambide;1;2
2019;07. Chamberí;072. Arapiles;5;15
2019;07. Chamberí;073. Trafalgar;4;13
2019;07. Chamberí;074. Almagro;11;46
2019;07. Chamberí;075. Ríos Rosas;6;17
2019;07. Chamberí;076. Vallehermoso;5;21
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;51;269
2019;08. Fuencarral-El Pardo;081. El Pardo;0;0
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;1;5
2019;08. Fuencarral-El Pardo;083. Peñagrande;2;7
2019;08. Fuencarral-El Pardo;084. Pilar;8;29
2019;08. Fuencarral-El Pardo;085. La Paz;8;44
2019;08. Fuencarral-El Pardo;086. Valverde;23;143
2019;08. Fuencarral-El Pardo;087. Mirasierra;7;32
2019;08. Fuencarral-El Pardo;088. El Goloso;2;9
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;28;168
2019;09. Moncloa-Aravaca;091. Casa de Campo;8;36
2019;09. Moncloa-Aravaca;092. Argüelles;4;26
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;7;70
2019;09. Moncloa-Aravaca;094. Valdezarza;4;13
2019;09. Moncloa-Aravaca;095. Valdemarín;1;3
2019;09. Moncloa-Aravaca;096. El Plantío;1;5
2019;09. Moncloa-Aravaca;097. Aravaca;3;15
2019;10. Latina;10. Latina;;
2019;10. Latina;10. Latina;14;44
2019;10. Latina;101. Los Cármenes;0;0
2019;10. Latina;102. Puerta del Ángel;2;4
2019;10. Latina;103. Lucero;3;10
2019;10. Latina;104. Aluche;5;21
2019;10. Latina;105. Campamento;0;0
2019;10. Latina;106. Cuatro Vientos;0;0
2019;10. Latina;107. Águilas;4;9
2019;11. Carabanchel;11. Carabanchel;;
2019;11. Carabanchel;11. Carabanchel;13;43
2019;11. Carabanchel;111. Comillas;1;3
2019;11. Carabanchel;112. Opañel;2;7
2019;11. Carabanchel;113. San Isidro;2;5
2019;11. Carabanchel;114. Vista Alegre;3;8
2019;11. Carabanchel;115. Puerta Bonita;0;0
2019;11. Carabanchel;116. Buenavista;4;16
2019;11. Carabanchel;117. Abrantes;1;4
2019;12. Usera;12. Usera;;
2019;12. Usera;12. Usera;8;47
2019;12. Usera;121. Orcasitas;0;0
2019;12. Usera;122. Orcasur;2;12
2019;12. Usera;123. San Fermín;4;26
2019;12. Usera;124. Almendrales;0;0
2019;12. Usera;125. Moscardó;2;9
2019;12. Usera;126. Zofío;0;0
2019;12. Usera;127. Pradolongo;0;0
2019;13. Puente de Vallecas;13. Puente de Vallecas;;
2019;13. Puente de Vallecas;13. Puente de Vallecas;10;43
2019;13. Puente de Vallecas;131. Entrevías;2;16
2019;13. Puente de Vallecas;132. San Diego;0;0
2019;13. Puente de Vallecas;133. Palomeras Bajas;2;11
2019;13. Puente de Vallecas;134. Palomeras Sureste;2;4
2019;13. Puente de Vallecas;135. Portazgo;2;7
2019;13. Puente de Vallecas;136. Numancia;2;5
2019;14. Moratalaz;14. Moratalaz;;
2019;14. Moratalaz;14. Moratalaz;8;35
2019;14. Moratalaz;141. Pavones;1;4
2019;14. Moratalaz;142. Horcajo;0;0
2019;14. Moratalaz;143. Marroquina;4;22
2019;14. Moratalaz;144. Media Legua;1;3
2019;14. Moratalaz;145. Fontarrón;2;6
2019;14. Moratalaz;146. Vinateros;0;0
2019;15. Ciudad Lineal;15. Ciudad Lineal;;
2019;15. Ciudad Lineal;15. Ciudad Lineal;23;125
2019;15. Ciudad Lineal;151. Ventas;2;18
2019;15. Ciudad Lineal;152. Pueblo Nuevo;1;5
2019;15. Ciudad Lineal;153. Quintana;4;15
2019;15. Ciudad Lineal;154. Concepción;2;6
2019;15. Ciudad Lineal;155. San Pascual;2;12
2019;15. Ciudad Lineal;156. San Juan Bautista;4;30
2019;15. Ciudad Lineal;157. Colina;0;0
2019;15. Ciudad Lineal;158. Atalaya;0;0
2019;15. Ciudad Lineal;159. Costillares;8;39
2019;16. Hortaleza;16. Hortaleza;;
2019;16. Hortaleza;16. Hortaleza;24;92
2019;16. Hortaleza;161. Palomas;2;9
2019;16. Hortaleza;162. Piovera;1;6
2019;16. Hortaleza;163. Canillas;3;10
2019;16. Hortaleza;164. Pinar del Rey;3;14
2019;16. Hortaleza;165. Apóstol Santiago;3;9
2019;16. Hortaleza;166. Valdefuentes;12;44
2019;17. Villaverde;17. Villaverde;;
2019;17. Villaverde;17. Villaverde;3;18
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;1;3
2019;17. Villaverde;172. San Cristóbal;0;0
2019;17. Villaverde;173. Butarque;0;0
2019;17. Villaverde;174. Los Rosales;1;3
2019;17. Villaverde;175. Ángeles;1;12
2019;18. Villa de Vallecas;18. Villa de Vallecas;;
2019;18. Villa de Vallecas;18. Villa de Vallecas;11;32
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;4;11
2019;18. Villa de Vallecas;182. Santa Eugenia;4;13
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;3;8
2019;19. Vicálvaro;19. Vicálvaro;;
2019;19. Vicálvaro;19. Vicálvaro;5;16
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2;5
2019;19. Vicálvaro;192. Valdebernardo;2;8
2019;19. Vicálvaro;193. Valderribas;1;3
2019;19. Vicálvaro;194. El Cañaveral;0;0
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;23;86
2019;20. San Blas-Canillejas;201. Simancas;5;18
2019;20. San Blas-Canillejas;202. Hellín;1;3
2019;20. San Blas-Canillejas;203. Amposta;2;10
2019;20. San Blas-Canillejas;204. Arcos;1;5
2019;20. San Blas-Canillejas;205. Rosas;4;13
2019;20. San Blas-Canillejas;206. Rejas;4;15
2019;20. San Blas-Canillejas;207. Canillejas;2;8
2019;20. San Blas-Canillejas;208. El Salvador;4;14
2019;21. Barajas;21. Barajas;;
2019;21. Barajas;21. Barajas;16;3.042
2019;21. Barajas;211. Alameda de Osuna;4;16
2019;21. Barajas;212. Aeropuerto;2;1.604
2019;21. Barajas;213. Casco Histórico de Barajas;3;15
2019;21. Barajas;214. Timón;1;1.360
2019;21. Barajas;215. Corralejos;6;47
2020;01. Centro;01. Centro;;
2020;01. Centro;01. Centro;28;121
2020;01. Centro;011. Palacio;8;29
2020;01. Centro;012. Embajadores;2;9
2020;01. Centro;013. Cortes;8;33
2020;01. Centro;014. Justicia;6;23
2020;01. Centro;015. Universidad;2;14
2020;01. Centro;016. Sol;2;13
2020;02. Arganzuela;02. Arganzuela;;
2020;02. Arganzuela;02. Arganzuela;16;467
2020;02. Arganzuela;021. Imperial;3;7
2020;02. Arganzuela;022. Acacias;0;0
2020;02. Arganzuela;023. Chopera;1;3
2020;02. Arganzuela;024. Legazpi;2;25
2020;02. Arganzuela;025. Delicias;2;20
2020;02. Arganzuela;026. Palos de Moguer;3;11
2020;02. Arganzuela;027. Atocha;5;401
2020;03. Retiro;03. Retiro;;
2020;03. Retiro;03. Retiro;17;89
2020;03. Retiro;031. Pacífico;1;2
2020;03. Retiro;032. Adelfas;0;0
2020;03. Retiro;033. Estrella;4;22
2020;03. Retiro;034. Ibiza;8;38
2020;03. Retiro;035. Los Jerónimos;3;16
2020;03. Retiro;036. Niño Jesús;1;11
2020;04. Salamanca;04. Salamanca;;
2020;04. Salamanca;04. Salamanca;45;245
2020;04. Salamanca;041. Recoletos;14;74
2020;04. Salamanca;042. Goya;10;39
2020;04. Salamanca;043. Fuente del Berro;0;0
2020;04. Salamanca;044. Guindalera;9;59
2020;04. Salamanca;045. Lista;4;24
2020;04. Salamanca;046. Castellana;8;49
2020;05. Chamartín;05. Chamartín;;
2020;05. Chamartín;05. Chamartín;39;230
2020;05. Chamartín;051. El Viso;7;33
2020;05. Chamartín;052. Prosperidad;6;43
2020;05. Chamartín;053. Ciudad Jardín;3;15
2020;05. Chamartín;054. Hispanoamérica;11;42
2020;05. Chamartín;055. Nueva España;5;27
2020;05. Chamartín;056. Castilla;7;70
2020;06. Tetuán;06. Tetuán;;
2020;06. Tetuán;06. Tetuán;29;163
2020;06. Tetuán;061. Bellas Vistas;2;4
2020;06. Tetuán;062. Cuatro Caminos;19;119
2020;06. Tetuán;063. Castillejos;7;35
2020;06. Tetuán;064. Almenara;1;5
2020;06. Tetuán;065. Valdeacederas;0;0
2020;06. Tetuán;066. Berruguete;0;0
2020;07. Chamberí;07. Chamberí;;
2020;07. Chamberí;07. Chamberí;29;83
2020;07. Chamberí;071. Gaztambide;1;2
2020;07. Chamberí;072. Arapiles;5;15
2020;07. Chamberí;073. Trafalgar;3;10
2020;07. Chamberí;074. Almagro;9;37
2020;07. Chamberí;075. Ríos Rosas;6;17
2020;07. Chamberí;076. Vallehermoso;5;2
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;53;286
2020;08. Fuencarral-El Pardo;081. El Pardo;0;0
2020;08. Fuencarral-El Pardo;082. Fuentelarreina;1;5
2020;08. Fuencarral-El Pardo;083. Peñagrande;2;14
2020;08. Fuencarral-El Pardo;084. Pilar;8;32
2020;08. Fuencarral-El Pardo;085. La Paz;8;44
2020;08. Fuencarral-El Pardo;086. Valverde;24;145
2020;08. Fuencarral-El Pardo;087. Mirasierra;8;37
2020;08. Fuencarral-El Pardo;088. El Goloso;2;9
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;26;143
2020;09. Moncloa-Aravaca;091. Casa de Campo;8;36
2020;09. Moncloa-Aravaca;092. Argüelles;4;26
2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;5;45
2020;09. Moncloa-Aravaca;094. Valdezarza;4;13
2020;09. Moncloa-Aravaca;095. Valdemarín;1;3
2020;09. Moncloa-Aravaca;096. El Plantío;1;5
2020;09. Moncloa-Aravaca;097. Aravaca;3;15
2020;10. Latina;10. Latina;;
2020;10. Latina;10. Latina;15;46
2020;10. Latina;101. Los Cármenes;0;0
2020;10. Latina;102. Puerta del Ángel;3;8
2020;10. Latina;103. Lucero;3;10
2020;10. Latina;104. Aluche;4;17
2020;10. Latina;105. Campamento;0;0
2020;10. Latina;106. Cuatro Vientos;0;0
2020;10. Latina;107. Águilas;5;11
2020;11. Carabanchel;11. Carabanchel;;
2020;11. Carabanchel;11. Carabanchel;14;47
2020;11. Carabanchel;111. Comillas;1;3
2020;11. Carabanchel;112. Opañel;2;7
2020;11. Carabanchel;113. San Isidro;2;5
2020;11. Carabanchel;114. Vista Alegre;3;8
2020;11. Carabanchel;115. Puerta Bonita;0;0
2020;11. Carabanchel;116. Buenavista;5;20
2020;11. Carabanchel;117. Abrantes;1;4
2020;12. Usera;12. Usera;;
2020;12. Usera;12. Usera;8;47
2020;12. Usera;121. Orcasitas;0;0
2020;12. Usera;122. Orcasur;2;12
2020;12. Usera;123. San Fermín;4;26
2020;12. Usera;124. Almendrales;0;0
2020;12. Usera;125. Moscardó;2;9
2020;12. Usera;126. Zofío;0;0
2020;12. Usera;127. Pradolongo;0;0
2020;13. Puente de Vallecas;13. Puente de Vallecas;;
2020;13. Puente de Vallecas;13. Puente de Vallecas;10;43
2020;13. Puente de Vallecas;131. Entrevías;1;8
2020;13. Puente de Vallecas;132. San Diego;0;0
2020;13. Puente de Vallecas;133. Palomeras Bajas;2;11
2020;13. Puente de Vallecas;134. Palomeras Sureste;2;4
2020;13. Puente de Vallecas;135. Portazgo;2;7
2020;13. Puente de Vallecas;136. Numancia;2;5
2020;14. Moratalaz;14. Moratalaz;;
2020;14. Moratalaz;14. Moratalaz;6;27
2020;14. Moratalaz;141. Pavones;1;4
2020;14. Moratalaz;142. Horcajo;0;0
2020;14. Moratalaz;143. Marroquina;4;20
2020;14. Moratalaz;144. Media Legua;0;0
2020;14. Moratalaz;145. Fontarrón;1;3
2020;14. Moratalaz;146. Vinateros;0;0
2020;15. Ciudad Lineal;15. Ciudad Lineal;;
2020;15. Ciudad Lineal;15. Ciudad Lineal;23;122
2020;15. Ciudad Lineal;151. Ventas;2;18
2020;15. Ciudad Lineal;152. Pueblo Nuevo;2;8
2020;15. Ciudad Lineal;153. Quintana;4;15
2020;15. Ciudad Lineal;154. Concepción;2;6
2020;15. Ciudad Lineal;155. San Pascual;2;12
2020;15. Ciudad Lineal;156. San Juan Bautista;4;30
2020;15. Ciudad Lineal;157. Colina;0;0
2020;15. Ciudad Lineal;158. Atalaya;0;0
2020;15. Ciudad Lineal;159. Costillares;7;33
2020;16. Hortaleza;16. Hortaleza;;
2020;16. Hortaleza;16. Hortaleza;26;104
2020;16. Hortaleza;161. Palomas;2;9
2020;16. Hortaleza;162. Piovera;1;6
2020;16. Hortaleza;163. Canillas;4;13
2020;16. Hortaleza;164. Pinar del Rey;3;14
2020;16. Hortaleza;165. Apóstol Santiago;3;9
2020;16. Hortaleza;166. Valdefuentes;13;53
2020;17. Villaverde;17. Villaverde;;
2020;17. Villaverde;17. Villaverde;3;18
2020;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;1;3
2020;17. Villaverde;172. San Cristóbal;0;0
2020;17. Villaverde;173. Butarque;0;0
2020;17. Villaverde;174. Los Rosales;1;3
2020;17. Villaverde;175. Ángeles;1;12
2020;18. Villa de Vallecas;18. Villa de Vallecas;;
2020;18. Villa de Vallecas;18. Villa de Vallecas;11;30
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;3;6
2020;18. Villa de Vallecas;182. Santa Eugenia;4;13
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;4;11
2020;19. Vicálvaro;19. Vicálvaro;;
2020;19. Vicálvaro;19. Vicálvaro;5;16
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2;5
2020;19. Vicálvaro;192. Valdebernardo;2;8
2020;19. Vicálvaro;193. Valderribas;1;3
2020;19. Vicálvaro;194. El Cañaveral;0;0
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;24;95
2020;20. San Blas-Canillejas;201. Simancas;6;20
2020;20. San Blas-Canillejas;202. Hellín;1;3
2020;20. San Blas-Canillejas;203. Amposta;2;12
2020;20. San Blas-Canillejas;204. Arcos;1;5
2020;20. San Blas-Canillejas;205. Rosas;4;13
2020;20. San Blas-Canillejas;206. Rejas;4;15
2020;20. San Blas-Canillejas;207. Canillejas;2;8
2020;20. San Blas-Canillejas;208. El Salvador;4;19
2020;21. Barajas;21. Barajas;;
2020;21. Barajas;21. Barajas;18;3.062
2020;21. Barajas;211. Alameda de Osuna;4;16
2020;21. Barajas;212. Aeropuerto;2;1.604
2020;21. Barajas;213. Casco Histórico de Barajas;3;15
2020;21. Barajas;214. Timón;3;1.380
2020;21. Barajas;215. Corralejos;6;47